Time Vpre Vpost i ifast islow
0 -0.712189 -0.717182 -0.513882 -0.513819 -6.26102e-05
0.01 -0.711536 -0.721255 -0.515248 -0.515122 -0.000125801
0.02 -0.71088 -0.725076 -0.516533 -0.516344 -0.000189547
0.03 -0.710223 -0.72866 -0.517744 -0.51749 -0.000253824
0.04 -0.709564 -0.732021 -0.518884 -0.518565 -0.000318612
0.05 -0.708904 -0.735174 -0.519958 -0.519574 -0.00038389
0.06 -0.708241 -0.738131 -0.520969 -0.52052 -0.000449642
0.07 -0.707577 -0.740905 -0.521923 -0.521407 -0.00051585
0.08 -0.706911 -0.743507 -0.522822 -0.522239 -0.000582501
0.09 -0.706243 -0.745948 -0.523669 -0.52302 -0.000649581
0.1 -0.705573 -0.74824 -0.52447 -0.523752 -0.000717079
0.11 -0.704902 -0.75039 -0.525225 -0.52444 -0.000784984
0.12 -0.704228 -0.75241 -0.525939 -0.525085 -0.000853288
0.13 -0.703553 -0.754307 -0.526613 -0.525691 -0.000921982
0.14 -0.702876 -0.756089 -0.527252 -0.526261 -0.000991059
0.15 -0.702197 -0.757765 -0.527856 -0.526795 -0.00106051
0.16 -0.701516 -0.759341 -0.528429 -0.527298 -0.00113034
0.17 -0.700833 -0.760824 -0.528972 -0.527771 -0.00120053
0.18 -0.700148 -0.76222 -0.529487 -0.528216 -0.00127109
0.19 -0.699462 -0.763536 -0.529977 -0.528635 -0.001342
0.2 -0.698773 -0.764776 -0.530443 -0.52903 -0.00141328
0.21 -0.698083 -0.765946 -0.530887 -0.529402 -0.00148491
0.22 -0.69739 -0.76705 -0.53131 -0.529753 -0.00155689
0.23 -0.696696 -0.768094 -0.531714 -0.530085 -0.00162923
0.24 -0.695999 -0.769081 -0.5321 -0.530398 -0.00170192
0.25 -0.695301 -0.770016 -0.532469 -0.530694 -0.00177497
0.26 -0.694601 -0.770901 -0.532823 -0.530975 -0.00184836
0.27 -0.693898 -0.771741 -0.533163 -0.531241 -0.00192211
0.28 -0.693194 -0.772539 -0.533489 -0.531493 -0.00199622
0.29 -0.692488 -0.773297 -0.533803 -0.531732 -0.00207068
0.3 -0.691779 -0.774018 -0.534105 -0.53196 -0.0021455
0.31 -0.691069 -0.774705 -0.534397 -0.532176 -0.00222068
0.32 -0.690356 -0.775361 -0.534679 -0.532383 -0.00229622
0.33 -0.689642 -0.775987 -0.534952 -0.532579 -0.00237212
0.34 -0.688925 -0.776586 -0.535216 -0.532767 -0.00244838
0.35 -0.688207 -0.77716 -0.535472 -0.532947 -0.00252502
0.36 -0.687486 -0.77771 -0.535722 -0.53312 -0.00260202
0.37 -0.686763 -0.778238 -0.535964 -0.533285 -0.0026794
0.38 -0.686038 -0.778746 -0.536201 -0.533443 -0.00275715
0.39 -0.685311 -0.779236 -0.536431 -0.533596 -0.00283528
0.4 -0.684582 -0.779707 -0.536657 -0.533743 -0.00291379
0.41 -0.683851 -0.780163 -0.536877 -0.533884 -0.00299268
0.42 -0.683118 -0.780604 -0.537093 -0.534021 -0.00307197
0.43 -0.682382 -0.78103 -0.537305 -0.534154 -0.00315164
0.44 -0.681644 -0.781444 -0.537514 -0.534282 -0.00323171
0.45 -0.680905 -0.781846 -0.537718 -0.534406 -0.00331217
0.46 -0.680163 -0.782237 -0.53792 -0.534527 -0.00339304
0.47 -0.679418 -0.782618 -0.538119 -0.534644 -0.00347431
0.48 -0.678672 -0.782989 -0.538315 -0.534759 -0.00355599
0.49 -0.677923 -0.783352 -0.538508 -0.53487 -0.00363808
0.5 -0.677172 -0.783706 -0.5387 -0.534979 -0.00372059
0.51 -0.676419 -0.784054 -0.538889 -0.535086 -0.00380351
0.52 -0.675664 -0.784394 -0.539077 -0.53519 -0.00388686
0.53 -0.674906 -0.784728 -0.539263 -0.535292 -0.00397064
0.54 -0.674146 -0.785056 -0.539447 -0.535392 -0.00405485
0.55 -0.673384 -0.785378 -0.53963 -0.535491 -0.00413949
0.56 -0.67262 -0.785696 -0.539812 -0.535588 -0.00422457
0.57 -0.671853 -0.786009 -0.539993 -0.535683 -0.0043101
0.58 -0.671084 -0.786318 -0.540174 -0.535777 -0.00439607
0.59 -0.670313 -0.786623 -0.540353 -0.53587 -0.00448249
0.6 -0.669539 -0.786925 -0.540531 -0.535962 -0.00456937
0.61 -0.668763 -0.787223 -0.540709 -0.536053 -0.0046567
0.62 -0.667984 -0.787519 -0.540887 -0.536142 -0.0047445
0.63 -0.667204 -0.787811 -0.541064 -0.536231 -0.00483277
0.64 -0.66642 -0.788101 -0.54124 -0.536319 -0.00492151
0.65 -0.665635 -0.788389 -0.541417 -0.536406 -0.00501073
0.66 -0.664847 -0.788675 -0.541593 -0.536493 -0.00510043
0.67 -0.664057 -0.78896 -0.541769 -0.536579 -0.00519061
0.68 -0.663264 -0.789242 -0.541945 -0.536664 -0.00528128
0.69 -0.662468 -0.789523 -0.542121 -0.536749 -0.00537245
0.7 -0.661671 -0.789803 -0.542297 -0.536833 -0.00546411
0.71 -0.660871 -0.790081 -0.542474 -0.536917 -0.00555628
0.72 -0.660068 -0.790358 -0.54265 -0.537001 -0.00564896
0.73 -0.659263 -0.790635 -0.542826 -0.537084 -0.00574215
0.74 -0.658455 -0.79091 -0.543003 -0.537167 -0.00583586
0.75 -0.657645 -0.791185 -0.54318 -0.53725 -0.00593009
0.76 -0.656832 -0.791459 -0.543358 -0.537333 -0.00602484
0.77 -0.656017 -0.791733 -0.543535 -0.537415 -0.00612013
0.78 -0.655199 -0.792006 -0.543713 -0.537497 -0.00621596
0.79 -0.654379 -0.792279 -0.543892 -0.537579 -0.00631232
0.8 -0.653556 -0.792552 -0.544071 -0.537661 -0.00640924
0.81 -0.65273 -0.792824 -0.54425 -0.537743 -0.0065067
0.82 -0.651902 -0.793096 -0.54443 -0.537825 -0.00660472
0.83 -0.651071 -0.793368 -0.54461 -0.537907 -0.00670331
0.84 -0.650238 -0.79364 -0.544791 -0.537989 -0.00680246
0.85 -0.649402 -0.793913 -0.544973 -0.538071 -0.00690218
0.86 -0.648563 -0.794185 -0.545155 -0.538152 -0.00700249
0.87 -0.647721 -0.794457 -0.545337 -0.538234 -0.00710337
0.88 -0.646877 -0.794729 -0.545521 -0.538316 -0.00720485
0.89 -0.64603 -0.795002 -0.545705 -0.538398 -0.00730692
0.9 -0.645181 -0.795275 -0.545889 -0.53848 -0.00740958
0.91 -0.644329 -0.795548 -0.546074 -0.538562 -0.00751286
0.92 -0.643473 -0.795821 -0.54626 -0.538644 -0.00761674
0.93 -0.642616 -0.796095 -0.546447 -0.538726 -0.00772124
0.94 -0.641755 -0.796369 -0.546634 -0.538808 -0.00782637
0.95 -0.640892 -0.796643 -0.546822 -0.53889 -0.00793212
0.96 -0.640025 -0.796918 -0.547011 -0.538973 -0.00803851
0.97 -0.639156 -0.797193 -0.547201 -0.539055 -0.00814554
