Time Vpre Vpost i ifast islow
0 -0.712189 -0.712128 0.00625705 0.00610034 0.00015671
0.01 -0.711536 -0.711416 0.00644524 0.00613111 0.00031413
0.02 -0.71088 -0.710703 0.00663438 0.00616212 0.000472265
0.03 -0.710223 -0.709989 0.00682448 0.00619336 0.000631119
0.04 -0.709564 -0.709275 0.00701554 0.00622485 0.000790699
0.05 -0.708904 -0.70856 0.00720758 0.00625657 0.000951009
0.06 -0.708241 -0.707844 0.0074006 0.00628855 0.00111206
0.07 -0.707577 -0.707128 0.00759461 0.00632077 0.00127384
0.08 -0.706911 -0.70641 0.00778962 0.00635324 0.00143638
0.09 -0.706243 -0.705691 0.00798564 0.00638597 0.00159967
0.1 -0.705573 -0.704971 0.00818267 0.00641895 0.00176372
0.11 -0.704902 -0.704249 0.00838072 0.00645219 0.00192853
0.12 -0.704228 -0.703526 0.00857981 0.0064857 0.00209411
0.13 -0.703553 -0.702802 0.00877994 0.00651947 0.00226047
0.14 -0.702876 -0.702076 0.00898112 0.00655351 0.00242761
0.15 -0.702197 -0.701348 0.00918336 0.00658782 0.00259554
0.16 -0.701516 -0.700618 0.00938667 0.00662241 0.00276427
0.17 -0.700833 -0.699887 0.00959106 0.00665727 0.00293379
0.18 -0.700148 -0.699154 0.00979654 0.00669241 0.00310413
0.19 -0.699462 -0.698419 0.0100031 0.00672783 0.00327527
0.2 -0.698773 -0.697682 0.0102108 0.00676355 0.00344724
0.21 -0.698083 -0.696943 0.0104196 0.00679955 0.00362004
0.22 -0.69739 -0.696202 0.0106295 0.00683584 0.00379366
0.23 -0.696696 -0.695459 0.0108406 0.00687243 0.00396813
0.24 -0.695999 -0.694714 0.0110528 0.00690931 0.00414344
0.25 -0.695301 -0.693966 0.0112661 0.0069465 0.00431961
0.26 -0.694601 -0.693217 0.0114806 0.006984 0.00449664
0.27 -0.693898 -0.692465 0.0116963 0.0070218 0.00467453
0.28 -0.693194 -0.69171 0.0119132 0.00705991 0.0048533
0.29 -0.692488 -0.690954 0.0121313 0.00709834 0.00503295
0.3 -0.691779 -0.690195 0.0123506 0.00713709 0.00521349
0.31 -0.691069 -0.689434 0.0125711 0.00717616 0.00539492
0.32 -0.690356 -0.68867 0.0127928 0.00721556 0.00557726
0.33 -0.689642 -0.687903 0.0130158 0.00725529 0.00576051
0.34 -0.688925 -0.687135 0.01324 0.00729535 0.00594467
0.35 -0.688207 -0.686363 0.0134655 0.00733574 0.00612976
0.36 -0.687486 -0.685589 0.0136923 0.00737648 0.00631579
0.37 -0.686763 -0.684813 0.0139203 0.00741756 0.00650275
0.38 -0.686038 -0.684034 0.0141497 0.00745899 0.00669067
0.39 -0.685311 -0.683252 0.0143803 0.00750077 0.00687954
0.4 -0.684582 -0.682468 0.0146123 0.00754291 0.00706937
0.41 -0.683851 -0.681681 0.0148456 0.0075854 0.00726018
0.42 -0.683118 -0.680891 0.0150802 0.00762826 0.00745197
0.43 -0.682382 -0.680098 0.0153162 0.00767149 0.00764475
0.44 -0.681644 -0.679303 0.0155536 0.00771509 0.00783853
0.45 -0.680905 -0.678505 0.0157924 0.00775906 0.00803331
0.46 -0.680163 -0.677704 0.0160325 0.00780342 0.00822911
0.47 -0.679418 -0.6769 0.0162741 0.00784816 0.00842592
0.48 -0.678672 -0.676094 0.0165171 0.00789329 0.00862378
0.49 -0.677923 -0.675284 0.0167615 0.00793881 0.00882267
0.5 -0.677172 -0.674472 0.0170073 0.00798473 0.00902261
0.51 -0.676419 -0.673656 0.0172547 0.00803105 0.00922361
0.52 -0.675664 -0.672838 0.0175035 0.00807778 0.00942568
0.53 -0.674906 -0.672017 0.0177537 0.00812492 0.00962882
0.54 -0.674146 -0.671192 0.0180055 0.00817248 0.00983305
