Time Vpre Vpost i ifast islow
0 -0.712189 -0.712216 -0.00280079 -0.00243726 -0.000363529
0.01 -0.711536 -0.711592 -0.00317595 -0.00244825 -0.000727698
0.02 -0.71088 -0.710968 -0.00355184 -0.00245933 -0.00109251
0.03 -0.710223 -0.710345 -0.00392846 -0.00247049 -0.00145798
0.04 -0.709564 -0.709721 -0.00430582 -0.00248173 -0.00182409
0.05 -0.708904 -0.709098 -0.00468392 -0.00249305 -0.00219087
0.06 -0.708241 -0.708475 -0.00506277 -0.00250446 -0.00255831
0.07 -0.707577 -0.707851 -0.00544237 -0.00251595 -0.00292641
0.08 -0.706911 -0.707227 -0.00582272 -0.00252754 -0.00329519
0.09 -0.706243 -0.706604 -0.00620384 -0.0025392 -0.00366464
0.1 -0.705573 -0.705979 -0.00658572 -0.00255096 -0.00403477
0.11 -0.704902 -0.705355 -0.00696838 -0.0025628 -0.00440558
0.12 -0.704228 -0.70473 -0.00735181 -0.00257473 -0.00477708
0.13 -0.703553 -0.704105 -0.00773603 -0.00258676 -0.00514927
0.14 -0.702876 -0.703479 -0.00812103 -0.00259887 -0.00552216
0.15 -0.702197 -0.702853 -0.00850682 -0.00261108 -0.00589574
0.16 -0.701516 -0.702226 -0.00889341 -0.00262338 -0.00627003
0.17 -0.700833 -0.701598 -0.0092808 -0.00263577 -0.00664503
0.18 -0.700148 -0.70097 -0.009669 -0.00264825 -0.00702074
0.19 -0.699462 -0.700341 -0.010058 -0.00266084 -0.00739717
0.2 -0.698773 -0.699712 -0.0104478 -0.00267351 -0.00777432
0.21 -0.698083 -0.699082 -0.0108385 -0.00268629 -0.00815219
0.22 -0.69739 -0.698451 -0.01123 -0.00269916 -0.0085308
0.23 -0.696696 -0.697819 -0.0116223 -0.00271213 -0.00891014
0.24 -0.695999 -0.697187 -0.0120154 -0.00272521 -0.00929021
0.25 -0.695301 -0.696554 -0.0124094 -0.00273838 -0.00967103
0.26 -0.694601 -0.69592 -0.0128042 -0.00275166 -0.0100526
0.27 -0.693898 -0.695285 -0.0131999 -0.00276504 -0.0104349
0.28 -0.693194 -0.694649 -0.0135965 -0.00277852 -0.010818
0.29 -0.692488 -0.694013 -0.0139939 -0.00279211 -0.0112018
0.3 -0.691779 -0.693375 -0.0143922 -0.0028058 -0.0115864
0.31 -0.691069 -0.692737 -0.0147914 -0.0028196 -0.0119718
0.32 -0.690356 -0.692097 -0.0151914 -0.00283351 -0.0123579
0.33 -0.689642 -0.691457 -0.0155923 -0.00284753 -0.0127448
0.34 -0.688925 -0.690816 -0.0159942 -0.00286166 -0.0131325
0.35 -0.688207 -0.690174 -0.0163969 -0.00287591 -0.013521
0.36 -0.687486 -0.689531 -0.0168005 -0.00289026 -0.0139103
0.37 -0.686763 -0.688886 -0.0172051 -0.00290473 -0.0143003
0.38 -0.686038 -0.688241 -0.0176105 -0.00291931 -0.0146912
0.39 -0.685311 -0.687595 -0.0180169 -0.00293401 -0.0150829
0.4 -0.684582 -0.686948 -0.0184242 -0.00294883 -0.0154754
0.41 -0.683851 -0.6863 -0.0188324 -0.00296377 -0.0158687
0.42 -0.683118 -0.685651 -0.0192416 -0.00297883 -0.0162628
0.43 -0.682382 -0.685 -0.0196518 -0.00299401 -0.0166578
0.44 -0.681644 -0.684349 -0.0200628 -0.00300931 -0.0170535
0.45 -0.680905 -0.683697 -0.0204749 -0.00302474 -0.0174501
0.46 -0.680163 -0.683043 -0.0208879 -0.00304029 -0.0178476
0.47 -0.679418 -0.682389 -0.0213019 -0.00305597 -0.0182459
0.48 -0.678672 -0.681733 -0.0217168 -0.00307177 -0.018645
0.49 -0.677923 -0.681076 -0.0221328 -0.00308771 -0.019045
0.5 -0.677172 -0.680419 -0.0225497 -0.00310377 -0.0194459
0.51 -0.676419 -0.67976 -0.0229676 -0.00311997 -0.0198476
0.52 -0.675664 -0.6791 -0.0233865 -0.00313631 -0.0202502
0.53 -0.674906 -0.678439 -0.0238065 -0.00315277 -0.0206537
0.54 -0.674146 -0.677777 -0.0242275 -0.00316938 -0.0210581
0.55 -0.673384 -0.677113 -0.0246494 -0.00318612 -0.0214633
0.56 -0.67262 -0.676449 -0.0250725 -0.003203 -0.0218695
0.57 -0.671853 -0.675783 -0.0254965 -0.00322002 -0.0222765
0.58 -0.671084 -0.675117 -0.0259216 -0.00323719 -0.0226844
0.59 -0.670313 -0.674449 -0.0263478 -0.0032545 -0.0230933
0.6 -0.669539 -0.67378 -0.026775 -0.00327195 -0.023503
0.61 -0.668763 -0.67311 -0.0272033 -0.00328955 -0.0239137
0.62 -0.667984 -0.672439 -0.0276326 -0.00330731 -0.0243253
0.63 -0.667204 -0.671766 -0.0280631 -0.00332521 -0.0247379
0.64 -0.66642 -0.671093 -0.0284946 -0.00334326 -0.0251513
0.65 -0.665635 -0.670418 -0.0289272 -0.00336147 -0.0255658
