Time Vpre Vpost i ifast islow
0 -0.712189 -0.712341 -0.0156366 -0.00243726 -0.0131994
0.01 -0.711536 -0.711959 -0.0288305 -0.00244843 -0.0263821
0.02 -0.71088 -0.711689 -0.0420107 -0.00245986 -0.0395508
0.03 -0.710223 -0.711524 -0.0551797 -0.00247153 -0.0527081
0.04 -0.709564 -0.711458 -0.0683398 -0.00248344 -0.0658563
0.05 -0.708904 -0.711486 -0.0814932 -0.00249558 -0.0789976
0.06 -0.708241 -0.711604 -0.0946418 -0.00250796 -0.0921338
0.07 -0.707577 -0.711806 -0.107788 -0.00252056 -0.105267
0.08 -0.706911 -0.712088 -0.120932 -0.00253339 -0.118399
0.09 -0.706243 -0.712447 -0.134077 -0.00254643 -0.131531
0.1 -0.705573 -0.712878 -0.147224 -0.00255969 -0.144664
0.11 -0.704902 -0.713379 -0.160374 -0.00257317 -0.157801
0.12 -0.704228 -0.713946 -0.173529 -0.00258685 -0.170942
0.13 -0.703553 -0.714575 -0.18669 -0.00260074 -0.184089
0.14 -0.702876 -0.715265 -0.199857 -0.00261484 -0.197243
0.15 -0.702197 -0.716013 -0.213033 -0.00262914 -0.210404
0.16 -0.701516 -0.716816 -0.226218 -0.00264365 -0.223574
0.17 -0.700833 -0.717672 -0.239413 -0.00265836 -0.236754
0.18 -0.700148 -0.718578 -0.252618 -0.00267327 -0.249945
0.19 -0.699462 -0.719534 -0.265836 -0.00268838 -0.263148
0.2 -0.698773 -0.720537 -0.279066 -0.00270369 -0.276363
0.21 -0.698083 -0.721586 -0.29231 -0.0027192 -0.289591
0.22 -0.69739 -0.722678 -0.305568 -0.00273491 -0.302833
0.23 -0.696696 -0.723813 -0.31884 -0.00275082 -0.31609
0.24 -0.695999 -0.724989 -0.332129 -0.00276693 -0.329362
0.25 -0.695301 -0.726205 -0.345433 -0.00278324 -0.34265
0.26 -0.694601 -0.727459 -0.358755 -0.00279975 -0.355955
0.27 -0.693898 -0.72875 -0.372093 -0.00281646 -0.369277
0.28 -0.693194 -0.730078 -0.38545 -0.00283337 -0.382617
0.29 -0.692488 -0.731441 -0.398826 -0.00285048 -0.395975
0.3 -0.691779 -0.732839 -0.412221 -0.00286779 -0.409353
0.31 -0.691069 -0.73427 -0.425635 -0.00288531 -0.42275
0.32 -0.690356 -0.735734 -0.43907 -0.00290304 -0.436167
0.33 -0.689642 -0.73723 -0.452525 -0.00292097 -0.449605
0.34 -0.688925 -0.738758 -0.466002 -0.0029391 -0.463063
0.35 -0.688207 -0.740316 -0.479501 -0.00295745 -0.476543
0.36 -0.687486 -0.741904 -0.493022 -0.00297601 -0.490046
0.37 -0.686763 -0.743521 -0.506565 -0.00299477 -0.503571
0.38 -0.686038 -0.745168 -0.520132 -0.00301375 -0.517118
0.39 -0.685311 -0.746843 -0.533723 -0.00303295 -0.53069
0.4 -0.684582 -0.748545 -0.547337 -0.00305236 -0.544285
0.41 -0.683851 -0.750275 -0.560976 -0.00307199 -0.557904
0.42 -0.683118 -0.752032 -0.57464 -0.00309184 -0.571549
0.43 -0.682382 -0.753816 -0.58833 -0.00311191 -0.585218
0.44 -0.681644 -0.755626 -0.602045 -0.00313221 -0.598913
0.45 -0.680905 -0.757462 -0.615787 -0.00315274 -0.612634
0.46 -0.680163 -0.759323 -0.629555 -0.00317349 -0.626382
0.47 -0.679418 -0.76121 -0.643351 -0.00319447 -0.640156
0.48 -0.678672 -0.763121 -0.657174 -0.00321569 -0.653958
0.49 -0.677923 -0.765057 -0.671024 -0.00323714 -0.667787
0.5 -0.677172 -0.767017 -0.684903 -0.00325883 -0.681645
0.51 -0.676419 -0.769002 -0.698811 -0.00328076 -0.695531
