Time Vpre Vpost i ifast islow
0 -0.712189 -0.712213 -0.00243729 -0.00243726 -3.47936e-08
0.01 -0.711536 -0.711582 -0.00244832 -0.00244825 -6.97085e-08
0.02 -0.71088 -0.710948 -0.00245942 -0.00245931 -1.04745e-07
0.03 -0.710223 -0.710311 -0.0024706 -0.00247046 -1.39905e-07
0.04 -0.709564 -0.709672 -0.00248185 -0.00248168 -1.75188e-07
0.05 -0.708904 -0.70903 -0.00249319 -0.00249298 -2.10595e-07
0.06 -0.708241 -0.708385 -0.00250461 -0.00250436 -2.46127e-07
0.07 -0.707577 -0.707738 -0.00251611 -0.00251582 -2.81785e-07
0.08 -0.706911 -0.707089 -0.00252769 -0.00252737 -3.1757e-07
0.09 -0.706243 -0.706436 -0.00253935 -0.002539 -3.53482e-07
0.1 -0.705573 -0.705782 -0.0025511 -0.00255071 -3.89523e-07
0.11 -0.704902 -0.705125 -0.00256293 -0.00256251 -4.25693e-07
0.12 -0.704228 -0.704466 -0.00257485 -0.00257439 -4.61993e-07
0.13 -0.703553 -0.703804 -0.00258686 -0.00258636 -4.98424e-07
0.14 -0.702876 -0.70314 -0.00259895 -0.00259841 -5.34986e-07
0.15 -0.702197 -0.702474 -0.00261113 -0.00261056 -5.71682e-07
0.16 -0.701516 -0.701806 -0.0026234 -0.00262279 -6.08511e-07
0.17 -0.700833 -0.701135 -0.00263576 -0.00263512 -6.45475e-07
0.18 -0.700148 -0.700462 -0.00264822 -0.00264753 -6.82574e-07
0.19 -0.699462 -0.699787 -0.00266076 -0.00266004 -7.1981e-07
0.2 -0.698773 -0.69911 -0.0026734 -0.00267264 -7.57183e-07
0.21 -0.698083 -0.69843 -0.00268613 -0.00268534 -7.94695e-07
0.22 -0.69739 -0.697749 -0.00269896 -0.00269813 -8.32346e-07
0.23 -0.696696 -0.697065 -0.00271188 -0.00271101 -8.70137e-07
0.24 -0.695999 -0.696379 -0.0027249 -0.002724 -9.0807e-07
0.25 -0.695301 -0.695691 -0.00273802 -0.00273708 -9.46145e-07
0.26 -0.694601 -0.695001 -0.00275124 -0.00275026 -9.84363e-07
0.27 -0.693898 -0.694309 -0.00276456 -0.00276354 -1.02273e-06
0.28 -0.693194 -0.693615 -0.00277798 -0.00277692 -1.06123e-06
0.29 -0.692488 -0.692918 -0.0027915 -0.0027904 -1.09989e-06
0.3 -0.691779 -0.692219 -0.00280513 -0.00280399 -1.13869e-06
0.31 -0.691069 -0.691519 -0.00281886 -0.00281768 -1.17764e-06
0.32 -0.690356 -0.690816 -0.00283269 -0.00283147 -1.21674e-06
0.33 -0.689642 -0.690111 -0.00284663 -0.00284538 -1.25599e-06
0.34 -0.688925 -0.689404 -0.00286068 -0.00285939 -1.2954e-06
0.35 -0.688207 -0.688695 -0.00287484 -0.0028735 -1.33495e-06
0.36 -0.687486 -0.687984 -0.00288911 -0.00288773 -1.37466e-06
0.37 -0.686763 -0.687271 -0.00290348 -0.00290207 -1.41453e-06
0.38 -0.686038 -0.686555 -0.00291798 -0.00291652 -1.45455e-06
0.39 -0.685311 -0.685838 -0.00293258 -0.00293108 -1.49473e-06
0.4 -0.684582 -0.685118 -0.0029473 -0.00294576 -1.53507e-06
0.41 -0.683851 -0.684396 -0.00296213 -0.00296056 -1.57556e-06
0.42 -0.683118 -0.683672 -0.00297708 -0.00297547 -1.61622e-06
0.43 -0.682382 -0.682946 -0.00299215 -0.00299049 -1.65704e-06
0.44 -0.681644 -0.682218 -0.00300734 -0.00300564 -1.69803e-06
0.45 -0.680905 -0.681488 -0.00302265 -0.00302091 -1.73918e-06
0.46 -0.680163 -0.680755 -0.00303808 -0.0030363 -1.78049e-06
0.47 -0.679418 -0.680021 -0.00305363 -0.00305181 -1.82198e-06
0.48 -0.678672 -0.679284 -0.00306931 -0.00306745 -1.86363e-06
0.49 -0.677923 -0.678545 -0.00308512 -0.00308321 -1.90545e-06
0.5 -0.677172 -0.677804 -0.00310105 -0.0030991 -1.94744e-06
0.51 -0.676419 -0.67706 -0.00311711 -0.00311512 -1.9896e-06
0.52 -0.675664 -0.676315 -0.0031333 -0.00313127 -2.03194e-06
0.53 -0.674906 -0.675567 -0.00314962 -0.00314754 -2.07445e-06
0.54 -0.674146 -0.674817 -0.00316607 -0.00316395 -2.11714e-06
0.55 -0.673384 -0.674065 -0.00318266 -0.0031805 -2.16001e-06
0.56 -0.67262 -0.673311 -0.00319938 -0.00319718 -2.20306e-06
0.57 -0.671853 -0.672554 -0.00321624 -0.00321399 -2.24628e-06
0.58 -0.671084 -0.671795 -0.00323324 -0.00323095 -2.28969e-06
0.59 -0.670313 -0.671034 -0.00325038 -0.00324804 -2.33328e-06
0.6 -0.669539 -0.670271 -0.00326766 -0.00326528 -2.37706e-06
0.61 -0.668763 -0.669505 -0.00328508 -0.00328266 -2.42102e-06
0.62 -0.667984 -0.668737 -0.00330265 -0.00330018 -2.46517e-06
0.63 -0.667204 -0.667967 -0.00332036 -0.00331785 -2.50951e-06
0.64 -0.66642 -0.667194 -0.00333822 -0.00333566 -2.55404e-06
0.65 -0.665635 -0.66642 -0.00335623 -0.00335363 -2.59876e-06
0.66 -0.664847 -0.665642 -0.00337439 -0.00337175 -2.64367e-06
0.67 -0.664057 -0.664863 -0.0033927 -0.00339001 -2.68878e-06
0.68 -0.663264 -0.664081 -0.00341117 -0.00340844 -2.73409e-06
0.69 -0.662468 -0.663297 -0.00342979 -0.00342701 -2.77959e-06
0.7 -0.661671 -0.662511 -0.00344857 -0.00344575 -2.8253e-06
0.71 -0.660871 -0.661722 -0.00346752 -0.00346464 -2.87121e-06
0.72 -0.660068 -0.66093 -0.00348662 -0.0034837 -2.91731e-06
0.73 -0.659263 -0.660137 -0.00350588 -0.00350292 -2.96363e-06
0.74 -0.658455 -0.659341 -0.00352531 -0.0035223 -3.01015e-06
0.75 -0.657645 -0.658542 -0.00354491 -0.00354185 -3.05688e-06
0.76 -0.656832 -0.657741 -0.00356467 -0.00356157 -3.10381e-06
0.77 -0.656017 -0.656938 -0.00358461 -0.00358146 -3.15096e-06
0.78 -0.655199 -0.656132 -0.00360472 -0.00360152 -3.19833e-06
0.79 -0.654379 -0.655324 -0.003625 -0.00362175 -3.2459e-06
0.8 -0.653556 -0.654513 -0.00364546 -0.00364216 -3.2937e-06
0.81 -0.65273 -0.6537 -0.00366609 -0.00366275 -3.34171e-06
0.82 -0.651902 -0.652884 -0.00368691 -0.00368352 -3.38994e-06
0.83 -0.651071 -0.652066 -0.00370791 -0.00370447 -3.43839e-06
0.84 -0.650238 -0.651245 -0.0037291 -0.00372561 -3.48707e-06
0.85 -0.649402 -0.650422 -0.00375047 -0.00374693 -3.53598e-06
0.86 -0.648563 -0.649596 -0.00377203 -0.00376844 -3.58511e-06
0.87 -0.647721 -0.648768 -0.00379378 -0.00379014 -3.63447e-06
0.88 -0.646877 -0.647937 -0.00381572 -0.00381204 -3.68406e-06
0.89 -0.64603 -0.647103 -0.00383786 -0.00383413 -3.73389e-06
0.9 -0.645181 -0.646267 -0.0038602 -0.00385641 -3.78395e-06
0.91 -0.644329 -0.645429 -0.00388274 -0.0038789 -3.83424e-06
0.92 -0.643473 -0.644587 -0.00390548 -0.00390159 -3.88478e-06
0.93 -0.642616 -0.643743 -0.00392842 -0.00392448 -3.93556e-06
0.94 -0.641755 -0.642897 -0.00395157 -0.00394758 -3.98658e-06
0.95 -0.640892 -0.642047 -0.00397493 -0.00397089 -4.03785e-06
0.96 -0.640025 -0.641195 -0.00399851 -0.00399442 -4.08937e-06
0.97 -0.639156 -0.640341 -0.00402229 -0.00401815 -4.14113e-06
0.98 -0.638285 -0.639483 -0.0040463 -0.0040421 -4.19315e-06
0.99 -0.63741 -0.638623 -0.00407052 -0.00406628 -4.24542e-06
1 -0.636532 -0.637761 -0.00409497 -0.00409067 -4.29795e-06
1.01 -0.635652 -0.636895 -0.00411964 -0.00411529 -4.35073e-06
1.02 -0.634768 -0.636027 -0.00414454 -0.00414014 -4.40378e-06
1.03 -0.633882 -0.635156 -0.00416967 -0.00416521 -4.45709e-06
1.04 -0.632993 -0.634282 -0.00419504 -0.00419052 -4.51066e-06
1.05 -0.632101 -0.633405 -0.00422064 -0.00421607 -4.5645e-06
1.06 -0.631205 -0.632526 -0.00424647 -0.00424186 -4.61861e-06
1.07 -0.630307 -0.631644 -0.00427255 -0.00426788 -4.673e-06
1.08 -0.629406 -0.630758 -0.00429888 -0.00429415 -4.72766e-06
1.09 -0.628502 -0.62987 -0.00432545 -0.00432067 -4.78259e-06
1.1 -0.627595 -0.62898 -0.00435228 -0.00434744 -4.83781e-06
1.11 -0.626685 -0.628086 -0.00437936 -0.00437446 -4.89331e-06
1.12 -0.625771 -0.627189 -0.00440669 -0.00440174 -4.94909e-06
1.13 -0.624855 -0.62629 -0.00443429 -0.00442928 -5.00516e-06
1.14 -0.623935 -0.625387 -0.00446214 -0.00445708 -5.06152e-06
1.15 -0.623013 -0.624482 -0.00449027 -0.00448515 -5.11817e-06
1.16 -0.622087 -0.623573 -0.00451867 -0.00451349 -5.17512e-06
1.17 -0.621158 -0.622662 -0.00454733 -0.0045421 -5.23236e-06
1.18 -0.620226 -0.621748 -0.00457628 -0.00457099 -5.28991e-06
1.19 -0.619291 -0.62083 -0.00460551 -0.00460016 -5.34776e-06
