Time Vpre Vpost i ifast islow
0 -0.712189 -0.712228 -0.00395936 -0.00386019 -9.91636e-05
0.01 -0.711536 -0.711612 -0.00407684 -0.00387814 -0.000198698
0.02 -0.71088 -0.710993 -0.00419483 -0.00389622 -0.000298606
0.03 -0.710223 -0.710372 -0.00431332 -0.00391443 -0.00039889
0.04 -0.709564 -0.709748 -0.00443233 -0.00393277 -0.000499553
0.05 -0.708904 -0.709122 -0.00455185 -0.00395125 -0.000600597
0.06 -0.708241 -0.708494 -0.00467189 -0.00396987 -0.000702025
0.07 -0.707577 -0.707863 -0.00479245 -0.00398862 -0.000803839
0.08 -0.706911 -0.70723 -0.00491355 -0.0040075 -0.000906042
0.09 -0.706243 -0.706594 -0.00503517 -0.00402653 -0.00100864
0.1 -0.705573 -0.705957 -0.00515733 -0.0040457 -0.00111163
0.11 -0.704902 -0.705317 -0.00528003 -0.00406502 -0.00121501
0.12 -0.704228 -0.704676 -0.00540327 -0.00408447 -0.0013188
0.13 -0.703553 -0.704032 -0.00552707 -0.00410408 -0.00142299
0.14 -0.702876 -0.703386 -0.00565141 -0.00412383 -0.00152759
0.15 -0.702197 -0.702738 -0.00577632 -0.00414373 -0.00163259
0.16 -0.701516 -0.702089 -0.00590179 -0.00416378 -0.00173801
0.17 -0.700833 -0.701437 -0.00602782 -0.00418398 -0.00184384
0.18 -0.700148 -0.700783 -0.00615443 -0.00420434 -0.00195009
0.19 -0.699462 -0.700128 -0.00628161 -0.00422485 -0.00205676
0.2 -0.698773 -0.69947 -0.00640937 -0.00424552 -0.00216385
0.21 -0.698083 -0.698811 -0.00653772 -0.00426634 -0.00227137
0.22 -0.69739 -0.698149 -0.00666666 -0.00428733 -0.00237933
0.23 -0.696696 -0.697486 -0.00679619 -0.00430848 -0.00248771
0.24 -0.695999 -0.696821 -0.00692633 -0.00432979 -0.00259653
0.25 -0.695301 -0.696155 -0.00705707 -0.00435127 -0.00270579
0.26 -0.694601 -0.695486 -0.00718842 -0.00437292 -0.0028155
0.27 -0.693898 -0.694815 -0.00732038 -0.00439473 -0.00292565
0.28 -0.693194 -0.694143 -0.00745297 -0.00441672 -0.00303625
0.29 -0.692488 -0.693469 -0.00758618 -0.00443887 -0.0031473
0.3 -0.691779 -0.692793 -0.00772002 -0.00446121 -0.00325881
0.31 -0.691069 -0.692116 -0.00785449 -0.00448371 -0.00337078
0.32 -0.690356 -0.691436 -0.00798961 -0.0045064 -0.00348321
0.33 -0.689642 -0.690755 -0.00812538 -0.00452926 -0.00359611
0.34 -0.688925 -0.690072 -0.00826179 -0.00455231 -0.00370948
0.35 -0.688207 -0.689387 -0.00839887 -0.00457554 -0.00382333
0.36 -0.687486 -0.688701 -0.0085366 -0.00459895 -0.00393765
0.37 -0.686763 -0.688012 -0.00867501 -0.00462255 -0.00405246
0.38 -0.686038 -0.687322 -0.00881409 -0.00464635 -0.00416774
0.39 -0.685311 -0.68663 -0.00895385 -0.00467033 -0.00428352
0.4 -0.684582 -0.685937 -0.0090943 -0.00469451 -0.00439979
0.41 -0.683851 -0.685241 -0.00923544 -0.00471888 -0.00451656
0.42 -0.683118 -0.684544 -0.00937727 -0.00474345 -0.00463383
0.43 -0.682382 -0.683845 -0.00951981 -0.00476822 -0.0047516
0.44 -0.681644 -0.683144 -0.00966306 -0.00479319 -0.00486988
0.45 -0.680905 -0.682441 -0.00980703 -0.00481836 -0.00498867
0.46 -0.680163 -0.681737 -0.00995172 -0.00484374 -0.00510798
0.47 -0.679418 -0.681031 -0.0100971 -0.00486933 -0.0052278
0.48 -0.678672 -0.680323 -0.0102433 -0.00489513 -0.00534816
0.49 -0.677923 -0.679613 -0.0103902 -0.00492115 -0.00546904
0.5 -0.677172 -0.678902 -0.0105378 -0.00494737 -0.00559045
0.51 -0.676419 -0.678188 -0.0106862 -0.00497382 -0.0057124
0.52 -0.675664 -0.677473 -0.0108354 -0.00500049 -0.00583489
0.53 -0.674906 -0.676756 -0.0109853 -0.00502737 -0.00595792
0.54 -0.674146 -0.676037 -0.011136 -0.00505449 -0.00608151
0.55 -0.673384 -0.675316 -0.0112875 -0.00508183 -0.00620565
0.56 -0.67262 -0.674594 -0.0114397 -0.0051094 -0.00633035
0.57 -0.671853 -0.67387 -0.0115928 -0.0051372 -0.00645561
0.58 -0.671084 -0.673144 -0.0117467 -0.00516524 -0.00658144
0.59 -0.670313 -0.672416 -0.0119014 -0.00519351 -0.00670784
0.6 -0.669539 -0.671686 -0.0120568 -0.00522203 -0.00683482
0.61 -0.668763 -0.670954 -0.0122132 -0.00525078 -0.00696238
0.62 -0.667984 -0.67022 -0.0123703 -0.00527979 -0.00709053
0.63 -0.667204 -0.669485 -0.0125283 -0.00530904 -0.00721926
0.64 -0.66642 -0.668748 -0.0126871 -0.00533854 -0.0073486
0.65 -0.665635 -0.668009 -0.0128468 -0.0053683 -0.00747853
0.66 -0.664847 -0.667267 -0.0130074 -0.00539831 -0.00760907
0.67 -0.664057 -0.666525 -0.0131688 -0.00542858 -0.00774022
0.68 -0.663264 -0.66578 -0.0133311 -0.00545911 -0.00787199
0.69 -0.662468 -0.665033 -0.0134943 -0.00548992 -0.00800438
0.7 -0.661671 -0.664284 -0.0136584 -0.00552098 -0.00813739
0.71 -0.660871 -0.663534 -0.0138234 -0.00555232 -0.00827103
0.72 -0.660068 -0.662781 -0.0139893 -0.00558394 -0.00840532
0.73 -0.659263 -0.662027 -0.0141561 -0.00561583 -0.00854024
0.74 -0.658455 -0.661271 -0.0143238 -0.00564801 -0.00867581
0.75 -0.657645 -0.660512 -0.0144925 -0.00568046 -0.00881204
0.76 -0.656832 -0.659752 -0.0146621 -0.00571321 -0.00894892
0.77 -0.656017 -0.65899 -0.0148327 -0.00574625 -0.00908646
0.78 -0.655199 -0.658226 -0.0150043 -0.00577958 -0.00922468
0.79 -0.654379 -0.65746 -0.0151768 -0.00581321 -0.00936357
0.8 -0.653556 -0.656692 -0.0153503 -0.00584714 -0.00950314
0.81 -0.65273 -0.655921 -0.0155248 -0.00588137 -0.0096434
0.82 -0.651902 -0.655149 -0.0157003 -0.00591591 -0.00978436
0.83 -0.651071 -0.654375 -0.0158768 -0.00595077 -0.00992601
0.84 -0.650238 -0.653599 -0.0160543 -0.00598594 -0.0100684
0.85 -0.649402 -0.652821 -0.0162329 -0.00602143 -0.0102114
0.86 -0.648563 -0.652041 -0.0164125 -0.00605724 -0.0103552
0.87 -0.647721 -0.651259 -0.0165931 -0.00609338 -0.0104997
0.88 -0.646877 -0.650475 -0.0167748 -0.00612985 -0.010645
0.89 -0.64603 -0.649689 -0.0169576 -0.00616665 -0.0107909
0.9 -0.645181 -0.648901 -0.0171414 -0.0062038 -0.0109376
0.91 -0.644329 -0.64811 -0.0173264 -0.00624129 -0.0110851
0.92 -0.643473 -0.647318 -0.0175124 -0.00627912 -0.0112333
0.93 -0.642616 -0.646524 -0.0176996 -0.0063173 -0.0113823
0.94 -0.641755 -0.645727 -0.0178879 -0.00635584 -0.0115321
0.95 -0.640892 -0.644929 -0.0180773 -0.00639474 -0.0116826
0.96 -0.640025 -0.644128 -0.0182679 -0.00643401 -0.0118339
0.97 -0.639156 -0.643325 -0.0184596 -0.00647364 -0.011986
0.98 -0.638285 -0.642521 -0.0186525 -0.00651365 -0.0121389
0.99 -0.63741 -0.641714 -0.0188466 -0.00655403 -0.0122926
1 -0.636532 -0.640905 -0.0190419 -0.00659479 -0.0124471
1.01 -0.635652 -0.640094 -0.0192384 -0.00663595 -0.0126024
1.02 -0.634768 -0.63928 -0.0194361 -0.00667749 -0.0127586
1.03 -0.633882 -0.638465 -0.019635 -0.00671943 -0.0129156
1.04 -0.632993 -0.637647 -0.0198352 -0.00676177 -0.0130734
1.05 -0.632101 -0.636827 -0.0200366 -0.00680452 -0.0132321
1.06 -0.631205 -0.636006 -0.0202393 -0.00684768 -0.0133916
1.07 -0.630307 -0.635181 -0.0204433 -0.00689126 -0.013552
1.08 -0.629406 -0.634355 -0.0206486 -0.00693526 -0.0137133
1.09 -0.628502 -0.633527 -0.0208551 -0.00697969 -0.0138755
1.1 -0.627595 -0.632696 -0.021063 -0.00702454 -0.0140385
1.11 -0.626685 -0.631863 -0.0212723 -0.00706984 -0.0142024
1.12 -0.625771 -0.631028 -0.0214829 -0.00711558 -0.0143673
1.13 -0.624855 -0.630191 -0.0216948 -0.00716177 -0.014533
1.14 -0.623935 -0.629351 -0.0219081 -0.00720842 -0.0146997
1.15 -0.623013 -0.62851 -0.0221229 -0.00725553 -0.0148673
1.16 -0.622087 -0.627666 -0.022339 -0.0073031 -0.0150359
1.17 -0.621158 -0.626819 -0.0225565 -0.00735115 -0.0152054
1.18 -0.620226 -0.625971 -0.0227755 -0.00739967 -0.0153758
1.19 -0.619291 -0.62512 -0.0229959 -0.00744868 -0.0155473
1.2 -0.618352 -0.624267 -0.0232178 -0.00749819 -0.0157197
1.21 -0.617411 -0.623412 -0.0234412 -0.00754819 -0.015893
1.22 -0.616466 -0.622554 -0.0236661 -0.00759869 -0.0160674
1.23 -0.615518 -0.621694 -0.0238925 -0.00764971 -0.0162428
1.24 -0.614566 -0.620832 -0.0241205 -0.00770124 -0.0164192
1.25 -0.613611 -0.619967 -0.0243499 -0.0077533 -0.0165966
1.26 -0.612653 -0.619101 -0.024581 -0.00780589 -0.0167751
1.27 -0.611692 -0.618231 -0.0248136 -0.00785902 -0.0169546
