Time Vpre Vpost i ifast islow
0 -0.0482842 -0.0457664 2.39e-08 3.64231e-11 2.38636e-08
0.01 -0.0482798 -0.0459373 3.15438e-08 3.49848e-11 3.15088e-08
0.02 -0.0482753 -0.0455528 3.80859e-08 3.83311e-11 3.80475e-08
0.03 -0.0482709 -0.0457633 3.75758e-08 3.65505e-11 3.75392e-08
0.04 -0.0482664 -0.0457389 3.83019e-08 3.6795e-11 3.82651e-08
0.05 -0.0482619 -0.0456565 3.92602e-08 3.75413e-11 3.92226e-08
0.06 -0.0482574 -0.0458152 3.79263e-08 3.62033e-11 3.78901e-08
0.07 -0.0482529 -0.0458946 3.72653e-08 3.55495e-11 3.72297e-08
0.08 -0.0482484 -0.0458305 3.78915e-08 3.61383e-11 3.78553e-08
0.09 -0.0482439 -0.0457878 3.83186e-08 3.65426e-11 3.82821e-08
0.1 -0.0482393 -0.0458457 3.78285e-08 3.60742e-11 3.77924e-08
0.11 -0.0482348 -0.0456504 3.96445e-08 3.78056e-11 3.96066e-08
0.12 -0.0482302 -0.0455772 4.03497e-08 3.84782e-11 4.03112e-08
0.13 -0.0482256 -0.0456016 4.01649e-08 3.83021e-11 4.01266e-08
0.14 -0.048221 -0.0456931 3.93664e-08 3.75409e-11 3.93289e-08
0.15 -0.0482164 -0.0456992 3.93479e-08 3.75234e-11 3.93103e-08
0.16 -0.0482118 -0.0457328 3.90775e-08 3.72658e-11 3.90402e-08
0.17 -0.0482071 -0.045684 3.95619e-08 3.7728e-11 3.95242e-08
0.18 -0.0482025 -0.0454765 4.15035e-08 3.95797e-11 4.14639e-08
0.19 -0.0481978 -0.0455985 4.04227e-08 3.85493e-11 4.03842e-08
0.2 -0.0481932 -0.0456535 3.99558e-08 3.81043e-11 3.99177e-08
0.21 -0.0481885 -0.0455436 4.10054e-08 3.91055e-11 4.09663e-08
0.22 -0.0481838 -0.0454551 4.186e-08 3.99207e-11 4.18201e-08
0.23 -0.0481791 -0.0455131 4.13657e-08 3.94496e-11 4.13263e-08
0.24 -0.0481743 -0.0454368 4.21099e-08 4.01595e-11 4.20697e-08
0.25 -0.0481696 -0.0454795 4.17563e-08 3.98225e-11 4.17165e-08
0.26 -0.0481649 -0.0455009 4.15991e-08 3.96728e-11 4.15594e-08
0.27 -0.0481601 -0.0455589 4.11029e-08 3.91998e-11 4.10637e-08
0.28 -0.0481553 -0.0455467 4.12561e-08 3.93462e-11 4.12168e-08
0.29 -0.0481505 -0.0455436 4.13253e-08 3.94124e-11 4.12859e-08
0.3 -0.0481457 -0.0453117 4.35185e-08 4.15044e-11 4.3477e-08
0.31 -0.0481409 -0.0454276 4.24845e-08 4.05185e-11 4.2444e-08
0.32 -0.0481361 -0.0454459 4.23563e-08 4.03965e-11 4.23159e-08
0.33 -0.0481312 -0.0454002 4.28238e-08 4.08426e-11 4.27829e-08
0.34 -0.0481263 -0.0454185 4.26958e-08 4.07207e-11 4.26551e-08
0.35 -0.0481215 -0.0454154 4.27673e-08 4.07892e-11 4.27265e-08
0.36 -0.0481166 -0.045388 4.30658e-08 4.10742e-11 4.30248e-08
0.37 -0.0481117 -0.0454673 4.23678e-08 4.04086e-11 4.23273e-08
0.38 -0.0481068 -0.0455772 4.1382e-08 3.94687e-11 4.13426e-08
0.39 -0.0481018 -0.0454765 4.23669e-08 4.04083e-11 4.23264e-08
0.4 -0.0480969 -0.0454063 4.30678e-08 4.10771e-11 4.30267e-08
0.41 -0.0480919 -0.0454215 4.29687e-08 4.09829e-11 4.29278e-08
0.42 -0.0480869 -0.0455009 4.22665e-08 4.03133e-11 4.22261e-08
0.43 -0.048082 -0.0455314 4.20227e-08 4.0081e-11 4.19826e-08
0.44 -0.0480769 -0.045391 4.33872e-08 4.13828e-11 4.33458e-08
0.45 -0.0480719 -0.045507 4.23385e-08 4.03828e-11 4.22981e-08
0.46 -0.0480669 -0.0455619 4.18641e-08 3.99306e-11 4.18242e-08
0.47 -0.0480618 -0.0453544 4.38665e-08 4.18408e-11 4.38247e-08
0.48 -0.0480568 -0.0453849 4.36235e-08 4.16092e-11 4.35819e-08
0.49 -0.0480517 -0.0454337 4.32069e-08 4.12121e-11 4.31657e-08
0.5 -0.0480466 -0.045507 4.25574e-08 4.05929e-11 4.25168e-08
0.51 -0.0480415 -0.0452995 4.45692e-08 4.25121e-11 4.45267e-08
0.52 -0.0480364 -0.0454643 4.30514e-08 4.10647e-11 4.30104e-08
0.53 -0.0480312 -0.0455192 4.25748e-08 4.06103e-11 4.25342e-08
0.54 -0.0480261 -0.0453422 4.4303e-08 4.22591e-11 4.42608e-08
0.55 -0.0480209 -0.0453971 4.38269e-08 4.18052e-11 4.37851e-08
0.56 -0.0480157 -0.0455772 4.21565e-08 4.02121e-11 4.21163e-08
0.57 -0.0480105 -0.0453788 4.40942e-08 4.20607e-11 4.40521e-08
0.58 -0.0480053 -0.0454093 4.38496e-08 4.18277e-11 4.38078e-08
0.59 -0.0480001 -0.0455863 4.22038e-08 4.0258e-11 4.21635e-08
0.6 -0.0479948 -0.0453361 4.46437e-08 4.25858e-11 4.46011e-08
0.61 -0.0479896 -0.0455863 4.2294e-08 4.03446e-11 4.22536e-08
0.62 -0.0479843 -0.0454154 4.39787e-08 4.1952e-11 4.39368e-08
0.63 -0.047979 -0.0454307 4.38791e-08 4.18572e-11 4.38372e-08
0.64 -0.0479737 -0.0453697 4.45128e-08 4.2462e-11 4.44703e-08
0.65 -0.0479683 -0.0453727 4.45321e-08 4.24807e-11 4.44896e-08
0.66 -0.047963 -0.045272 4.55505e-08 4.34526e-11 4.55071e-08
0.67 -0.0479576 -0.0452598 4.57177e-08 4.36124e-11 4.56741e-08
0.68 -0.0479523 -0.0454307 4.41175e-08 4.20861e-11 4.40754e-08
0.69 -0.0479469 -0.0452537 4.58766e-08 4.37645e-11 4.58329e-08
0.7 -0.0479414 -0.0452781 4.56908e-08 4.35876e-11 4.56473e-08
0.71 -0.047936 -0.0453788 4.47656e-08 4.27053e-11 4.47229e-08
0.72 -0.0479306 -0.0452995 4.5584e-08 4.34863e-11 4.55405e-08
0.73 -0.0479251 -0.0453452 4.51908e-08 4.31115e-11 4.51477e-08
0.74 -0.0479196 -0.0453147 4.55373e-08 4.34424e-11 4.54939e-08
0.75 -0.0479141 -0.0452476 4.62409e-08 4.41139e-11 4.61968e-08
0.76 -0.0479086 -0.0452933 4.58473e-08 4.37387e-11 4.58036e-08
0.77 -0.0479031 -0.0452415 4.64038e-08 4.42699e-11 4.63595e-08
0.78 -0.0478975 -0.0452903 4.59794e-08 4.38654e-11 4.59355e-08
0.79 -0.047892 -0.0451743 4.71649e-08 4.49967e-11 4.71199e-08
0.8 -0.0478864 -0.0452476 4.65009e-08 4.43635e-11 4.64565e-08
0.81 -0.0478808 -0.0453269 4.57767e-08 4.3673e-11 4.57331e-08
0.82 -0.0478752 -0.045333 4.57689e-08 4.36658e-11 4.57252e-08
0.83 -0.0478695 -0.0453086 4.60605e-08 4.39444e-11 4.60166e-08
0.84 -0.0478639 -0.0451987 4.71933e-08 4.50255e-11 4.71483e-08
0.85 -0.0478582 -0.0453147 4.61059e-08 4.39883e-11 4.60619e-08
0.86 -0.0478525 -0.0452232 4.70603e-08 4.48992e-11 4.70154e-08
0.87 -0.0478468 -0.0453239 4.61212e-08 4.40036e-11 4.60772e-08
0.88 -0.0478411 -0.0454643 4.47881e-08 4.2732e-11 4.47454e-08
0.89 -0.0478354 -0.0454215 4.52631e-08 4.31855e-11 4.52199e-08
0.9 -0.0478296 -0.0453971 4.55572e-08 4.34665e-11 4.55137e-08
0.91 -0.0478238 -0.0453452 4.61246e-08 4.40081e-11 4.60806e-08
0.92 -0.047818 -0.0454337 4.53005e-08 4.32222e-11 4.52573e-08
0.93 -0.0478122 -0.0453666 4.60201e-08 4.39091e-11 4.59762e-08
0.94 -0.0478064 -0.0452903 4.68329e-08 4.46849e-11 4.67882e-08
0.95 -0.0478005 -0.045507 4.47307e-08 4.26795e-11 4.4688e-08
0.96 -0.0477946 -0.0454521 4.53308e-08 4.32524e-11 4.52876e-08
0.97 -0.0477887 -0.0454551 4.53546e-08 4.32755e-11 4.53114e-08
0.98 -0.0477828 -0.0454276 4.56834e-08 4.35895e-11 4.56398e-08
0.99 -0.0477769 -0.0454368 4.56458e-08 4.3554e-11 4.56023e-08
1 -0.0477709 -0.0453636 4.64336e-08 4.4306e-11 4.63892e-08
1.01 -0.047765 -0.045391 4.62145e-08 4.40974e-11 4.61705e-08
1.02 -0.047759 -0.0452842 4.73424e-08 4.51739e-11 4.72972e-08
1.03 -0.047753 -0.0452659 4.75835e-08 4.54043e-11 4.75381e-08
1.04 -0.0477469 -0.0453605 4.66891e-08 4.45512e-11 4.66445e-08
1.05 -0.0477409 -0.0453605 4.67458e-08 4.46057e-11 4.67012e-08
1.06 -0.0477348 -0.0453544 4.68643e-08 4.47191e-11 4.68196e-08
1.07 -0.0477287 -0.045391 4.65519e-08 4.44214e-11 4.65075e-08
1.08 -0.0477226 -0.0455131 4.53742e-08 4.32979e-11 4.53309e-08
1.09 -0.0477165 -0.0453666 4.69133e-08 4.4767e-11 4.68686e-08
1.1 -0.0477103 -0.045449 4.61359e-08 4.40254e-11 4.60918e-08
1.11 -0.0477042 -0.0452842 4.78657e-08 4.56765e-11 4.782e-08
1.12 -0.047698 -0.0452201 4.85765e-08 4.63552e-11 4.85301e-08
1.13 -0.0476917 -0.0453147 4.76744e-08 4.54947e-11 4.76289e-08
1.14 -0.0476855 -0.0452933 4.79519e-08 4.57599e-11 4.79062e-08
1.15 -0.0476792 -0.0455039 4.58637e-08 4.37675e-11 4.58199e-08
1.16 -0.047673 -0.0455253 4.57027e-08 4.36143e-11 4.56591e-08
1.17 -0.0476667 -0.0454978 4.60416e-08 4.3938e-11 4.59976e-08
1.18 -0.0476604 -0.0455192 4.58806e-08 4.37848e-11 4.58368e-08
1.19 -0.047654 -0.0456565 4.45311e-08 4.24973e-11 4.44886e-08
1.2 -0.0476476 -0.0454307 4.69057e-08 4.47638e-11 4.68609e-08
1.21 -0.0476413 -0.0455436 4.58051e-08 4.37138e-11 4.57614e-08
1.22 -0.0476349 -0.0455589 4.57063e-08 4.36198e-11 4.56626e-08
1.23 -0.0476284 -0.0455558 4.57969e-08 4.37067e-11 4.57532e-08
1.24 -0.047622 -0.0454856 4.65802e-08 4.44546e-11 4.65357e-08
1.25 -0.0476155 -0.0455436 4.60411e-08 4.39406e-11 4.59972e-08
1.26 -0.047609 -0.0454124 4.74581e-08 4.52932e-11 4.74128e-08
1.27 -0.0476025 -0.0455833 4.57495e-08 4.3663e-11 4.57059e-08
1.28 -0.0475959 -0.0455222 4.64429e-08 4.43251e-11 4.63986e-08
1.29 -0.0475894 -0.0456474 4.52034e-08 4.31425e-11 4.51603e-08
1.3 -0.0475828 -0.0456016 4.5739e-08 4.36541e-11 4.56953e-08
1.31 -0.0475762 -0.0455863 4.59585e-08 4.3864e-11 4.59147e-08
1.32 -0.0475695 -0.0455375 4.6528e-08 4.4408e-11 4.64836e-08
1.33 -0.0475629 -0.0457084 4.48054e-08 4.27642e-11 4.47627e-08
1.34 -0.0475562 -0.0454704 4.73531e-08 4.51962e-11 4.73079e-08
1.35 -0.0475495 -0.0455039 4.70655e-08 4.49222e-11 4.70206e-08
1.36 -0.0475428 -0.0454948 4.72239e-08 4.50737e-11 4.71788e-08
1.37 -0.047536 -0.0454093 4.81847e-08 4.59912e-11 4.81387e-08
1.38 -0.0475292 -0.0455558 4.67098e-08 4.45838e-11 4.66652e-08
1.39 -0.0475224 -0.045507 4.72865e-08 4.51347e-11 4.72414e-08
1.4 -0.0475156 -0.0455863 4.65148e-08 4.43985e-11 4.64704e-08
1.41 -0.0475088 -0.0455528 4.69316e-08 4.47968e-11 4.68868e-08
1.42 -0.0475019 -0.045507 4.74796e-08 4.53202e-11 4.74343e-08
1.43 -0.047495 -0.045745 4.50261e-08 4.29787e-11 4.49831e-08
1.44 -0.0474881 -0.0456657 4.59282e-08 4.38402e-11 4.58843e-08
1.45 -0.0474811 -0.0457786 4.47934e-08 4.27574e-11 4.47507e-08
1.46 -0.0474741 -0.0456626 4.60879e-08 4.39935e-11 4.60439e-08
1.47 -0.0474671 -0.0455894 4.69307e-08 4.47984e-11 4.68859e-08
1.48 -0.0474601 -0.0456626 4.6216e-08 4.41166e-11 4.61719e-08
1.49 -0.0474531 -0.045626 4.6671e-08 4.45513e-11 4.66265e-08
1.5 -0.047446 -0.0455894 4.71274e-08 4.49875e-11 4.70824e-08
1.51 -0.0474389 -0.04551 4.80432e-08 4.58621e-11 4.79974e-08
1.52 -0.0474318 -0.0455283 4.79148e-08 4.574e-11 4.78691e-08
1.53 -0.0474246 -0.0455253 4.80148e-08 4.58358e-11 4.79689e-08
1.54 -0.0474174 -0.0455131 4.8214e-08 4.60265e-11 4.8168e-08
1.55 -0.0474102 -0.0456657 4.66405e-08 4.45248e-11 4.6596e-08
1.56 -0.047403 -0.0454002 4.95682e-08 4.73202e-11 4.95209e-08
1.57 -0.0473957 -0.0454459 4.91461e-08 4.69176e-11 4.90992e-08
1.58 -0.0473884 -0.0454795 4.88536e-08 4.66389e-11 4.8807e-08
1.59 -0.0473811 -0.0453788 5.00139e-08 4.77471e-11 4.99662e-08
1.6 -0.0473738 -0.0453697 5.0185e-08 4.79108e-11 5.01371e-08
1.61 -0.0473664 -0.0455955 4.7807e-08 4.56411e-11 4.77614e-08
1.62 -0.047359 -0.04551 4.88061e-08 4.65953e-11 4.87595e-08
1.63 -0.0473516 -0.0453971 5.01064e-08 4.78373e-11 5.00586e-08
1.64 -0.0473441 -0.0455283 4.87497e-08 4.65424e-11 4.87031e-08
1.65 -0.0473366 -0.0454826 4.93204e-08 4.70878e-11 4.92733e-08
1.66 -0.0473291 -0.0457298 4.66904e-08 4.45773e-11 4.66458e-08
1.67 -0.0473216 -0.0457084 4.69939e-08 4.48675e-11 4.6949e-08
1.68 -0.047314 -0.0456169 4.80672e-08 4.58928e-11 4.80214e-08
1.69 -0.0473064 -0.0455955 4.8374e-08 4.61862e-11 4.83278e-08
1.7 -0.0472988 -0.0455558 4.88832e-08 4.66727e-11 4.88365e-08
1.71 -0.0472911 -0.0455924 4.85535e-08 4.63584e-11 4.85071e-08
1.72 -0.0472834 -0.0456504 4.79868e-08 4.58179e-11 4.7941e-08
