Time Vpre Vpost i ifast islow
0 -0.712189 -0.716663 -0.460481 -0.460419 -6.26102e-05
0.01 -0.711536 -0.720246 -0.461806 -0.46168 -0.000125763
0.02 -0.71088 -0.723605 -0.463067 -0.462878 -0.000189436
0.03 -0.710223 -0.726752 -0.46427 -0.464016 -0.000253608
0.04 -0.709564 -0.729701 -0.465416 -0.465098 -0.00031826
0.05 -0.708904 -0.732466 -0.466511 -0.466127 -0.000383376
0.06 -0.708241 -0.735056 -0.467556 -0.467107 -0.00044894
0.07 -0.707577 -0.737484 -0.468555 -0.46804 -0.000514937
0.08 -0.706911 -0.739759 -0.469512 -0.46893 -0.000581356
0.09 -0.706243 -0.741893 -0.470427 -0.469779 -0.000648185
0.1 -0.705573 -0.743893 -0.471306 -0.47059 -0.000715413
0.11 -0.704902 -0.745769 -0.472149 -0.471366 -0.000783033
0.12 -0.704228 -0.747529 -0.472959 -0.472108 -0.000851035
0.13 -0.703553 -0.74918 -0.473738 -0.472818 -0.000919414
0.14 -0.702876 -0.750731 -0.474488 -0.4735 -0.000988163
0.15 -0.702197 -0.752186 -0.475211 -0.474154 -0.00105728
0.16 -0.701516 -0.753554 -0.47591 -0.474783 -0.00112675
0.17 -0.700833 -0.75484 -0.476584 -0.475388 -0.00119658
0.18 -0.700148 -0.756049 -0.477237 -0.475971 -0.00126677
0.19 -0.699462 -0.757187 -0.47787 -0.476533 -0.00133731
0.2 -0.698773 -0.758259 -0.478484 -0.477075 -0.00140819
0.21 -0.698083 -0.759268 -0.479079 -0.4776 -0.00147943
0.22 -0.69739 -0.76022 -0.479659 -0.478108 -0.00155101
0.23 -0.696696 -0.761119 -0.480223 -0.4786 -0.00162293
0.24 -0.695999 -0.761967 -0.480772 -0.479077 -0.00169521
0.25 -0.695301 -0.762769 -0.481309 -0.479541 -0.00176783
0.26 -0.694601 -0.763528 -0.481833 -0.479992 -0.0018408
0.27 -0.693898 -0.764247 -0.482345 -0.480431 -0.00191411
0.28 -0.693194 -0.764928 -0.482847 -0.480859 -0.00198778
0.29 -0.692488 -0.765575 -0.483338 -0.481277 -0.00206179
0.3 -0.691779 -0.766189 -0.483821 -0.481685 -0.00213616
0.31 -0.691069 -0.766774 -0.484295 -0.482084 -0.00221088
0.32 -0.690356 -0.76733 -0.48476 -0.482474 -0.00228595
0.33 -0.689642 -0.767861 -0.485219 -0.482857 -0.00236139
0.34 -0.688925 -0.768368 -0.48567 -0.483233 -0.00243718
0.35 -0.688207 -0.768853 -0.486115 -0.483602 -0.00251334
0.36 -0.687486 -0.769317 -0.486554 -0.483964 -0.00258986
0.37 -0.686763 -0.769761 -0.486988 -0.484321 -0.00266674
0.38 -0.686038 -0.770188 -0.487416 -0.484672 -0.002744
0.39 -0.685311 -0.770599 -0.48784 -0.485018 -0.00282163
0.4 -0.684582 -0.770994 -0.488259 -0.485359 -0.00289964
0.41 -0.683851 -0.771375 -0.488674 -0.485696 -0.00297803
0.42 -0.683118 -0.771743 -0.489086 -0.486029 -0.0030568
0.43 -0.682382 -0.772099 -0.489494 -0.486358 -0.00313596
0.44 -0.681644 -0.772444 -0.489898 -0.486683 -0.0032155
0.45 -0.680905 -0.772778 -0.4903 -0.487005 -0.00329544
0.46 -0.680163 -0.773103 -0.490699 -0.487324 -0.00337577
0.47 -0.679418 -0.773419 -0.491096 -0.487639 -0.0034565
0.48 -0.678672 -0.773727 -0.49149 -0.487952 -0.00353764
0.49 -0.677923 -0.774027 -0.491882 -0.488263 -0.00361918
0.5 -0.677172 -0.77432 -0.492272 -0.488571 -0.00370113
0.51 -0.676419 -0.774607 -0.49266 -0.488877 -0.0037835
0.52 -0.675664 -0.774888 -0.493047 -0.489181 -0.00386628
0.53 -0.674906 -0.775163 -0.493432 -0.489482 -0.00394949
0.54 -0.674146 -0.775434 -0.493815 -0.489782 -0.00403312
0.55 -0.673384 -0.7757 -0.494198 -0.490081 -0.00411718
0.56 -0.67262 -0.775961 -0.494579 -0.490377 -0.00420167
0.57 -0.671853 -0.776219 -0.494959 -0.490673 -0.0042866
0.58 -0.671084 -0.776474 -0.495338 -0.490966 -0.00437197
0.59 -0.670313 -0.776725 -0.495717 -0.491259 -0.00445779
0.6 -0.669539 -0.776973 -0.496094 -0.49155 -0.00454405
0.61 -0.668763 -0.777219 -0.496471 -0.49184 -0.00463077
0.62 -0.667984 -0.777462 -0.496847 -0.492129 -0.00471795
0.63 -0.667204 -0.777703 -0.497223 -0.492417 -0.00480558
0.64 -0.66642 -0.777942 -0.497598 -0.492704 -0.00489369
0.65 -0.665635 -0.778179 -0.497972 -0.49299 -0.00498226
0.66 -0.664847 -0.778415 -0.498347 -0.493275 -0.00507131
0.67 -0.664057 -0.778649 -0.498721 -0.49356 -0.00516083
0.68 -0.663264 -0.778882 -0.499094 -0.493843 -0.00525084
0.69 -0.662468 -0.779114 -0.499468 -0.494126 -0.00534134
0.7 -0.661671 -0.779345 -0.499841 -0.494409 -0.00543233
0.71 -0.660871 -0.779575 -0.500214 -0.49469 -0.00552382
0.72 -0.660068 -0.779804 -0.500587 -0.494971 -0.00561581
0.73 -0.659263 -0.780033 -0.50096 -0.495252 -0.0057083
0.74 -0.658455 -0.780261 -0.501333 -0.495531 -0.0058013
0.75 -0.657645 -0.780489 -0.501705 -0.495811 -0.00589483
0.76 -0.656832 -0.780716 -0.502078 -0.496089 -0.00598887
0.77 -0.656017 -0.780944 -0.502451 -0.496368 -0.00608343
0.78 -0.655199 -0.781171 -0.502824 -0.496646 -0.00617853
0.79 -0.654379 -0.781398 -0.503197 -0.496923 -0.00627415
0.8 -0.653556 -0.781625 -0.50357 -0.4972 -0.00637032
0.81 -0.65273 -0.781852 -0.503943 -0.497476 -0.00646704
0.82 -0.651902 -0.782079 -0.504317 -0.497753 -0.0065643
0.83 -0.651071 -0.782306 -0.50469 -0.498028 -0.00666212
0.84 -0.650238 -0.782533 -0.505064 -0.498304 -0.0067605
0.85 -0.649402 -0.782761 -0.505438 -0.498579 -0.00685944
0.86 -0.648563 -0.782989 -0.505812 -0.498853 -0.00695896
0.87 -0.647721 -0.783217 -0.506187 -0.499128 -0.00705905
0.88 -0.646877 -0.783446 -0.506561 -0.499402 -0.00715972
0.89 -0.64603 -0.783675 -0.506936 -0.499675 -0.00726098
0.9 -0.645181 -0.783904 -0.507311 -0.499949 -0.00736283
0.91 -0.644329 -0.784134 -0.507687 -0.500222 -0.00746528
0.92 -0.643473 -0.784365 -0.508063 -0.500494 -0.00756833
0.93 -0.642616 -0.784596 -0.508439 -0.500767 -0.00767199
0.94 -0.641755 -0.784827 -0.508815 -0.501039 -0.00777626
0.95 -0.640892 -0.785059 -0.509192 -0.501311 -0.00788116
0.96 -0.640025 -0.785292 -0.509569 -0.501583 -0.00798668
0.97 -0.639156 -0.785525 -0.509947 -0.501854 -0.00809284
0.98 -0.638285 -0.785759 -0.510324 -0.502125 -0.00819963
0.99 -0.63741 -0.785994 -0.510703 -0.502396 -0.00830707
1 -0.636532 -0.786229 -0.511081 -0.502666 -0.00841516
1.01 -0.635652 -0.786465 -0.51146 -0.502936 -0.00852391
1.02 -0.634768 -0.786701 -0.51184 -0.503206 -0.00863332
1.03 -0.633882 -0.786939 -0.512219 -0.503476 -0.0087434
1.04 -0.632993 -0.787177 -0.5126 -0.503745 -0.00885416
1.05 -0.632101 -0.787415 -0.51298 -0.504015 -0.0089656
1.06 -0.631205 -0.787655 -0.513361 -0.504284 -0.00907773
1.07 -0.630307 -0.787895 -0.513743 -0.504552 -0.00919055
1.08 -0.629406 -0.788136 -0.514125 -0.504821 -0.00930408
1.09 -0.628502 -0.788378 -0.514507 -0.505089 -0.00941832
1.1 -0.627595 -0.78862 -0.51489 -0.505357 -0.00953328
1.11 -0.626685 -0.788864 -0.515273 -0.505624 -0.00964896
1.12 -0.625771 -0.789108 -0.515657 -0.505892 -0.00976537
1.13 -0.624855 -0.789353 -0.516041 -0.506159 -0.00988252
1.14 -0.623935 -0.789598 -0.516426 -0.506426 -0.0100004
1.15 -0.623013 -0.789845 -0.516811 -0.506692 -0.0101191
1.16 -0.622087 -0.790092 -0.517197 -0.506959 -0.0102385
1.17 -0.621158 -0.790341 -0.517583 -0.507225 -0.0103586
1.18 -0.620226 -0.79059 -0.51797 -0.507491 -0.0104796
1.19 -0.619291 -0.790839 -0.518358 -0.507756 -0.0106013
1.2 -0.618352 -0.79109 -0.518745 -0.508022 -0.0107239
1.21 -0.617411 -0.791342 -0.519134 -0.508287 -0.0108472
1.22 -0.616466 -0.791594 -0.519523 -0.508551 -0.0109713
1.23 -0.615518 -0.791848 -0.519912 -0.508816 -0.0110963
1.24 -0.614566 -0.792102 -0.520302 -0.50908 -0.011222
1.25 -0.613611 -0.792357 -0.520693 -0.509344 -0.0113486
1.26 -0.612653 -0.792613 -0.521084 -0.509608 -0.0114761
1.27 -0.611692 -0.792869 -0.521476 -0.509872 -0.0116044
1.28 -0.610727 -0.793127 -0.521869 -0.510135 -0.0117335
1.29 -0.609759 -0.793386 -0.522262 -0.510398 -0.0118635
1.3 -0.608787 -0.793645 -0.522655 -0.510661 -0.0119944
1.31 -0.607812 -0.793905 -0.523049 -0.510923 -0.0121262
1.32 -0.606834 -0.794167 -0.523444 -0.511185 -0.0122589
1.33 -0.605852 -0.794429 -0.52384 -0.511447 -0.0123925
1.34 -0.604867 -0.794692 -0.524236 -0.511709 -0.0125269
1.35 -0.603878 -0.794956 -0.524633 -0.51197 -0.0126624
1.36 -0.602886 -0.79522 -0.52503 -0.512232 -0.0127987
1.37 -0.60189 -0.795486 -0.525428 -0.512492 -0.012936
1.38 -0.60089 -0.795753 -0.525827 -0.512753 -0.0130742
1.39 -0.599887 -0.79602 -0.526227 -0.513013 -0.0132134
1.4 -0.59888 -0.796289 -0.526627 -0.513273 -0.0133536
1.41 -0.59787 -0.796558 -0.527028 -0.513533 -0.0134947
1.42 -0.596856 -0.796829 -0.527429 -0.513793 -0.0136369
1.43 -0.595839 -0.7971 -0.527832 -0.514052 -0.01378
1.44 -0.594817 -0.797372 -0.528235 -0.514311 -0.0139242
1.45 -0.593793 -0.797645 -0.528639 -0.514569 -0.0140694
1.46 -0.592764 -0.797919 -0.529043 -0.514828 -0.0142156
1.47 -0.591731 -0.798194 -0.529449 -0.515086 -0.0143629
1.48 -0.590695 -0.79847 -0.529855 -0.515344 -0.0145112
1.49 -0.589655 -0.798747 -0.530262 -0.515601 -0.0146606
1.5 -0.588611 -0.799025 -0.530669 -0.515858 -0.0148111
1.51 -0.587563 -0.799304 -0.531078 -0.516115 -0.0149626
1.52 -0.586512 -0.799583 -0.531487 -0.516372 -0.0151153
1.53 -0.585456 -0.799864 -0.531897 -0.516628 -0.0152691
1.54 -0.584397 -0.800146 -0.532308 -0.516884 -0.015424
1.55 -0.583334 -0.800428 -0.53272 -0.51714 -0.0155801
1.56 -0.582266 -0.800712 -0.533133 -0.517396 -0.0157373
1.57 -0.581195 -0.800996 -0.533547 -0.517651 -0.0158957
1.58 -0.58012 -0.801282 -0.533961 -0.517906 -0.0160553
1.59 -0.57904 -0.801568 -0.534376 -0.51816 -0.016216
1.6 -0.577957 -0.801856 -0.534793 -0.518415 -0.016378
1.61 -0.576869 -0.802144 -0.53521 -0.518669 -0.0165412
1.62 -0.575778 -0.802434 -0.535628 -0.518922 -0.0167056
1.63 -0.574682 -0.802724 -0.536047 -0.519176 -0.0168713
1.64 -0.573582 -0.803016 -0.536467 -0.519429 -0.0170382
1.65 -0.572478 -0.803308 -0.536888 -0.519682 -0.0172065
1.66 -0.571369 -0.803601 -0.53731 -0.519934 -0.017376
1.67 -0.570256 -0.803896 -0.537733 -0.520186 -0.0175468
1.68 -0.56914 -0.804191 -0.538157 -0.520438 -0.0177189
1.69 -0.568018 -0.804487 -0.538582 -0.52069 -0.0178924
1.7 -0.566893 -0.804785 -0.539009 -0.520941 -0.0180672
1.71 -0.565763 -0.805083 -0.539436 -0.521192 -0.0182434
1.72 -0.564628 -0.805382 -0.539864 -0.521443 -0.018421
1.73 -0.56349 -0.805683 -0.540293 -0.521693 -0.0186
1.74 -0.562346 -0.805984 -0.540724 -0.521943 -0.0187804
1.75 -0.561199 -0.806287 -0.541155 -0.522193 -0.0189622
