Time Vpre Vpost i ifast islow
0 -0.712189 -0.712185 0.000419105 0.000408608 1.04966e-05
0.01 -0.711536 -0.711528 0.000432624 0.000411539 2.10854e-05
0.02 -0.71088 -0.710869 0.000446263 0.000414496 3.17669e-05
0.03 -0.710223 -0.710208 0.000460022 0.00041748 4.25422e-05
0.04 -0.709564 -0.709545 0.000473903 0.000420491 5.34121e-05
0.05 -0.708904 -0.708881 0.000487907 0.00042353 6.43773e-05
0.06 -0.708241 -0.708215 0.000502035 0.000426597 7.54387e-05
0.07 -0.707577 -0.707548 0.000516289 0.000429691 8.65971e-05
0.08 -0.706911 -0.706878 0.000530668 0.000432815 9.78535e-05
0.09 -0.706243 -0.706207 0.000545176 0.000435967 0.000109209
0.1 -0.705573 -0.705534 0.000559813 0.000439149 0.000120664
0.11 -0.704902 -0.70486 0.000574579 0.00044236 0.000132219
0.12 -0.704228 -0.704183 0.000589478 0.000445601 0.000143876
0.13 -0.703553 -0.703505 0.000604509 0.000448873 0.000155636
0.14 -0.702876 -0.702825 0.000619674 0.000452175 0.000167499
0.15 -0.702197 -0.702143 0.000634974 0.000455508 0.000179466
0.16 -0.701516 -0.701459 0.000650411 0.000458872 0.000191539
0.17 -0.700833 -0.700773 0.000665986 0.000462269 0.000203717
0.18 -0.700148 -0.700085 0.000681701 0.000465697 0.000216003
0.19 -0.699462 -0.699396 0.000697556 0.000469158 0.000228398
0.2 -0.698773 -0.698704 0.000713554 0.000472652 0.000240901
0.21 -0.698083 -0.698011 0.000729695 0.00047618 0.000253515
0.22 -0.69739 -0.697315 0.000745981 0.000479741 0.00026624
0.23 -0.696696 -0.696618 0.000762413 0.000483336 0.000279077
0.24 -0.695999 -0.695918 0.000778994 0.000486966 0.000292028
0.25 -0.695301 -0.695217 0.000795723 0.00049063 0.000305093
0.26 -0.694601 -0.694514 0.000812604 0.00049433 0.000318274
0.27 -0.693898 -0.693808 0.000829637 0.000498066 0.000331571
0.28 -0.693194 -0.693101 0.000846824 0.000501838 0.000344986
0.29 -0.692488 -0.692392 0.000864167 0.000505647 0.00035852
0.3 -0.691779 -0.69168 0.000881666 0.000509493 0.000372173
0.31 -0.691069 -0.690967 0.000899325 0.000513377 0.000385948
0.32 -0.690356 -0.690251 0.000917143 0.000517298 0.000399845
0.33 -0.689642 -0.689534 0.000935123 0.000521258 0.000413865
0.34 -0.688925 -0.688814 0.000953267 0.000525257 0.00042801
0.35 -0.688207 -0.688092 0.000971576 0.000529296 0.000442281
0.36 -0.687486 -0.687368 0.000990052 0.000533374 0.000456678
0.37 -0.686763 -0.686642 0.0010087 0.000537493 0.000471204
0.38 -0.686038 -0.685914 0.00102751 0.000541653 0.000485859
0.39 -0.685311 -0.685184 0.0010465 0.000545854 0.000500645
0.4 -0.684582 -0.684451 0.00106566 0.000550097 0.000515563
0.41 -0.683851 -0.683717 0.001085 0.000554383 0.000530614
0.42 -0.683118 -0.68298 0.00110451 0.000558711 0.000545799
0.43 -0.682382 -0.682241 0.0011242 0.000563083 0.000561121
0.44 -0.681644 -0.681499 0.00114408 0.000567499 0.000576579
0.45 -0.680905 -0.680756 0.00116414 0.00057196 0.000592176
0.46 -0.680163 -0.68001 0.00118438 0.000576466 0.000607913
0.47 -0.679418 -0.679262 0.00120481 0.000581018 0.000623791
0.48 -0.678672 -0.678512 0.00122543 0.000585616 0.000639812
0.49 -0.677923 -0.67776 0.00124624 0.00059026 0.000655976
0.5 -0.677172 -0.677005 0.00126724 0.000594953 0.000672286
0.51 -0.676419 -0.676248 0.00128844 0.000599693 0.000688743
0.52 -0.675664 -0.675489 0.00130983 0.000604482 0.000705348
0.53 -0.674906 -0.674727 0.00133142 0.00060932 0.000722104
0.54 -0.674146 -0.673963 0.00135322 0.000614209 0.00073901
0.55 -0.673384 -0.673197 0.00137522 0.000619148 0.000756069
0.56 -0.67262 -0.672429 0.00139742 0.000624138 0.000773283
0.57 -0.671853 -0.671658 0.00141983 0.00062918 0.000790652
0.58 -0.671084 -0.670884 0.00144245 0.000634274 0.000808179
0.59 -0.670313 -0.670109 0.00146529 0.000639422 0.000825865
0.6 -0.669539 -0.66933 0.00148834 0.000644623 0.000843712
0.61 -0.668763 -0.66855 0.0015116 0.00064988 0.000861721
0.62 -0.667984 -0.667767 0.00153508 0.000655191 0.000879893
0.63 -0.667204 -0.666982 0.00155879 0.000660559 0.000898232
0.64 -0.66642 -0.666194 0.00158272 0.000665983 0.000916738
0.65 -0.665635 -0.665404 0.00160688 0.000671465 0.000935412
0.66 -0.664847 -0.664611 0.00163126 0.000677005 0.000954258
0.67 -0.664057 -0.663816 0.00165588 0.000682604 0.000973275
0.68 -0.663264 -0.663018 0.00168073 0.000688263 0.000992468
0.69 -0.662468 -0.662218 0.00170582 0.000693982 0.00101184
0.7 -0.661671 -0.661415 0.00173114 0.000699763 0.00103138
0.71 -0.660871 -0.66061 0.00175671 0.000705606 0.00105111
0.72 -0.660068 -0.659802 0.00178253 0.000711512 0.00107101
0.73 -0.659263 -0.658991 0.00180859 0.000717482 0.00109111
0.74 -0.658455 -0.658178 0.0018349 0.000723516 0.00111138
0.75 -0.657645 -0.657363 0.00186146 0.000729616 0.00113184
