Time Vpre Vpost i ifast islow
0 -0.712189 -0.712328 -0.0142648 -0.00243726 -0.0118276
0.01 -0.711536 -0.71192 -0.0260944 -0.00244841 -0.023646
0.02 -0.71088 -0.711612 -0.0379173 -0.0024598 -0.0354575
0.03 -0.710223 -0.711398 -0.0497354 -0.00247141 -0.047264
0.04 -0.709564 -0.711273 -0.0615506 -0.00248325 -0.0590674
0.05 -0.708904 -0.711233 -0.0733647 -0.00249531 -0.0708694
0.06 -0.708241 -0.711272 -0.0851791 -0.00250759 -0.0826715
0.07 -0.707577 -0.711387 -0.0969954 -0.00252007 -0.0944753
0.08 -0.706911 -0.711575 -0.108815 -0.00253277 -0.106282
0.09 -0.706243 -0.71183 -0.120639 -0.00254567 -0.118093
0.1 -0.705573 -0.712151 -0.132469 -0.00255877 -0.12991
0.11 -0.704902 -0.712535 -0.144305 -0.00257207 -0.141733
0.12 -0.704228 -0.712977 -0.15615 -0.00258557 -0.153564
0.13 -0.703553 -0.713477 -0.168003 -0.00259927 -0.165404
0.14 -0.702876 -0.71403 -0.179867 -0.00261316 -0.177253
0.15 -0.702197 -0.714636 -0.191741 -0.00262725 -0.189113
0.16 -0.701516 -0.715291 -0.203626 -0.00264153 -0.200984
0.17 -0.700833 -0.715995 -0.215524 -0.002656 -0.212868
0.18 -0.700148 -0.716744 -0.227434 -0.00267066 -0.224764
0.19 -0.699462 -0.717538 -0.239359 -0.00268551 -0.236673
0.2 -0.698773 -0.718375 -0.251298 -0.00270055 -0.248597
0.21 -0.698083 -0.719253 -0.263251 -0.00271578 -0.260536
0.22 -0.69739 -0.72017 -0.275221 -0.00273121 -0.27249
0.23 -0.696696 -0.721127 -0.287207 -0.00274682 -0.28446
0.24 -0.695999 -0.72212 -0.299209 -0.00276262 -0.296447
0.25 -0.695301 -0.72315 -0.311229 -0.00277861 -0.308451
0.26 -0.694601 -0.724215 -0.323267 -0.00279479 -0.320473
0.27 -0.693898 -0.725314 -0.335324 -0.00281117 -0.332512
0.28 -0.693194 -0.726447 -0.347399 -0.00282774 -0.344571
0.29 -0.692488 -0.727611 -0.359493 -0.0028445 -0.356649
0.3 -0.691779 -0.728808 -0.371608 -0.00286145 -0.368746
0.31 -0.691069 -0.730035 -0.383743 -0.0028786 -0.380864
0.32 -0.690356 -0.731292 -0.395898 -0.00289595 -0.393002
0.33 -0.689642 -0.732579 -0.408075 -0.00291349 -0.405162
0.34 -0.688925 -0.733895 -0.420273 -0.00293123 -0.417342
0.35 -0.688207 -0.735239 -0.432494 -0.00294918 -0.429545
0.36 -0.687486 -0.736611 -0.444737 -0.00296732 -0.44177
0.37 -0.686763 -0.73801 -0.457003 -0.00298567 -0.454017
0.38 -0.686038 -0.739436 -0.469292 -0.00300423 -0.466288
0.39 -0.685311 -0.740888 -0.481605 -0.00302299 -0.478582
0.4 -0.684582 -0.742367 -0.493942 -0.00304196 -0.4909
0.41 -0.683851 -0.74387 -0.506303 -0.00306114 -0.503242
0.42 -0.683118 -0.7454 -0.518689 -0.00308053 -0.515609
0.43 -0.682382 -0.746954 -0.531101 -0.00310013 -0.528001
0.44 -0.681644 -0.748532 -0.543538 -0.00311996 -0.540418
0.45 -0.680905 -0.750135 -0.556001 -0.00314 -0.552861
0.46 -0.680163 -0.751762 -0.56849 -0.00316026 -0.56533
0.47 -0.679418 -0.753412 -0.581007 -0.00318074 -0.577826
0.48 -0.678672 -0.755086 -0.59355 -0.00320145 -0.590348
0.49 -0.677923 -0.756783 -0.606121 -0.00322239 -0.602898
0.5 -0.677172 -0.758503 -0.618719 -0.00324355 -0.615476
0.51 -0.676419 -0.760246 -0.631346 -0.00326495 -0.628081
0.52 -0.675664 -0.762012 -0.644001 -0.00328658 -0.640715
0.53 -0.674906 -0.7638 -0.656685 -0.00330845 -0.653377
0.54 -0.674146 -0.76561 -0.669399 -0.00333056 -0.666068
0.55 -0.673384 -0.767442 -0.682142 -0.00335292 -0.678789
0.56 -0.67262 -0.769297 -0.694915 -0.00337551 -0.691539
0.57 -0.671853 -0.771173 -0.707718 -0.00339836 -0.70432
0.58 -0.671084 -0.77307 -0.720552 -0.00342146 -0.717131
0.59 -0.670313 -0.774989 -0.733417 -0.00344481 -0.729972
0.6 -0.669539 -0.776929 -0.746313 -0.00346841 -0.742845
0.61 -0.668763 -0.778891 -0.759241 -0.00349228 -0.755749
0.62 -0.667984 -0.780873 -0.772201 -0.00351641 -0.768684
0.63 -0.667204 -0.782877 -0.785193 -0.0035408 -0.781652
0.64 -0.66642 -0.784901 -0.798218 -0.00356547 -0.794652
0.65 -0.665635 -0.786946 -0.811276 -0.0035904 -0.807685
0.66 -0.664847 -0.789012 -0.824367 -0.00361561 -0.820751
0.67 -0.664057 -0.791098 -0.837492 -0.0036411 -0.833851
0.68 -0.663264 -0.793204 -0.850651 -0.00366687 -0.846984
0.69 -0.662468 -0.795331 -0.863844 -0.00369293 -0.860151
0.7 -0.661671 -0.797478 -0.877072 -0.00371928 -0.873352
0.71 -0.660871 -0.799645 -0.890334 -0.00374591 -0.886589
0.72 -0.660068 -0.801832 -0.903632 -0.00377285 -0.89986
0.73 -0.659263 -0.804039 -0.916966 -0.00380008 -0.913166
0.74 -0.658455 -0.806266 -0.930336 -0.00382762 -0.926508
0.75 -0.657645 -0.808513 -0.943741 -0.00385546 -0.939886
0.76 -0.656832 -0.810779 -0.957183 -0.00388362 -0.9533
0.77 -0.656017 -0.813064 -0.970662 -0.00391209 -0.96675
0.78 -0.655199 -0.81537 -0.984179 -0.00394088 -0.980238
0.79 -0.654379 -0.817694 -0.997732 -0.00396999 -0.993762
0.8 -0.653556 -0.820038 -1.01132 -0.00399942 -1.00732
0.81 -0.65273 -0.822401 -1.02495 -0.00402919 -1.02092
0.82 -0.651902 -0.824783 -1.03862 -0.00405929 -1.03456
0.83 -0.651071 -0.827184 -1.05233 -0.00408974 -1.04824
0.84 -0.650238 -0.829604 -1.06607 -0.00412052 -1.06195
0.85 -0.649402 -0.832042 -1.07986 -0.00415165 -1.0757
0.86 -0.648563 -0.8345 -1.09368 -0.00418314 -1.0895
0.87 -0.647721 -0.836976 -1.10754 -0.00421498 -1.10333
0.88 -0.646877 -0.83947 -1.12145 -0.00424718 -1.1172
0.89 -0.64603 -0.841984 -1.13539 -0.00427975 -1.13111
0.9 -0.645181 -0.844515 -1.14937 -0.00431269 -1.14506
0.91 -0.644329 -0.847065 -1.1634 -0.00434601 -1.15905
0.92 -0.643473 -0.849633 -1.17746 -0.0043797 -1.17308
0.93 -0.642616 -0.852219 -1.19157 -0.00441378 -1.18716
0.94 -0.641755 -0.854823 -1.20572 -0.00444826 -1.20127
0.95 -0.640892 -0.857445 -1.21991 -0.00448312 -1.21543
0.96 -0.640025 -0.860084 -1.23414 -0.00451839 -1.22963
0.97 -0.639156 -0.862742 -1.24842 -0.00455406 -1.24386
0.98 -0.638285 -0.865417 -1.26274 -0.00459014 -1.25815
0.99 -0.63741 -0.868109 -1.2771 -0.00462664 -1.27247
1 -0.636532 -0.870819 -1.2915 -0.00466356 -1.28684
1.01 -0.635652 -0.873546 -1.30595 -0.00470091 -1.30124
1.02 -0.634768 -0.876291 -1.32044 -0.00473869 -1.3157
1.03 -0.633882 -0.879052 -1.33497 -0.00477691 -1.33019
1.04 -0.632993 -0.881831 -1.34955 -0.00481558 -1.34473
1.05 -0.632101 -0.884627 -1.36417 -0.00485469 -1.35931
1.06 -0.631205 -0.887439 -1.37883 -0.00489426 -1.37394
1.07 -0.630307 -0.890268 -1.39354 -0.0049343 -1.38861
1.08 -0.629406 -0.893113 -1.4083 -0.0049748 -1.40332
1.09 -0.628502 -0.895975 -1.4231 -0.00501578 -1.41808
1.1 -0.627595 -0.898854 -1.43794 -0.00505724 -1.43288
1.11 -0.626685 -0.901749 -1.45283 -0.00509918 -1.44773
1.12 -0.625771 -0.904659 -1.46777 -0.00514162 -1.46263
1.13 -0.624855 -0.907586 -1.48275 -0.00518457 -1.47756
1.14 -0.623935 -0.910529 -1.49778 -0.00522802 -1.49255
1.15 -0.623013 -0.913488 -1.51285 -0.00527198 -1.50758
1.16 -0.622087 -0.916462 -1.52797 -0.00531647 -1.52265
1.17 -0.621158 -0.919452 -1.54313 -0.00536149 -1.53777
1.18 -0.620226 -0.922458 -1.55834 -0.00540704 -1.55294
1.19 -0.619291 -0.925479 -1.5736 -0.00545314 -1.56815
1.2 -0.618352 -0.928515 -1.58891 -0.00549978 -1.58341
1.21 -0.617411 -0.931566 -1.60426 -0.00554699 -1.59871
1.22 -0.616466 -0.934632 -1.61966 -0.00559476 -1.61406
1.23 -0.615518 -0.937713 -1.6351 -0.00564311 -1.62946
1.24 -0.614566 -0.940809 -1.6506 -0.00569204 -1.6449
1.25 -0.613611 -0.94392 -1.66614 -0.00574156 -1.6604
1.26 -0.612653 -0.947045 -1.68172 -0.00579168 -1.67593
1.27 -0.611692 -0.950184 -1.69736 -0.00584241 -1.69152
1.28 -0.610727 -0.953338 -1.71304 -0.00589375 -1.70715
1.29 -0.609759 -0.956506 -1.72878 -0.00594572 -1.72283
1.3 -0.608787 -0.959688 -1.74455 -0.00599832 -1.73856
1.31 -0.607812 -0.962884 -1.76038 -0.00605156 -1.75433
1.32 -0.606834 -0.966094 -1.77626 -0.00610546 -1.77015
1.33 -0.605852 -0.969318 -1.79218 -0.00616001 -1.78602
1.34 -0.604867 -0.972555 -1.80815 -0.00621523 -1.80194
1.35 -0.603878 -0.975805 -1.82417 -0.00627114 -1.8179
1.36 -0.602886 -0.979069 -1.84024 -0.00632773 -1.83392
1.37 -0.60189 -0.982346 -1.85636 -0.00638502 -1.84998
1.38 -0.60089 -0.985636 -1.87253 -0.00644303 -1.86608
1.39 -0.599887 -0.988939 -1.88874 -0.00650175 -1.88224
1.4 -0.59888 -0.992255 -1.90501 -0.0065612 -1.89844
1.41 -0.59787 -0.995584 -1.92132 -0.00662139 -1.9147
1.42 -0.596856 -0.998925 -1.93768 -0.00668234 -1.931
1.43 -0.595839 -1.00228 -1.95409 -0.00674404 -1.94735
1.44 -0.594817 -1.00564 -1.97055 -0.00680652 -1.96374
1.45 -0.593793 -1.00902 -1.98706 -0.00686979 -1.98019
1.46 -0.592764 -1.01241 -2.00361 -0.00693385 -1.99668
1.47 -0.591731 -1.01581 -2.02022 -0.00699872 -2.01322
1.48 -0.590695 -1.01923 -2.03688 -0.00706441 -2.02981
1.49 -0.589655 -1.02265 -2.05358 -0.00713094 -2.04645
1.5 -0.588611 -1.02609 -2.07033 -0.00719831 -2.06314
1.51 -0.587563 -1.02954 -2.08714 -0.00726653 -2.07987
1.52 -0.586512 -1.033 -2.10399 -0.00733563 -2.09665
1.53 -0.585456 -1.03647 -2.12089 -0.00740561 -2.11349
1.54 -0.584397 -1.03995 -2.13784 -0.00747649 -2.13036
1.55 -0.583334 -1.04344 -2.15484 -0.00754828 -2.14729
1.56 -0.582266 -1.04695 -2.17189 -0.007621 -2.16427
1.57 -0.581195 -1.05046 -2.18899 -0.00769465 -2.18129
1.58 -0.58012 -1.05399 -2.20613 -0.00776925 -2.19836
1.59 -0.57904 -1.05752 -2.22333 -0.00784483 -2.21549
1.6 -0.577957 -1.06107 -2.24058 -0.00792138 -2.23265
1.61 -0.576869 -1.06462 -2.25787 -0.00799894 -2.24987
1.62 -0.575778 -1.06819 -2.27521 -0.0080775 -2.26713
1.63 -0.574682 -1.07176 -2.2926 -0.0081571 -2.28445
1.64 -0.573582 -1.07535 -2.31005 -0.00823774 -2.30181
1.65 -0.572478 -1.07894 -2.32754 -0.00831944 -2.31922
1.66 -0.571369 -1.08254 -2.34507 -0.00840222 -2.33667
1.67 -0.570256 -1.08616 -2.36266 -0.00848609 -2.35418
1.68 -0.56914 -1.08978 -2.3803 -0.00857108 -2.37173
1.69 -0.568018 -1.09341 -2.39798 -0.00865719 -2.38933
1.7 -0.566893 -1.09705 -2.41572 -0.00874445 -2.40697
1.71 -0.565763 -1.1007 -2.4335 -0.00883288 -2.42467
1.72 -0.564628 -1.10436 -2.45133 -0.00892249 -2.44241
1.73 -0.56349 -1.10803 -2.46921 -0.0090133 -2.4602
1.74 -0.562346 -1.1117 -2.48714 -0.00910534 -2.47803
1.75 -0.561199 -1.11539 -2.50512 -0.00919862 -2.49592
1.76 -0.560046 -1.11908 -2.52314 -0.00929316 -2.51385
1.77 -0.55889 -1.12278 -2.54121 -0.00938898 -2.53182
1.78 -0.557728 -1.12649 -2.55933 -0.00948611 -2.54985
1.79 -0.556562 -1.1302 -2.5775 -0.00958456 -2.56792
1.8 -0.555392 -1.13393 -2.59572 -0.00968436 -2.58603
1.81 -0.554216 -1.13766 -2.61398 -0.00978553 -2.6042
1.82 -0.553037 -1.1414 -2.6323 -0.00988808 -2.62241
1.83 -0.551852 -1.14514 -2.65066 -0.00999205 -2.64066
1.84 -0.550662 -1.1489 -2.66906 -0.0100975 -2.65896
1.85 -0.549468 -1.15266 -2.68752 -0.0102043 -2.67731
1.86 -0.548269 -1.15642 -2.70602 -0.0103127 -2.69571
1.87 -0.547065 -1.1602 -2.72457 -0.0104225 -2.71414
1.88 -0.545857 -1.16398 -2.74316 -0.010534 -2.73263
1.89 -0.544643 -1.16777 -2.76181 -0.0106469 -2.75116
1.9 -0.543424 -1.17156 -2.7805 -0.0107615 -2.76973
1.91 -0.542201 -1.17536 -2.79923 -0.0108776 -2.78835
1.92 -0.540972 -1.17917 -2.81802 -0.0109954 -2.80702
1.93 -0.539738 -1.18298 -2.83684 -0.0111149 -2.82573
1.94 -0.5385 -1.1868 -2.85572 -0.0112361 -2.84448
1.95 -0.537256 -1.19063 -2.87464 -0.011359 -2.86328
1.96 -0.536007 -1.19446 -2.89361 -0.0114836 -2.88213
1.97 -0.534752 -1.19829 -2.91262 -0.0116101 -2.90101
1.98 -0.533493 -1.20214 -2.93168 -0.0117384 -2.91994
1.99 -0.532228 -1.20599 -2.95079 -0.0118685 -2.93892
2 -0.530958 -1.20984 -2.96994 -0.0120005 -2.95794
2.01 -0.529683 -1.2137 -2.98913 -0.0121344 -2.977
2.02 -0.528402 -1.21756 -3.00837 -0.0122703 -2.9961
2.03 -0.527115 -1.22143 -3.02766 -0.0124081 -3.01525
2.04 -0.525824 -1.22531 -3.04699 -0.012548 -3.03444
2.05 -0.524527 -1.22918 -3.06637 -0.0126899 -3.05368
2.06 -0.523224 -1.23307 -3.08579 -0.0128339 -3.07295
2.07 -0.521915 -1.23696 -3.10525 -0.0129801 -3.09227
2.08 -0.520601 -1.24085 -3.12476 -0.0131284 -3.11163
