Time Vpre Vpost i ifast islow
0 -0.712189 -0.712214 -0.00249988 -0.00243726 -6.26192e-05
0.01 -0.711536 -0.711584 -0.00257372 -0.00244825 -0.000125473
0.02 -0.71088 -0.710952 -0.00264788 -0.00245932 -0.000188564
0.03 -0.710223 -0.710317 -0.00272235 -0.00247046 -0.000251892
0.04 -0.709564 -0.709681 -0.00279715 -0.00248169 -0.000315459
0.05 -0.708904 -0.709042 -0.00287226 -0.00249299 -0.000379267
0.06 -0.708241 -0.708401 -0.0029477 -0.00250438 -0.000443317
0.07 -0.707577 -0.707758 -0.00302346 -0.00251585 -0.000507612
0.08 -0.706911 -0.707113 -0.00309955 -0.0025274 -0.000572151
0.09 -0.706243 -0.706465 -0.00317597 -0.00253903 -0.000636937
0.1 -0.705573 -0.705816 -0.00325272 -0.00255075 -0.000701972
0.11 -0.704902 -0.705165 -0.00332981 -0.00256256 -0.000767257
0.12 -0.704228 -0.704512 -0.00340724 -0.00257445 -0.000832794
0.13 -0.703553 -0.703856 -0.00348501 -0.00258643 -0.000898584
0.14 -0.702876 -0.703199 -0.00356312 -0.00259849 -0.000964629
0.15 -0.702197 -0.70254 -0.00364158 -0.00261065 -0.00103093
0.16 -0.701516 -0.701879 -0.00372039 -0.00262289 -0.00109749
0.17 -0.700833 -0.701216 -0.00379954 -0.00263523 -0.00116431
0.18 -0.700148 -0.700551 -0.00387905 -0.00264766 -0.0012314
0.19 -0.699462 -0.699884 -0.00395892 -0.00266018 -0.00129874
0.2 -0.698773 -0.699215 -0.00403915 -0.00267279 -0.00136635
0.21 -0.698083 -0.698544 -0.00411974 -0.0026855 -0.00143423
0.22 -0.69739 -0.697872 -0.00420069 -0.00269831 -0.00150238
0.23 -0.696696 -0.697197 -0.00428201 -0.00271121 -0.0015708
0.24 -0.695999 -0.696521 -0.0043637 -0.00272421 -0.00163949
0.25 -0.695301 -0.695843 -0.00444577 -0.00273731 -0.00170846
0.26 -0.694601 -0.695162 -0.00452821 -0.0027505 -0.0017777
