Time Vpre Vpost i ifast islow
0 -0.712189 -0.71227 -0.00833782 -0.00812899 -0.000208824
0.01 -0.711536 -0.711696 -0.0085863 -0.00816782 -0.000418482
0.02 -0.71088 -0.711118 -0.00883592 -0.00820694 -0.000628979
0.03 -0.710223 -0.710536 -0.00908667 -0.00824634 -0.000840323
0.04 -0.709564 -0.709951 -0.00933856 -0.00828604 -0.00105252
0.05 -0.708904 -0.709363 -0.00959161 -0.00832603 -0.00126557
0.06 -0.708241 -0.708772 -0.00984581 -0.00836633 -0.00147949
0.07 -0.707577 -0.708178 -0.0101012 -0.00840692 -0.00169427
0.08 -0.706911 -0.707581 -0.0103578 -0.00844782 -0.00190994
0.09 -0.706243 -0.706982 -0.0106155 -0.00848903 -0.00212648
0.1 -0.705573 -0.70638 -0.0108745 -0.00853055 -0.00234392
0.11 -0.704902 -0.705775 -0.0111346 -0.00857239 -0.00256225
0.12 -0.704228 -0.705168 -0.011396 -0.00861455 -0.00278148
0.13 -0.703553 -0.704559 -0.0116586 -0.00865702 -0.00300162
0.14 -0.702876 -0.703948 -0.0119225 -0.00869983 -0.00322267
0.15 -0.702197 -0.703334 -0.0121876 -0.00874296 -0.00344465
0.16 -0.701516 -0.702718 -0.012454 -0.00878643 -0.00366756
0.17 -0.700833 -0.702101 -0.0127216 -0.00883023 -0.0038914
0.18 -0.700148 -0.701481 -0.0129906 -0.00887437 -0.00411618
0.19 -0.699462 -0.700859 -0.0132608 -0.00891885 -0.00434192
0.2 -0.698773 -0.700236 -0.0135323 -0.00896369 -0.00456861
0.21 -0.698083 -0.69961 -0.0138051 -0.00900887 -0.00479626
0.22 -0.69739 -0.698983 -0.0140793 -0.0090544 -0.00502489
0.23 -0.696696 -0.698354 -0.0143548 -0.0091003 -0.0052545
0.24 -0.695999 -0.697724 -0.0146316 -0.00914655 -0.00548509
0.25 -0.695301 -0.697091 -0.0149099 -0.00919318 -0.00571668
0.26 -0.694601 -0.696457 -0.0151894 -0.00924017 -0.00594927
