Time Vpre Vpost i ifast islow
0 -0.712189 -0.71219 -6.39646e-05 -1.35443e-06 -6.26102e-05
0.01 -0.711536 -0.711538 -0.000126796 -1.36055e-06 -0.000125435
0.02 -0.71088 -0.710884 -0.000189843 -1.36671e-06 -0.000188477
0.03 -0.710223 -0.710229 -0.000253109 -1.37292e-06 -0.000251736
0.04 -0.709564 -0.709573 -0.000316594 -1.37918e-06 -0.000315215
0.05 -0.708904 -0.708916 -0.000380301 -1.38548e-06 -0.000378915
0.06 -0.708241 -0.708258 -0.000444229 -1.39183e-06 -0.000442838
0.07 -0.707577 -0.707598 -0.000508382 -1.39822e-06 -0.000506984
0.08 -0.706911 -0.706936 -0.000572761 -1.40466e-06 -0.000571356
0.09 -0.706243 -0.706274 -0.000637367 -1.41115e-06 -0.000635956
0.1 -0.705573 -0.70561 -0.000702202 -1.41768e-06 -0.000700784
0.11 -0.704902 -0.704944 -0.000767267 -1.42427e-06 -0.000765843
0.12 -0.704228 -0.704277 -0.000832565 -1.4309e-06 -0.000831134
0.13 -0.703553 -0.703608 -0.000898096 -1.43758e-06 -0.000896658
0.14 -0.702876 -0.702938 -0.000963863 -1.44432e-06 -0.000962418
0.15 -0.702197 -0.702267 -0.00102987 -1.4511e-06 -0.00102842
0.16 -0.701516 -0.701594 -0.00109611 -1.45793e-06 -0.00109465
0.17 -0.700833 -0.700919 -0.00116259 -1.46482e-06 -0.00116113
0.18 -0.700148 -0.700242 -0.00122932 -1.47175e-06 -0.00122784
0.19 -0.699462 -0.699564 -0.00129628 -1.47874e-06 -0.00129481
0.2 -0.698773 -0.698885 -0.0013635 -1.48579e-06 -0.00136201
0.21 -0.698083 -0.698203 -0.00143096 -1.49288e-06 -0.00142947
0.22 -0.69739 -0.69752 -0.00149867 -1.50003e-06 -0.00149717
0.23 -0.696696 -0.696836 -0.00156663 -1.50724e-06 -0.00156512
0.24 -0.695999 -0.696149 -0.00163485 -1.5145e-06 -0.00163333
0.25 -0.695301 -0.695461 -0.00170331 -1.52181e-06 -0.00170179
0.26 -0.694601 -0.694772 -0.00177204 -1.52918e-06 -0.00177051
0.27 -0.693898 -0.69408 -0.00184102 -1.53661e-06 -0.00183948
0.28 -0.693194 -0.693387 -0.00191026 -1.54409e-06 -0.00190872
0.29 -0.692488 -0.692692 -0.00197977 -1.55164e-06 -0.00197822
