Time Vpre Vpost i ifast islow
0 -0.0482842 -0.0457664 -7.20163e-09 -1.68424e-09 -5.51739e-09
0.01 -0.0482798 -0.0459373 -9.28534e-09 -1.68726e-09 -7.59808e-09
0.02 -0.0482753 -0.0455528 -1.00507e-08 -1.6855e-09 -8.36515e-09
0.03 -0.0482709 -0.0457633 -1.03617e-08 -1.68887e-09 -8.67279e-09
0.04 -0.0482664 -0.0457389 -1.0479e-08 -1.69022e-09 -8.78878e-09
0.05 -0.0482619 -0.0456565 -1.05252e-08 -1.69108e-09 -8.83407e-09
0.06 -0.0482574 -0.0458152 -1.05588e-08 -1.69402e-09 -8.86476e-09
0.07 -0.0482529 -0.0458946 -1.05786e-08 -1.69629e-09 -8.88233e-09
0.08 -0.0482484 -0.0458305 -1.05872e-08 -1.69732e-09 -8.88983e-09
0.09 -0.0482439 -0.0457878 -1.05955e-08 -1.69854e-09 -8.89698e-09
0.1 -0.0482393 -0.0458457 -1.06089e-08 -1.70064e-09 -8.90822e-09
0.11 -0.0482348 -0.0456504 -1.06083e-08 -1.70054e-09 -8.90778e-09
0.12 -0.0482302 -0.0455772 -1.06144e-08 -1.70151e-09 -8.91285e-09
0.13 -0.0482256 -0.0456016 -1.06257e-08 -1.70334e-09 -8.92236e-09
0.14 -0.048221 -0.0456931 -1.06407e-08 -1.70575e-09 -8.93496e-09
0.15 -0.0482164 -0.0456992 -1.06511e-08 -1.70743e-09 -8.94369e-09
0.16 -0.0482118 -0.0457328 -1.06631e-08 -1.70935e-09 -8.95371e-09
0.17 -0.0482071 -0.045684 -1.06705e-08 -1.71056e-09 -8.95998e-09
0.18 -0.0482025 -0.0454765 -1.06694e-08 -1.71038e-09 -8.95901e-09
0.19 -0.0481978 -0.0455985 -1.06863e-08 -1.71309e-09 -8.97317e-09
0.2 -0.0481932 -0.0456535 -1.06995e-08 -1.71523e-09 -8.98429e-09
0.21 -0.0481885 -0.0455436 -1.07038e-08 -1.71592e-09 -8.98787e-09
0.22 -0.0481838 -0.0454551 -1.07093e-08 -1.71681e-09 -8.99245e-09
0.23 -0.0481791 -0.0455131 -1.07228e-08 -1.71898e-09 -9.0038e-09
0.24 -0.0481743 -0.0454368 -1.0729e-08 -1.71999e-09 -9.009e-09
0.25 -0.0481696 -0.0454795 -1.07418e-08 -1.72204e-09 -9.01971e-09
0.26 -0.0481649 -0.0455009 -1.07534e-08 -1.72392e-09 -9.02948e-09
0.27 -0.0481601 -0.0455589 -1.07671e-08 -1.72612e-09 -9.04097e-09
0.28 -0.0481553 -0.0455467 -1.0777e-08 -1.72771e-09 -9.04924e-09
0.29 -0.0481505 -0.0455436 -1.07874e-08 -1.72939e-09 -9.05798e-09
0.3 -0.0481457 -0.0453117 -1.07852e-08 -1.72905e-09 -9.05613e-09
0.31 -0.0481409 -0.0454276 -1.08022e-08 -1.73179e-09 -9.07044e-09
0.32 -0.0481361 -0.0454459 -1.08139e-08 -1.73367e-09 -9.08025e-09
0.33 -0.0481312 -0.0454002 -1.08221e-08 -1.735e-09 -9.08713e-09
0.34 -0.0481263 -0.0454185 -1.08339e-08 -1.7369e-09 -9.09701e-09
0.35 -0.0481215 -0.0454154 -1.08445e-08 -1.73861e-09 -9.10593e-09
0.36 -0.0481166 -0.045388 -1.08539e-08 -1.74011e-09 -9.11375e-09
0.37 -0.0481117 -0.0454673 -1.08692e-08 -1.74257e-09 -9.12658e-09
0.38 -0.0481068 -0.0455772 -1.08862e-08 -1.74532e-09 -9.14088e-09
0.39 -0.0481018 -0.0454765 -1.08916e-08 -1.74619e-09 -9.14538e-09
0.4 -0.0480969 -0.0454063 -1.08987e-08 -1.74733e-09 -9.15133e-09
0.41 -0.0480919 -0.0454215 -1.09106e-08 -1.74925e-09 -9.16131e-09
0.42 -0.0480869 -0.0455009 -1.09261e-08 -1.75175e-09 -9.17433e-09
0.43 -0.048082 -0.0455314 -1.09389e-08 -1.75381e-09 -9.1851e-09
0.44 -0.0480769 -0.045391 -1.09422e-08 -1.75436e-09 -9.18788e-09
0.45 -0.0480719 -0.045507 -1.09599e-08 -1.75721e-09 -9.20274e-09
0.46 -0.0480669 -0.0455619 -1.09743e-08 -1.75951e-09 -9.21477e-09
0.47 -0.0480618 -0.0453544 -1.09739e-08 -1.75947e-09 -9.21447e-09
0.48 -0.0480568 -0.0453849 -1.0987e-08 -1.76157e-09 -9.22542e-09
0.49 -0.0480517 -0.0454337 -1.10011e-08 -1.76384e-09 -9.23727e-09
0.5 -0.0480466 -0.045507 -1.10167e-08 -1.76635e-09 -9.25032e-09
0.51 -0.0480415 -0.0452995 -1.10164e-08 -1.76632e-09 -9.25012e-09
0.52 -0.0480364 -0.0454643 -1.10372e-08 -1.76967e-09 -9.26758e-09
0.53 -0.0480312 -0.0455192 -1.10519e-08 -1.77203e-09 -9.27988e-09
0.54 -0.0480261 -0.0453422 -1.10535e-08 -1.77229e-09 -9.28121e-09
0.55 -0.0480209 -0.0453971 -1.10682e-08 -1.77467e-09 -9.29358e-09
0.56 -0.0480157 -0.0455772 -1.10901e-08 -1.77819e-09 -9.31196e-09
0.57 -0.0480105 -0.0453788 -1.10906e-08 -1.77827e-09 -9.31235e-09
0.58 -0.0480053 -0.0454093 -1.11041e-08 -1.78045e-09 -9.32368e-09
0.59 -0.0480001 -0.0455863 -1.1126e-08 -1.78397e-09 -9.34205e-09
0.6 -0.0479948 -0.0453361 -1.11237e-08 -1.7836e-09 -9.34005e-09
0.61 -0.0479896 -0.0455863 -1.11498e-08 -1.78781e-09 -9.36202e-09
0.62 -0.0479843 -0.0454154 -1.1152e-08 -1.78817e-09 -9.36387e-09
0.63 -0.047979 -0.0454307 -1.11649e-08 -1.79025e-09 -9.37467e-09
0.64 -0.0479737 -0.0453697 -1.11735e-08 -1.79163e-09 -9.38185e-09
0.65 -0.0479683 -0.0453727 -1.11858e-08 -1.79361e-09 -9.39214e-09
0.66 -0.047963 -0.045272 -1.11921e-08 -1.79464e-09 -9.39748e-09
0.67 -0.0479576 -0.0452598 -1.12036e-08 -1.79649e-09 -9.40712e-09
0.68 -0.0479523 -0.0454307 -1.12257e-08 -1.80004e-09 -9.42562e-09
0.69 -0.0479469 -0.0452537 -1.12278e-08 -1.80039e-09 -9.42738e-09
0.7 -0.0479414 -0.0452781 -1.12415e-08 -1.8026e-09 -9.4389e-09
0.71 -0.047936 -0.0453788 -1.12597e-08 -1.80553e-09 -9.45416e-09
0.72 -0.0479306 -0.0452995 -1.12675e-08 -1.8068e-09 -9.46074e-09
0.73 -0.0479251 -0.0453452 -1.12827e-08 -1.80923e-09 -9.47342e-09
0.74 -0.0479196 -0.0453147 -1.12934e-08 -1.81097e-09 -9.48245e-09
0.75 -0.0479141 -0.0452476 -1.13021e-08 -1.81238e-09 -9.48974e-09
0.76 -0.0479086 -0.0452933 -1.13174e-08 -1.81483e-09 -9.50255e-09
0.77 -0.0479031 -0.0452415 -1.13271e-08 -1.8164e-09 -9.51066e-09
0.78 -0.0478975 -0.0452903 -1.13426e-08 -1.8189e-09 -9.52371e-09
0.79 -0.047892 -0.0451743 -1.13486e-08 -1.81988e-09 -9.52877e-09
0.8 -0.0478864 -0.0452476 -1.13657e-08 -1.82263e-09 -9.5431e-09
0.81 -0.0478808 -0.0453269 -1.13832e-08 -1.82545e-09 -9.55778e-09
0.82 -0.0478752 -0.045333 -1.13965e-08 -1.82759e-09 -9.56893e-09
0.83 -0.0478695 -0.0453086 -1.14081e-08 -1.82946e-09 -9.57863e-09
0.84 -0.0478639 -0.0451987 -1.14147e-08 -1.83053e-09 -9.58417e-09
0.85 -0.0478582 -0.0453147 -1.14346e-08 -1.83373e-09 -9.60084e-09
0.86 -0.0478525 -0.0452232 -1.14424e-08 -1.83499e-09 -9.60736e-09
0.87 -0.0478468 -0.0453239 -1.14615e-08 -1.83806e-09 -9.62339e-09
0.88 -0.0478411 -0.0454643 -1.1483e-08 -1.84152e-09 -9.64143e-09
0.89 -0.0478354 -0.0454215 -1.14937e-08 -1.84326e-09 -9.65049e-09
0.9 -0.0478296 -0.0453971 -1.15057e-08 -1.84519e-09 -9.66049e-09
0.91 -0.0478238 -0.0453452 -1.1516e-08 -1.84686e-09 -9.66918e-09
0.92 -0.047818 -0.0454337 -1.15347e-08 -1.84987e-09 -9.68486e-09
0.93 -0.0478122 -0.0453666 -1.15443e-08 -1.85142e-09 -9.69289e-09
0.94 -0.0478064 -0.0452903 -1.15534e-08 -1.85289e-09 -9.70049e-09
0.95 -0.0478005 -0.045507 -1.15798e-08 -1.85714e-09 -9.72271e-09
0.96 -0.0477946 -0.0454521 -1.15903e-08 -1.85883e-09 -9.73147e-09
0.97 -0.0477887 -0.0454551 -1.16042e-08 -1.86108e-09 -9.74316e-09
0.98 -0.0477828 -0.0454276 -1.16164e-08 -1.86304e-09 -9.75338e-09
0.99 -0.0477769 -0.0454368 -1.16308e-08 -1.86537e-09 -9.76548e-09
1 -0.0477709 -0.0453636 -1.16404e-08 -1.86692e-09 -9.7735e-09
1.01 -0.047765 -0.045391 -1.1656e-08 -1.86943e-09 -9.7866e-09
1.02 -0.047759 -0.0452842 -1.16637e-08 -1.87068e-09 -9.79303e-09
1.03 -0.047753 -0.0452659 -1.16767e-08 -1.87278e-09 -9.80394e-09
1.04 -0.0477469 -0.0453605 -1.16965e-08 -1.87597e-09 -9.82056e-09
1.05 -0.0477409 -0.0453605 -1.17108e-08 -1.87826e-09 -9.83249e-09
1.06 -0.0477348 -0.0453544 -1.17247e-08 -1.88051e-09 -9.84417e-09
1.07 -0.0477287 -0.045391 -1.17412e-08 -1.88317e-09 -9.85804e-09
1.08 -0.0477226 -0.0455131 -1.1763e-08 -1.88667e-09 -9.8763e-09
1.09 -0.0477165 -0.0453666 -1.17686e-08 -1.88759e-09 -9.88103e-09
1.1 -0.0477103 -0.045449 -1.17881e-08 -1.89073e-09 -9.89739e-09
1.11 -0.0477042 -0.0452842 -1.17928e-08 -1.89149e-09 -9.90128e-09
1.12 -0.047698 -0.0452201 -1.18035e-08 -1.89323e-09 -9.91031e-09
1.13 -0.0476917 -0.0453147 -1.1824e-08 -1.89652e-09 -9.92745e-09
1.14 -0.0476855 -0.0452933 -1.18375e-08 -1.8987e-09 -9.93876e-09
1.15 -0.0476792 -0.0455039 -1.18651e-08 -1.90314e-09 -9.96194e-09
1.16 -0.047673 -0.0455253 -1.18813e-08 -1.90576e-09 -9.97554e-09
1.17 -0.0476667 -0.0454978 -1.18946e-08 -1.90791e-09 -9.98671e-09
1.18 -0.0476604 -0.0455192 -1.1911e-08 -1.91054e-09 -1.00004e-08
1.19 -0.047654 -0.0456565 -1.19345e-08 -1.91432e-09 -1.00201e-08
1.2 -0.0476476 -0.0454307 -1.19359e-08 -1.91456e-09 -1.00213e-08
1.21 -0.0476413 -0.0455436 -1.1958e-08 -1.91813e-09 -1.00399e-08
1.22 -0.0476349 -0.0455589 -1.19743e-08 -1.92075e-09 -1.00535e-08
1.23 -0.0476284 -0.0455558 -1.19895e-08 -1.9232e-09 -1.00663e-08
1.24 -0.047622 -0.0454856 -1.20006e-08 -1.925e-09 -1.00756e-08
1.25 -0.0476155 -0.0455436 -1.20197e-08 -1.92808e-09 -1.00916e-08
1.26 -0.047609 -0.0454124 -1.20272e-08 -1.9293e-09 -1.00979e-08
1.27 -0.0476025 -0.0455833 -1.20534e-08 -1.93351e-09 -1.01199e-08
1.28 -0.0475959 -0.0455222 -1.20654e-08 -1.93545e-09 -1.01299e-08
1.29 -0.0475894 -0.0456474 -1.20889e-08 -1.93924e-09 -1.01497e-08
1.3 -0.0475828 -0.0456016 -1.2102e-08 -1.94134e-09 -1.01606e-08
1.31 -0.0475762 -0.0455863 -1.2117e-08 -1.94377e-09 -1.01732e-08
1.32 -0.0475695 -0.0455375 -1.21299e-08 -1.94586e-09 -1.01841e-08
1.33 -0.0475629 -0.0457084 -1.21567e-08 -1.95016e-09 -1.02065e-08
1.34 -0.0475562 -0.0454704 -1.2158e-08 -1.9504e-09 -1.02076e-08
1.35 -0.0475495 -0.0455039 -1.21763e-08 -1.95335e-09 -1.0223e-08
1.36 -0.0475428 -0.0454948 -1.21921e-08 -1.95589e-09 -1.02362e-08
1.37 -0.047536 -0.0454093 -1.22031e-08 -1.95768e-09 -1.02454e-08
1.38 -0.0475292 -0.0455558 -1.22287e-08 -1.9618e-09 -1.02669e-08
1.39 -0.0475224 -0.045507 -1.22422e-08 -1.96398e-09 -1.02782e-08
1.4 -0.0475156 -0.0455863 -1.22638e-08 -1.96745e-09 -1.02963e-08
1.41 -0.0475088 -0.0455528 -1.22784e-08 -1.96981e-09 -1.03086e-08
1.42 -0.0475019 -0.045507 -1.22923e-08 -1.97205e-09 -1.03202e-08
1.43 -0.047495 -0.045745 -1.23241e-08 -1.97717e-09 -1.03469e-08
1.44 -0.0474881 -0.0456657 -1.2336e-08 -1.9791e-09 -1.03569e-08
1.45 -0.0474811 -0.0457786 -1.23601e-08 -1.98299e-09 -1.03772e-08
1.46 -0.0474741 -0.0456626 -1.23699e-08 -1.98457e-09 -1.03853e-08
1.47 -0.0474671 -0.0455894 -1.23824e-08 -1.9866e-09 -1.03958e-08
1.48 -0.0474601 -0.0456626 -1.24043e-08 -1.99012e-09 -1.04142e-08
1.49 -0.0474531 -0.045626 -1.24193e-08 -1.99255e-09 -1.04268e-08
1.5 -0.047446 -0.0455894 -1.24344e-08 -1.99498e-09 -1.04394e-08
1.51 -0.0474389 -0.04551 -1.24468e-08 -1.99699e-09 -1.04498e-08
1.52 -0.0474318 -0.0455283 -1.24656e-08 -2.00001e-09 -1.04656e-08
1.53 -0.0474246 -0.0455253 -1.2483e-08 -2.00283e-09 -1.04802e-08
1.54 -0.0474174 -0.0455131 -1.25e-08 -2.00557e-09 -1.04944e-08
1.55 -0.0474102 -0.0456657 -1.25276e-08 -2.01001e-09 -1.05175e-08
1.56 -0.047403 -0.0454002 -1.25284e-08 -2.01017e-09 -1.05183e-08
1.57 -0.0473957 -0.0454459 -1.25494e-08 -2.01354e-09 -1.05358e-08
1.58 -0.0473884 -0.0454795 -1.25696e-08 -2.0168e-09 -1.05528e-08
1.59 -0.0473811 -0.0453788 -1.25812e-08 -2.01869e-09 -1.05626e-08
1.6 -0.0473738 -0.0453697 -1.25989e-08 -2.02154e-09 -1.05774e-08
1.61 -0.0473664 -0.0455955 -1.26318e-08 -2.02683e-09 -1.0605e-08
1.62 -0.047359 -0.04551 -1.26447e-08 -2.02892e-09 -1.06158e-08
1.63 -0.0473516 -0.0453971 -1.26559e-08 -2.03073e-09 -1.06252e-08
1.64 -0.0473441 -0.0455283 -1.2683e-08 -2.0351e-09 -1.06479e-08
1.65 -0.0473366 -0.0454826 -1.26987e-08 -2.03764e-09 -1.06611e-08
1.66 -0.0473291 -0.0457298 -1.27336e-08 -2.04325e-09 -1.06903e-08
1.67 -0.0473216 -0.0457084 -1.27511e-08 -2.04608e-09 -1.0705e-08
1.68 -0.047314 -0.0456169 -1.27641e-08 -2.04819e-09 -1.07159e-08
1.69 -0.0473064 -0.0455955 -1.27818e-08 -2.05104e-09 -1.07307e-08
1.7 -0.0472988 -0.0455558 -1.27983e-08 -2.05372e-09 -1.07446e-08
1.71 -0.0472911 -0.0455924 -1.282e-08 -2.05721e-09 -1.07628e-08
1.72 -0.0472834 -0.0456504 -1.28432e-08 -2.06094e-09 -1.07822e-08
1.73 -0.0472757 -0.0456901 -1.28652e-08 -2.0645e-09 -1.08007e-08
1.74 -0.0472679 -0.0455619 -1.28764e-08 -2.06631e-09 -1.08101e-08
1.75 -0.0472602 -0.0456748 -1.29035e-08 -2.07067e-09 -1.08328e-08
1.76 -0.0472524 -0.0455497 -1.29149e-08 -2.07254e-09 -1.08424e-08
1.77 -0.0472445 -0.0456016 -1.29382e-08 -2.07629e-09 -1.08619e-08
1.78 -0.0472366 -0.0457969 -1.29711e-08 -2.08159e-09 -1.08895e-08
1.79 -0.0472287 -0.0455589 -1.29754e-08 -2.08229e-09 -1.08931e-08
1.8 -0.0472208 -0.0457114 -1.30057e-08 -2.08717e-09 -1.09185e-08
1.81 -0.0472128 -0.0455589 -1.30158e-08 -2.08881e-09 -1.0927e-08
1.82 -0.0472048 -0.0456016 -1.3039e-08 -2.09256e-09 -1.09464e-08
1.83 -0.0471968 -0.0455619 -1.30568e-08 -2.09543e-09 -1.09614e-08
1.84 -0.0471888 -0.045742 -1.30894e-08 -2.10069e-09 -1.09887e-08
1.85 -0.0471807 -0.0458976 -1.31205e-08 -2.1057e-09 -1.10148e-08
1.86 -0.0471725 -0.0457572 -1.31319e-08 -2.10755e-09 -1.10244e-08
1.87 -0.0471644 -0.0455314 -1.31376e-08 -2.10849e-09 -1.10292e-08
1.88 -0.0471562 -0.0455192 -1.31578e-08 -2.11174e-09 -1.10461e-08
1.89 -0.047148 -0.0455161 -1.31787e-08 -2.11512e-09 -1.10636e-08
1.9 -0.0471397 -0.0455802 -1.32042e-08 -2.11924e-09 -1.1085e-08
1.91 -0.0471314 -0.0455894 -1.32262e-08 -2.12278e-09 -1.11034e-08
1.92 -0.0471231 -0.0454765 -1.324e-08 -2.12501e-09 -1.1115e-08
1.93 -0.0471147 -0.0455741 -1.32681e-08 -2.12955e-09 -1.11386e-08
1.94 -0.0471063 -0.0454917 -1.32842e-08 -2.13215e-09 -1.11521e-08
1.95 -0.0470979 -0.0455283 -1.33085e-08 -2.13607e-09 -1.11724e-08
1.96 -0.0470894 -0.0455131 -1.33293e-08 -2.13944e-09 -1.11899e-08
1.97 -0.0470809 -0.0454643 -1.3348e-08 -2.14245e-09 -1.12055e-08
1.98 -0.0470724 -0.0454704 -1.33705e-08 -2.14609e-09 -1.12244e-08
1.99 -0.0470638 -0.0454734 -1.3393e-08 -2.14972e-09 -1.12433e-08
2 -0.0470552 -0.0455924 -1.34235e-08 -2.15464e-09 -1.12689e-08
2.01 -0.0470466 -0.0455161 -1.34408e-08 -2.15743e-09 -1.12833e-08
2.02 -0.0470379 -0.0454154 -1.34564e-08 -2.15996e-09 -1.12965e-08
2.03 -0.0470292 -0.0454856 -1.3484e-08 -2.16441e-09 -1.13196e-08
2.04 -0.0470204 -0.0456229 -1.35163e-08 -2.16962e-09 -1.13467e-08
2.05 -0.0470117 -0.045568 -1.35355e-08 -2.17272e-09 -1.13628e-08
2.06 -0.0470028 -0.0455344 -1.35563e-08 -2.17608e-09 -1.13802e-08
2.07 -0.046994 -0.0455863 -1.35831e-08 -2.18041e-09 -1.14027e-08
2.08 -0.0469851 -0.0455283 -1.36024e-08 -2.18354e-09 -1.14189e-08
2.09 -0.0469761 -0.0455528 -1.36276e-08 -2.1876e-09 -1.144e-08
2.1 -0.0469671 -0.0454398 -1.36434e-08 -2.19015e-09 -1.14532e-08
2.11 -0.0469581 -0.0456169 -1.36795e-08 -2.19597e-09 -1.14835e-08
2.12 -0.0469491 -0.0454795 -1.36938e-08 -2.19829e-09 -1.14955e-08
2.13 -0.04694 -0.0455436 -1.37223e-08 -2.20289e-09 -1.15194e-08
2.14 -0.0469308 -0.045388 -1.37355e-08 -2.20503e-09 -1.15304e-08
2.15 -0.0469217 -0.0452232 -1.37481e-08 -2.20709e-09 -1.1541e-08
2.16 -0.0469124 -0.0454124 -1.37859e-08 -2.21317e-09 -1.15727e-08
2.17 -0.0469032 -0.0453422 -1.38054e-08 -2.21634e-09 -1.15891e-08
2.18 -0.0468939 -0.0454154 -1.38353e-08 -2.22115e-09 -1.16141e-08
2.19 -0.0468845 -0.045391 -1.38584e-08 -2.22488e-09 -1.16335e-08
2.2 -0.0468752 -0.0454093 -1.38846e-08 -2.22913e-09 -1.16555e-08
2.21 -0.0468657 -0.0454429 -1.39121e-08 -2.23356e-09 -1.16786e-08
2.22 -0.0468563 -0.0453605 -1.39315e-08 -2.2367e-09 -1.16948e-08
2.23 -0.0468468 -0.0455283 -1.39689e-08 -2.24273e-09 -1.17262e-08
2.24 -0.0468372 -0.0452537 -1.39748e-08 -2.2437e-09 -1.17311e-08
2.25 -0.0468276 -0.0453544 -1.40077e-08 -2.24901e-09 -1.17587e-08
2.26 -0.046818 -0.0452445 -1.40256e-08 -2.25191e-09 -1.17737e-08
2.27 -0.0468083 -0.0453117 -1.40564e-08 -2.25688e-09 -1.17996e-08
2.28 -0.0467986 -0.0453483 -1.40852e-08 -2.26153e-09 -1.18237e-08
2.29 -0.0467888 -0.0454032 -1.41155e-08 -2.26641e-09 -1.1849e-08
