Time Vpre Vpost i ifast islow
0 -0.0482842 -0.0457664 2.47516e-10 1.28198e-10 1.19318e-10
0.01 -0.0482798 -0.0459373 2.80621e-10 1.23077e-10 1.57544e-10
0.02 -0.0482753 -0.0455528 3.25022e-10 1.34784e-10 1.90238e-10
0.03 -0.0482709 -0.0457633 3.16157e-10 1.28461e-10 1.87696e-10
0.04 -0.0482664 -0.0457389 3.20583e-10 1.29257e-10 1.91326e-10
0.05 -0.0482619 -0.0456565 3.27928e-10 1.31815e-10 1.96113e-10
0.06 -0.0482574 -0.0458152 3.16505e-10 1.27055e-10 1.8945e-10
0.07 -0.0482529 -0.0458946 3.10848e-10 1.24699e-10 1.86149e-10
0.08 -0.0482484 -0.0458305 3.15979e-10 1.26703e-10 1.89277e-10
0.09 -0.0482439 -0.0457878 3.19468e-10 1.28057e-10 1.91411e-10
0.1 -0.0482393 -0.0458457 3.15315e-10 1.26353e-10 1.88962e-10
0.11 -0.0482348 -0.0456504 3.30385e-10 1.32352e-10 1.98033e-10
0.12 -0.0482302 -0.0455772 3.36196e-10 1.3464e-10 2.01556e-10
0.13 -0.0482256 -0.0456016 3.3459e-10 1.33957e-10 2.00633e-10
0.14 -0.048221 -0.0456931 3.27874e-10 1.31229e-10 1.96645e-10
0.15 -0.0482164 -0.0456992 3.27654e-10 1.31102e-10 1.96552e-10
0.16 -0.0482118 -0.0457328 3.25338e-10 1.30137e-10 1.95201e-10
0.17 -0.0482071 -0.045684 3.29305e-10 1.31684e-10 1.97621e-10
0.18 -0.0482025 -0.0454765 3.45397e-10 1.38078e-10 2.07319e-10
0.19 -0.0481978 -0.0455985 3.36335e-10 1.34415e-10 2.01921e-10
0.2 -0.0481932 -0.0456535 3.32384e-10 1.32795e-10 1.99589e-10
0.21 -0.0481885 -0.0455436 3.41047e-10 1.36215e-10 2.04832e-10
0.22 -0.0481838 -0.0454551 3.48084e-10 1.38984e-10 2.09101e-10
0.23 -0.0481791 -0.0455131 3.43904e-10 1.37273e-10 2.06631e-10
0.24 -0.0481743 -0.0454368 3.5002e-10 1.39671e-10 2.10349e-10
0.25 -0.0481696 -0.0454795 3.4701e-10 1.38428e-10 2.08583e-10
0.26 -0.0481649 -0.0455009 3.45633e-10 1.37836e-10 2.07797e-10
0.27 -0.0481601 -0.0455589 3.4144e-10 1.36122e-10 2.05318e-10
0.28 -0.0481553 -0.0455467 3.42643e-10 1.36559e-10 2.06084e-10
0.29 -0.0481505 -0.0455436 3.43147e-10 1.36717e-10 2.06429e-10
0.3 -0.0481457 -0.0453117 3.61283e-10 1.43898e-10 2.17385e-10
0.31 -0.0481409 -0.0454276 3.52626e-10 1.40406e-10 2.1222e-10
0.32 -0.0481361 -0.0454459 3.51489e-10 1.3991e-10 2.1158e-10
0.33 -0.0481312 -0.0454002 3.55294e-10 1.4138e-10 2.13915e-10
0.34 -0.0481263 -0.0454185 3.54158e-10 1.40883e-10 2.13275e-10
0.35 -0.0481215 -0.0454154 3.54677e-10 1.41044e-10 2.13632e-10
0.36 -0.0481166 -0.045388 3.57078e-10 1.41954e-10 2.15124e-10
