t,f
1000.0,-0.8697242078641138
1000.01,-0.8696134544228072
1000.02,-0.8695025284129362
1000.03,-0.8693914295174213
1000.0400000000001,-0.8692801574184097
1000.0500000000001,-0.8691687117972742
1000.0600000000001,-0.8690570923346094
1000.07,-0.8689452987102296
1000.08,-0.8688333306031669
1000.09,-0.8687211876916681
1000.1,-0.8686088696531923
1000.11,-0.8684963761644089
1000.12,-0.8683837069011947
1000.13,-0.8682708615386316
1000.14,-0.8681578397510037
1000.15,-0.8680446412117951
1000.16,-0.867931265593687
1000.1700000000001,-0.8678177125685564
1000.1800000000001,-0.867703981807472
1000.19,-0.8675900729806922
1000.2,-0.8674759857576627
1000.21,-0.8673617198070137
1000.22,-0.8672472747965576
1000.23,-0.867132650393286
1000.24,-0.8670178462633672
1000.25,-0.866902862072144
1000.26,-0.8667876974841304
1000.27,-0.8666723521630096
1000.28,-0.8665568257716308
1000.2900000000001,-0.8664411179720065
1000.3000000000001,-0.8663252284253108
1000.3100000000001,-0.8662091567918754
1000.32,-0.8660929027311876
1000.33,-0.8659764659018878
1000.34,-0.8658598459617664
1000.35,-0.8657430425677605
1000.36,-0.8656260553759525
1000.37,-0.8655088840415667
1000.38,-0.8653915282189659
1000.39,-0.86527398756165
1000.4,-0.8651562617222515
1000.41,-0.8650383503525346
1000.4200000000001,-0.8649202531033913
1000.4300000000001,-0.8648019696248377
1000.44,-0.8646834995660133
1000.45,-0.8645648425751769
1000.46,-0.8644459982997034
1000.47,-0.864326966386082
1000.48,-0.8642077464799123
1000.49,-0.8640883382259025
1000.5,-0.8639687412678652
1000.51,-0.8638489552487154
1000.52,-0.8637289798104677
1000.53,-0.863608814594233
1000.5400000000001,-0.8634884592402152
1000.5500000000001,-0.8633679133877087
1000.5600000000001,-0.8632471766750958
1000.57,-0.8631262487398429
1000.58,-0.8630051292184981
1000.59,-0.862883817746688
1000.6,-0.8627623139591146
1000.61,-0.8626406174895523
1000.62,-0.862518727970845
1000.63,-0.8623966450349032
1000.64,-0.8622743683127007
1000.65,-0.8621518974342711
1000.66,-0.8620292320287055
1000.6700000000001,-0.8619063717241491
1000.6800000000001,-0.8617833161477979
1000.69,-0.8616600649258958
1000.7,-0.8615366176837312
1000.71,-0.8614129740456344
1000.72,-0.8612891336349738
1000.73,-0.861165096074153
1000.74,-0.8610408609846077
1000.75,-0.8609164279868022
1000.76,-0.8607917967002269
1000.77,-0.8606669667433938
1000.78,-0.8605419377338347
1000.7900000000001,-0.8604167092880969
1000.8000000000001,-0.8602912810217404
1000.8100000000001,-0.8601656525493346
1000.82,-0.8600398234844551
1000.83,-0.8599137934396794
1000.84,-0.8597875620265851
1000.85,-0.8596611288557461
1000.86,-0.8595344935367283
1000.87,-0.8594076556780873
1000.88,-0.8592806148873647
1000.89,-0.859153370771085
1000.9,-0.8590259229347511
1000.91,-0.8588982709828422
1000.9200000000001,-0.85877041451881
1000.9300000000001,-0.8586423531450744
1000.94,-0.8585140864630219
1000.95,-0.8583856140729996
1000.96,-0.8582569355743137
1000.97,-0.8581280505652258
1000.98,-0.8579989586429482
1000.99,-0.8578696594036416
1001.0,-0.8577401524424109
1001.01,-0.8576104373533016
1001.02,-0.8574805137292969
1001.03,-0.8573503811623133
1001.0400000000001,-0.8572200392431975
1001.0500000000001,-0.8570894875617222
1001.0600000000001,-0.8569587257065836
1001.07,-0.8568277532653966
1001.08,-0.8566965698246916
1001.09,-0.8565651749699107
1001.1,-0.8564335682854043
1001.11,-0.8563017493544273
1001.12,-0.8561697177591346
1001.13,-0.8560374730805784
1001.14,-0.8559050148987044
1001.15,-0.8557723427923475
1001.16,-0.8556394563392278
1001.1700000000001,-0.8555063551159474
1001.1800000000001,-0.8553730386979863
1001.19,-0.855239506659699
1001.2,-0.8551057585743093
1001.21,-0.8549717940139083
1001.22,-0.8548376125494495
1001.23,-0.8547032137507449
1001.24,-0.8545685971864608
1001.25,-0.8544337624241146
1001.26,-0.8542987090300705
1001.27,-0.8541634365695356
1001.28,-0.8540279446065556
1001.2900000000001,-0.8538922327040109
1001.3000000000001,-0.8537563004236135
1001.3100000000001,-0.8536201473259013
1001.32,-0.8534837729702353
1001.33,-0.853347176914795
1001.34,-0.8532103587165745
1001.35,-0.8530733179313784
1001.36,-0.8529360541138178
1001.37,-0.8527985668173057
1001.38,-0.8526608555940535
1001.39,-0.8525229199950658
1001.4,-0.8523847595701376
1001.41,-0.852246373867849
1001.4200000000001,-0.8521077624355611
1001.4300000000001,-0.8519689248194122
1001.44,-0.8518298605643135
1001.45,-0.8516905692139445
1001.46,-0.8515510503107483
1001.47,-0.8514113033959285
1001.48,-0.851271328009444
1001.49,-0.8511311236900045
1001.5,-0.8509906899750664
1001.51,-0.8508500264008289
1001.52,-0.8507091325022286
1001.53,-0.8505680078129356
1001.5400000000001,-0.8504266518653493
1001.5500000000001,-0.8502850641905935
1001.5600000000001,-0.8501432443185121
1001.57,-0.8500011917776644
1001.58,-0.8498589060953208
1001.59,-0.849716386797458
1001.6,-0.8495736334087549
1001.61,-0.8494306454525874
1001.62,-0.8492874224510241
1001.63,-0.8491439639248219
1001.64,-0.8490002693934208
1001.65,-0.8488563383749395
1001.66,-0.848712170386171
1001.6700000000001,-0.8485677649425775
1001.6800000000001,-0.8484231215582857
1001.69,-0.8482782397460824
1001.7,-0.848133119017409
1001.71,-0.8479877588823578
1001.72,-0.847842158849666
1001.73,-0.8476963184267113
1001.74,-0.8475502371195079
1001.75,-0.8474039144327001
1001.76,-0.8472573498695588
1001.77,-0.8471105429319753
1001.78,-0.8469634931204574
1001.7900000000001,-0.8468161999341243
1001.8000000000001,-0.8466686628707008
1001.8100000000001,-0.846520881426513
1001.82,-0.8463728550964834
1001.83,-0.8462245833741253
1001.84,-0.8460760657515379
1001.85,-0.8459273017194013
1001.86,-0.8457782907669719
1001.87,-0.8456290323820758
1001.88,-0.8454795260511052
1001.89,-0.8453297712590122
1001.9,-0.8451797674893043
1001.91,-0.8450295142240386
1001.9200000000001,-0.8448790109438167
1001.9300000000001,-0.8447282571277794
1001.94,-0.8445772522536017
1001.95,-0.8444259957974867
1001.96,-0.8442744872341613
1001.97,-0.8441227260368704
1001.98,-0.8439707116773708
1001.99,-0.8438184436259268
1002.0,-0.8436659213513042
1002.01,-0.8435131443207647
1002.02,-0.8433601120000609
1002.03,-0.8432068238534304
1002.0400000000001,-0.8430532793435903
1002.0500000000001,-0.8428994779317319
1002.0600000000001,-0.8427454190775145
1002.07,-0.8425911022390609
1002.08,-0.8424365268729498
1002.09,-0.8422816924342122
1002.1,-0.8421265983763249
1002.11,-0.8419712441512041
1002.12,-0.8418156292092008
1002.13,-0.8416597529990942
1002.14,-0.841503614968086
1002.15,-0.8413472145617951
1002.16,-0.841190551224251
1002.1700000000001,-0.8410336243978883
1002.1800000000001,-0.8408764335235415
1002.19,-0.8407189780404374
1002.2,-0.8405612573861901
1002.21,-0.8404032709967958
1002.22,-0.8402450183066251
1002.23,-0.840086498748418
1002.24,-0.8399277117532781
1002.25,-0.8397686567506654
1002.26,-0.8396093331683908
1002.27,-0.8394497404326108
1002.28,-0.8392898779678193
1002.2900000000001,-0.8391297451968431
1002.3000000000001,-0.8389693415408349
1002.3100000000001,-0.8388086664192673
1002.32,-0.8386477192499264
1002.33,-0.8384864994489057
1002.34,-0.8383250064305988
1002.35,-0.8381632396076947
1002.36,-0.838001198391169
1002.37,-0.8378388821902802
1002.38,-0.8376762904125613
1002.39,-0.8375134224638138
1002.4,-0.8373502777481013
1002.41,-0.8371868556677429
1002.4200000000001,-0.8370231556233062
1002.4300000000001,-0.8368591770136015
1002.44,-0.8366949192356744
1002.45,-0.8365303816847994
1002.46,-0.836365563754473
1002.47,-0.836200464836407
1002.48,-0.8360350843205218
1002.49,-0.8358694215949398
1002.5,-0.8357034760459784
1002.51,-0.8355372470581426
1002.52,-0.8353707340141187
1002.53,-0.8352039362947671
1002.5400000000001,-0.8350368532791156
1002.5500000000001,-0.8348694843443518
1002.5600000000001,-0.8347018288658167
1002.57,-0.8345338862169971
1002.58,-0.8343656557695188
1002.59,-0.8341971368931398
1002.6,-0.834028328955742
1002.61,-0.833859231323325
1002.62,-0.8336898433599985
1002.63,-0.8335201644279754
1002.64,-0.8333501938875634
1002.65,-0.833179931097159
1002.66,-0.8330093754132389
1002.6700000000001,-0.8328385261903537
1002.6800000000001,-0.8326673827811195
1002.69,-0.8324959445362113
1002.7,-0.8323242108043547
1002.71,-0.8321521809323186
1002.72,-0.8319798542649074
1002.73,-0.8318072301449538
1002.74,-0.8316343079133112
1002.75,-0.8314610869088449
1002.76,-0.8312875664684258
1002.77,-0.8311137459269221
1002.78,-0.8309396246171907
1002.7900000000001,-0.8307652018700705
1002.8000000000001,-0.8305904770143737
1002.8100000000001,-0.8304154493768784
1002.82,-0.8302401182823197
1002.83,-0.8300644830533831
1002.84,-0.8298885430106958
1002.85,-0.8297122974728178
1002.86,-0.829535745756235
1002.87,-0.8293588871753502
1002.88,-0.8291817210424756
1002.89,-0.8290042466678235
1002.9,-0.8288264633594996
1002.91,-0.8286483704234933
1002.9200000000001,-0.8284699671636695
1002.9300000000001,-0.8282912528817611
1002.94,-0.8281122268773586
1002.95,-0.8279328884479048
1002.96,-0.8277532368886831
1002.97,-0.8275732714928105
1002.98,-0.8273929915512289
1002.99,-0.8272123963526959
1003.0,-0.8270314851837772
1003.01,-0.8268502573288363
1003.02,-0.8266687120700267
1003.03,-0.826486848687283
1003.0400000000001,-0.826304666458312
1003.0500000000001,-0.8261221646585833
1003.0600000000001,-0.8259393425613214
1003.07,-0.8257561994374956
1003.08,-0.8255727345558114
1003.09,-0.8253889471827013
1003.1,-0.8252048365823161
1003.11,-0.8250204020165149
1003.12,-0.8248356427448568
1003.13,-0.8246505580245909
1003.14,-0.8244651471106469
1003.15,-0.824279409255627
1003.16,-0.8240933437097947
1003.1700000000001,-0.8239069497210667
1003.1800000000001,-0.8237202265350028
1003.19,-0.823533173394796
1003.2,-0.823345789541264
1003.21,-0.8231580742128387
1003.22,-0.8229700266455566
1003.23,-0.8227816460730487
1003.24,-0.8225929317265315
1003.25,-0.8224038828347972
1003.26,-0.8222144986242028
1003.27,-0.8220247783186609
1003.28,-0.8218347211396302
1003.2900000000001,-0.8216443263061037
1003.3000000000001,-0.8214535930346006
1003.3100000000001,-0.8212625205391552
1003.32,-0.8210711080313061
1003.33,-0.8208793547200871
1003.34,-0.8206872598120164
1003.35,-0.8204948225110865
1003.36,-0.8203020420187532
1003.37,-0.8201089175339259
1003.38,-0.8199154482529563
1003.39,-0.8197216333696283
1003.4,-0.819527472075148
1003.41,-0.8193329635581311
1003.4200000000001,-0.8191381070045944
1003.4300000000001,-0.8189429015979439
1003.44,-0.8187473465189637
1003.45,-0.818551440945806
1003.46,-0.8183551840539792
1003.47,-0.8181585750163377
1003.48,-0.8179616130030704
1003.49,-0.8177642971816899
1003.5,-0.8175666267170206
1003.51,-0.8173686007711886
1003.52,-0.8171702185036092
1003.53,-0.8169714790709766
1003.5400000000001,-0.8167723816272517
1003.5500000000001,-0.8165729253236514
