t,x,y,z
0,-1.52963,-10.7076,3.17113
0.1,-1.52958,-10.7068,3.17108
0.2,-1.52952,-10.7059,3.17103
0.3,-1.52946,-10.705,3.17098
0.4,-1.5294,-10.7041,3.17093
0.5,-1.52935,-10.7033,3.17087
0.6,-1.52929,-10.7024,3.17082
0.7,-1.52923,-10.7015,3.17077
0.8,-1.52918,-10.7006,3.17072
0.9,-1.52912,-10.6998,3.17067
1,-1.52906,-10.6989,3.17062
1.1,-1.529,-10.698,3.17056
1.2,-1.52895,-10.6971,3.17051
1.3,-1.52889,-10.6963,3.17046
1.4,-1.52883,-10.6954,3.17041
1.5,-1.52877,-10.6945,3.17036
1.6,-1.52872,-10.6936,3.17031
1.7,-1.52866,-10.6928,3.17025
1.8,-1.5286,-10.6919,3.1702
1.9,-1.52855,-10.691,3.17015
2,-1.52849,-10.6901,3.1701
2.1,-1.52843,-10.6893,3.17005
2.2,-1.52837,-10.6884,3.17
2.3,-1.52832,-10.6875,3.16994
2.4,-1.52826,-10.6866,3.16989
2.5,-1.5282,-10.6858,3.16984
2.6,-1.52815,-10.6849,3.16979
2.7,-1.52809,-10.684,3.16974
2.8,-1.52803,-10.6831,3.16969
2.9,-1.52797,-10.6823,3.16964
3,-1.52792,-10.6814,3.16958
3.1,-1.52786,-10.6805,3.16953
3.2,-1.5278,-10.6796,3.16948
3.3,-1.52774,-10.6788,3.16943
3.4,-1.52769,-10.6779,3.16938
3.5,-1.52763,-10.677,3.16933
3.6,-1.52757,-10.6761,3.16928
3.7,-1.52751,-10.6753,3.16922
3.8,-1.52746,-10.6744,3.16917
3.9,-1.5274,-10.6735,3.16912
4,-1.52734,-10.6726,3.16907
4.1,-1.52729,-10.6718,3.16902
4.2,-1.52723,-10.6709,3.16897
4.3,-1.52717,-10.67,3.16892
4.4,-1.52711,-10.6691,3.16887
4.5,-1.52706,-10.6683,3.16881
4.6,-1.527,-10.6674,3.16876
4.7,-1.52694,-10.6665,3.16871
4.8,-1.52688,-10.6656,3.16866
4.9,-1.52683,-10.6648,3.16861
5,-1.52677,-10.6639,3.16856
5.1,-1.52671,-10.663,3.16851
5.2,-1.52665,-10.6621,3.16846
5.3,-1.5266,-10.6613,3.1684
5.4,-1.52654,-10.6604,3.16835
5.5,-1.52648,-10.6595,3.1683
5.6,-1.52643,-10.6586,3.16825
5.7,-1.52637,-10.6578,3.1682
5.8,-1.52631,-10.6569,3.16815
5.9,-1.52625,-10.656,3.1681
6,-1.5262,-10.6551,3.16805
6.1,-1.52614,-10.6542,3.168
6.2,-1.52608,-10.6534,3.16795
6.3,-1.52602,-10.6525,3.16789
6.4,-1.52597,-10.6516,3.16784
6.5,-1.52591,-10.6507,3.16779
6.6,-1.52585,-10.6499,3.16774
6.7,-1.52579,-10.649,3.16769
6.8,-1.52574,-10.6481,3.16764
6.9,-1.52568,-10.6472,3.16759
7,-1.52562,-10.6464,3.16754
7.1,-1.52556,-10.6455,3.16749
7.2,-1.52551,-10.6446,3.16744
7.3,-1.52545,-10.6437,3.16739
7.4,-1.52539,-10.6429,3.16733
7.5,-1.52533,-10.642,3.16728
7.6,-1.52528,-10.6411,3.16723
7.7,-1.52522,-10.6402,3.16718
7.8,-1.52516,-10.6394,3.16713
7.9,-1.5251,-10.6385,3.16708
8,-1.52505,-10.6376,3.16703
8.1,-1.52499,-10.6367,3.16698
8.2,-1.52493,-10.6358,3.16693
8.3,-1.52487,-10.635,3.16688
8.4,-1.52482,-10.6341,3.16683
8.5,-1.52476,-10.6332,3.16678
8.6,-1.5247,-10.6323,3.16673
8.7,-1.52464,-10.6315,3.16667
8.8,-1.52459,-10.6306,3.16662
8.9,-1.52453,-10.6297,3.16657
9,-1.52447,-10.6288,3.16652
9.1,-1.52441,-10.628,3.16647
9.2,-1.52436,-10.6271,3.16642
9.3,-1.5243,-10.6262,3.16637
9.4,-1.52424,-10.6253,3.16632
9.5,-1.52418,-10.6245,3.16627
9.6,-1.52413,-10.6236,3.16622
9.7,-1.52407,-10.6227,3.16617
9.8,-1.52401,-10.6218,3.16612
9.9,-1.52395,-10.6209,3.16607
10,-1.5239,-10.6201,3.16602
10.1,-1.52384,-10.6192,3.16597
10.2,-1.52378,-10.6183,3.16592
10.3,-1.52372,-10.6174,3.16587
10.4,-1.52367,-10.6166,3.16581
10.5,-1.52361,-10.6157,3.16576
10.6,-1.52355,-10.6148,3.16571
10.7,-1.52349,-10.6139,3.16566
10.8,-1.52344,-10.613,3.16561
10.9,-1.52338,-10.6122,3.16556
11,-1.52332,-10.6113,3.16551
11.1,-1.52326,-10.6104,3.16546
11.2,-1.5232,-10.6095,3.16541
11.3,-1.52315,-10.6087,3.16536
11.4,-1.52309,-10.6078,3.16531
11.5,-1.52303,-10.6069,3.16526
11.6,-1.52297,-10.606,3.16521
11.7,-1.52292,-10.6052,3.16516
11.8,-1.52286,-10.6043,3.16511
11.9,-1.5228,-10.6034,3.16506
12,-1.52274,-10.6025,3.16501
12.1,-1.52269,-10.6016,3.16496
12.2,-1.52263,-10.6008,3.16491
12.3,-1.52257,-10.5999,3.16486
12.4,-1.52251,-10.599,3.16481
12.5,-1.52246,-10.5981,3.16476
12.6,-1.5224,-10.5973,3.16471
12.7,-1.52234,-10.5964,3.16466
12.8,-1.52228,-10.5955,3.16461
12.9,-1.52222,-10.5946,3.16456
13,-1.52217,-10.5937,3.16451
13.1,-1.52211,-10.5929,3.16446
13.2,-1.52205,-10.592,3.16441
13.3,-1.52199,-10.5911,3.16436
13.4,-1.52194,-10.5902,3.16431
13.5,-1.52188,-10.5893,3.16426
13.6,-1.52182,-10.5885,3.16421
13.7,-1.52176,-10.5876,3.16416
13.8,-1.52171,-10.5867,3.16411
13.9,-1.52165,-10.5858,3.16406
14,-1.52159,-10.585,3.16401
14.1,-1.52153,-10.5841,3.16396
14.2,-1.52147,-10.5832,3.16391
14.3,-1.52142,-10.5823,3.16386
14.4,-1.52136,-10.5814,3.16381
14.5,-1.5213,-10.5806,3.16376
14.6,-1.52124,-10.5797,3.16371
14.7,-1.52119,-10.5788,3.16366
14.8,-1.52113,-10.5779,3.16361
14.9,-1.52107,-10.5771,3.16356
15,-1.52101,-10.5762,3.16351
15.1,-1.52095,-10.5753,3.16346
15.2,-1.5209,-10.5744,3.16341
15.3,-1.52084,-10.5735,3.16336
15.4,-1.52078,-10.5727,3.16331
15.5,-1.52072,-10.5718,3.16326
15.6,-1.52067,-10.5709,3.16321
15.7,-1.52061,-10.57,3.16316
15.8,-1.52055,-10.5691,3.16311
15.9,-1.52049,-10.5683,3.16306
16,-1.52043,-10.5674,3.16301
16.1,-1.52038,-10.5665,3.16296
16.2,-1.52032,-10.5656,3.16291
16.3,-1.52026,-10.5647,3.16286
16.4,-1.5202,-10.5639,3.16281
16.5,-1.52014,-10.563,3.16276
16.6,-1.52009,-10.5621,3.16271
16.7,-1.52003,-10.5612,3.16266
16.8,-1.51997,-10.5604,3.16261
16.9,-1.51991,-10.5595,3.16256
17,-1.51986,-10.5586,3.16251
17.1,-1.5198,-10.5577,3.16246
17.2,-1.51974,-10.5568,3.16241
17.3,-1.51968,-10.556,3.16236
17.4,-1.51962,-10.5551,3.16232
17.5,-1.51957,-10.5542,3.16227
17.6,-1.51951,-10.5533,3.16222
17.7,-1.51945,-10.5524,3.16217
17.8,-1.51939,-10.5516,3.16212
17.9,-1.51933,-10.5507,3.16207
18,-1.51928,-10.5498,3.16202
18.1,-1.51922,-10.5489,3.16197
18.2,-1.51916,-10.548,3.16192
18.3,-1.5191,-10.5472,3.16187
18.4,-1.51904,-10.5463,3.16182
18.5,-1.51899,-10.5454,3.16177
18.6,-1.51893,-10.5445,3.16172
18.7,-1.51887,-10.5436,3.16167
18.8,-1.51881,-10.5428,3.16162
18.9,-1.51876,-10.5419,3.16157
19,-1.5187,-10.541,3.16152
19.1,-1.51864,-10.5401,3.16148
19.2,-1.51858,-10.5392,3.16143
19.3,-1.51852,-10.5384,3.16138
19.4,-1.51847,-10.5375,3.16133
19.5,-1.51841,-10.5366,3.16128
19.6,-1.51835,-10.5357,3.16123
19.7,-1.51829,-10.5348,3.16118
19.8,-1.51823,-10.534,3.16113
19.9,-1.51818,-10.5331,3.16108
20,-1.51812,-10.5322,3.16103
20.1,-1.51806,-10.5313,3.16098
20.2,-1.518,-10.5304,3.16093
20.3,-1.51794,-10.5296,3.16088
20.4,-1.51789,-10.5287,3.16084
20.5,-1.51783,-10.5278,3.16079
20.6,-1.51777,-10.5269,3.16074
20.7,-1.51771,-10.526,3.16069
20.8,-1.51765,-10.5252,3.16064
20.9,-1.5176,-10.5243,3.16059
21,-1.51754,-10.5234,3.16054
21.1,-1.51748,-10.5225,3.16049
21.2,-1.51742,-10.5216,3.16044
21.3,-1.51736,-10.5208,3.16039
21.4,-1.5173,-10.5199,3.16034
21.5,-1.51725,-10.519,3.1603
21.6,-1.51719,-10.5181,3.16025
21.7,-1.51713,-10.5172,3.1602
21.8,-1.51707,-10.5164,3.16015
21.9,-1.51701,-10.5155,3.1601
22,-1.51696,-10.5146,3.16005
22.1,-1.5169,-10.5137,3.16
22.2,-1.51684,-10.5128,3.15995
22.3,-1.51678,-10.5119,3.1599
22.4,-1.51672,-10.5111,3.15986
22.5,-1.51667,-10.5102,3.15981
22.6,-1.51661,-10.5093,3.15976
22.7,-1.51655,-10.5084,3.15971
22.8,-1.51649,-10.5075,3.15966
22.9,-1.51643,-10.5067,3.15961
23,-1.51638,-10.5058,3.15956
23.1,-1.51632,-10.5049,3.15951
23.2,-1.51626,-10.504,3.15946
23.3,-1.5162,-10.5031,3.15942
23.4,-1.51614,-10.5023,3.15937
23.5,-1.51608,-10.5014,3.15932
23.6,-1.51603,-10.5005,3.15927
23.7,-1.51597,-10.4996,3.15922
23.8,-1.51591,-10.4987,3.15917
23.9,-1.51585,-10.4978,3.15912
24,-1.51579,-10.497,3.15908
24.1,-1.51574,-10.4961,3.15903
24.2,-1.51568,-10.4952,3.15898
24.3,-1.51562,-10.4943,3.15893
24.4,-1.51556,-10.4934,3.15888
24.5,-1.5155,-10.4926,3.15883
24.6,-1.51544,-10.4917,3.15878
24.7,-1.51539,-10.4908,3.15873
24.8,-1.51533,-10.4899,3.15869
24.9,-1.51527,-10.489,3.15864
25,-1.51521,-10.4881,3.15859
25.1,-1.51515,-10.4873,3.15854
25.2,-1.5151,-10.4864,3.15849
25.3,-1.51504,-10.4855,3.15844
25.4,-1.51498,-10.4846,3.1584
25.5,-1.51492,-10.4837,3.15835
25.6,-1.51486,-10.4829,3.1583
25.7,-1.5148,-10.482,3.15825
25.8,-1.51475,-10.4811,3.1582
25.9,-1.51469,-10.4802,3.15815
26,-1.51463,-10.4793,3.1581
26.1,-1.51457,-10.4784,3.15806
26.2,-1.51451,-10.4776,3.15801
26.3,-1.51445,-10.4767,3.15796
26.4,-1.5144,-10.4758,3.15791
26.5,-1.51434,-10.4749,3.15786
26.6,-1.51428,-10.474,3.15781
26.7,-1.51422,-10.4732,3.15777
26.8,-1.51416,-10.4723,3.15772
26.9,-1.5141,-10.4714,3.15767
27,-1.51405,-10.4705,3.15762
27.1,-1.51399,-10.4696,3.15757
27.2,-1.51393,-10.4687,3.15752
27.3,-1.51387,-10.4679,3.15748
27.4,-1.51381,-10.467,3.15743
27.5,-1.51375,-10.4661,3.15738
27.6,-1.5137,-10.4652,3.15733
27.7,-1.51364,-10.4643,3.15728
27.8,-1.51358,-10.4634,3.15724
27.9,-1.51352,-10.4626,3.15719
28,-1.51346,-10.4617,3.15714
28.1,-1.5134,-10.4608,3.15709
28.2,-1.51335,-10.4599,3.15704
28.3,-1.51329,-10.459,3.157
28.4,-1.51323,-10.4581,3.15695
28.5,-1.51317,-10.4573,3.1569
28.6,-1.51311,-10.4564,3.15685
28.7,-1.51305,-10.4555,3.1568
28.8,-1.513,-10.4546,3.15675
28.9,-1.51294,-10.4537,3.15671
29,-1.51288,-10.4528,3.15666
29.1,-1.51282,-10.452,3.15661
29.2,-1.51276,-10.4511,3.15656
29.3,-1.5127,-10.4502,3.15651
29.4,-1.51265,-10.4493,3.15647
29.5,-1.51259,-10.4484,3.15642
29.6,-1.51253,-10.4475,3.15637
29.7,-1.51247,-10.4467,3.15632
29.8,-1.51241,-10.4458,3.15628
29.9,-1.51235,-10.4449,3.15623
30,-1.51229,-10.444,3.15618
30.1,-1.51224,-10.4431,3.15613
30.2,-1.51218,-10.4422,3.15608
30.3,-1.51212,-10.4414,3.15604
30.4,-1.51206,-10.4405,3.15599
30.5,-1.512,-10.4396,3.15594
30.6,-1.51194,-10.4387,3.15589
30.7,-1.51189,-10.4378,3.15584
30.8,-1.51183,-10.4369,3.1558
30.9,-1.51177,-10.4361,3.15575
31,-1.51171,-10.4352,3.1557
31.1,-1.51165,-10.4343,3.15565
31.2,-1.51159,-10.4334,3.15561
31.3,-1.51153,-10.4325,3.15556
31.4,-1.51148,-10.4316,3.15551
31.5,-1.51142,-10.4308,3.15546
31.6,-1.51136,-10.4299,3.15542
31.7,-1.5113,-10.429,3.15537
31.8,-1.51124,-10.4281,3.15532
31.9,-1.51118,-10.4272,3.15527
32,-1.51112,-10.4263,3.15523
32.1,-1.51107,-10.4254,3.15518
32.2,-1.51101,-10.4246,3.15513
32.3,-1.51095,-10.4237,3.15508
32.4,-1.51089,-10.4228,3.15503
32.5,-1.51083,-10.4219,3.15499
32.6,-1.51077,-10.421,3.15494
32.7,-1.51071,-10.4201,3.15489
32.8,-1.51066,-10.4193,3.15484
32.9,-1.5106,-10.4184,3.1548
33,-1.51054,-10.4175,3.15475
33.1,-1.51048,-10.4166,3.1547
33.2,-1.51042,-10.4157,3.15465
33.3,-1.51036,-10.4148,3.15461
33.4,-1.5103,-10.4139,3.15456
33.5,-1.51025,-10.4131,3.15451
33.6,-1.51019,-10.4122,3.15447
33.7,-1.51013,-10.4113,3.15442
