t,v_pre,v_post,i,i_fast,i_slow
0,-0.670099,-1.70186,0.404155,2.33665e-05,0.404132
0.048,-0.652594,-1.70181,0.404371,2.50402e-05,0.404346
0.096,-0.664608,-1.70175,0.404551,2.38793e-05,0.404527
0.144,-0.654594,-1.7017,0.404735,2.48433e-05,0.40471
0.192,-0.634598,-1.70164,0.404957,2.6886e-05,0.40493
0.24,-0.674098,-1.70158,0.405131,2.30007e-05,0.405108
0.288,-0.618077,-1.70153,0.405367,2.87001e-05,0.405338
0.336,-0.634598,-1.70147,0.40556,2.68864e-05,0.405533
0.384,-0.669607,-1.7014,0.405733,2.34128e-05,0.40571
0.432,-0.607079,-1.70134,0.405964,2.99752e-05,0.405934
0.48,-0.608571,-1.70128,0.406199,2.97992e-05,0.40617
0.528,-0.647087,-1.70122,0.406451,2.55922e-05,0.406426
0.576,-0.644596,-1.70116,0.406689,2.58455e-05,0.406663
0.624,-0.628091,-1.7011,0.406901,2.75874e-05,0.406874
0.672,-0.639597,-1.70104,0.407097,2.63614e-05,0.40707
0.72,-0.652594,-1.70097,0.407248,2.50418e-05,0.407223
0.768,-0.628583,-1.7009,0.40744,2.75343e-05,0.407412
0.816,-0.611078,-1.70083,0.407612,2.95064e-05,0.407582
0.864,-0.636089,-1.70076,0.407768,2.67298e-05,0.407741
0.912,-0.63509,-1.70069,0.407936,2.68358e-05,0.407909
0.96,-0.641596,-1.70061,0.408086,2.61547e-05,0.40806
1.008,-0.637089,-1.70054,0.408238,2.66249e-05,0.408212
1.056,-0.645596,-1.70046,0.408418,2.5745e-05,0.408392
1.104,-0.617585,-1.70039,0.408588,2.87584e-05,0.408559
1.152,-0.648087,-1.70031,0.408762,2.54931e-05,0.408737
1.2,-0.643596,-1.70023,0.408943,2.59497e-05,0.408917
1.248,-0.651103,-1.70015,0.409088,2.51914e-05,0.409063
1.296,-0.682112,-1.70006,0.409188,2.22862e-05,0.409165
1.344,-0.645088,-1.69998,0.409297,2.57977e-05,0.409271
1.392,-0.649595,-1.69989,0.409385,2.53424e-05,0.409359
1.44,-0.643596,-1.69979,0.409478,2.59505e-05,0.409452
1.488,-0.622076,-1.6997,0.409632,2.8254e-05,0.409603
1.536,-0.671606,-1.69961,0.409752,2.32317e-05,0.409728
1.584,-0.625584,-1.69951,0.409869,2.78655e-05,0.409841
1.632,-0.631091,-1.69942,0.410033,2.72659e-05,0.410005
1.68,-0.617585,-1.69933,0.410219,2.87607e-05,0.410191
1.728,-0.608079,-1.69923,0.410368,2.98618e-05,0.410339
1.776,-0.622076,-1.69914,0.410546,2.82553e-05,0.410518
1.824,-0.641088,-1.69904,0.410676,2.62105e-05,0.410649
1.872,-0.597082,-1.69894,0.410836,3.11888e-05,0.410805
1.92,-0.588067,-1.69885,0.411058,3.232e-05,0.411026
1.968,-0.633582,-1.69876,0.41126,2.70002e-05,0.411233
2.016,-0.577069,-1.69866,0.411457,3.3756e-05,0.411423
2.064,-0.595082,-1.69857,0.41167,3.14372e-05,0.411638
2.112,-0.588575,-1.69848,0.411894,3.22561e-05,0.411861
2.16,-0.598081,-1.69839,0.41213,3.10672e-05,0.412099
2.208,-0.591066,-1.6983,0.412342,3.19406e-05,0.41231
2.256,-0.596573,-1.69821,0.412549,3.12533e-05,0.412518
2.304,-0.624584,-1.69812,0.412701,2.79788e-05,0.412673
2.352,-0.612586,-1.69803,0.412874,2.93374e-05,0.412845
2.4,-0.600081,-1.69793,0.413057,3.08238e-05,0.413026
2.448,-0.608079,-1.69784,0.413232,2.9865e-05,0.413203
2.496,-0.622076,-1.69775,0.41338,2.82583e-05,0.413352
2.544,-0.627583,-1.69765,0.413493,2.76502e-05,0.413465
2.592,-0.612078,-1.69755,0.413623,2.93974e-05,0.413593
2.64,-0.609587,-1.69745,0.413758,2.96885e-05,0.413729
2.688,-0.630582,-1.69735,0.413846,2.7325e-05,0.413819
2.736,-0.645596,-1.69725,0.413927,2.57513e-05,0.413901
2.784,-0.649103,-1.69714,0.413981,2.53971e-05,0.413955
2.832,-0.624584,-1.69703,0.414064,2.79812e-05,0.414036
2.88,-0.652102,-1.69692,0.414157,2.50982e-05,0.414132
2.928,-0.631091,-1.69681,0.414232,2.72714e-05,0.414205
2.976,-0.660592,-1.6967,0.414284,2.42706e-05,0.41426
3.024,-0.669607,-1.69658,0.414338,2.34214e-05,0.414315
3.072,-0.647087,-1.69646,0.414403,2.56015e-05,0.414377
3.12,-0.644088,-1.69634,0.414473,2.5907e-05,0.414447
3.168,-0.63209,-1.69622,0.414587,2.7165e-05,0.41456
3.216,-0.608571,-1.69611,0.414759,2.9811e-05,0.414729
3.264,-0.608571,-1.69599,0.414936,2.98113e-05,0.414906
3.312,-0.60508,-1.69588,0.415105,3.02256e-05,0.415075
3.36,-0.596082,-1.69577,0.415268,3.13199e-05,0.415237
3.408,-0.573562,-1.69565,0.415437,3.4235e-05,0.415403
3.456,-0.585068,-1.69554,0.415612,3.27137e-05,0.415579
3.504,-0.584576,-1.69543,0.415808,3.27776e-05,0.415775
3.552,-0.593066,-1.69532,0.415964,3.16965e-05,0.415932
3.6,-0.585576,-1.69521,0.416153,3.26489e-05,0.41612
3.648,-0.596573,-1.6951,0.416314,3.12607e-05,0.416283
3.696,-0.594082,-1.69499,0.416498,3.15703e-05,0.416466
3.744,-0.607571,-1.69488,0.416683,2.99318e-05,0.416653
3.792,-0.561056,-1.69478,0.416899,3.59716e-05,0.416863
3.84,-0.569071,-1.69467,0.417106,3.48505e-05,0.417071
3.888,-0.570563,-1.69456,0.417295,3.4646e-05,0.41726
3.936,-0.615586,-1.69446,0.417451,2.89997e-05,0.417422
3.984,-0.582068,-1.69435,0.417628,3.31067e-05,0.417595
4.032,-0.600081,-1.69425,0.417775,3.08325e-05,0.417744
4.08,-0.587575,-1.69414,0.417908,3.23946e-05,0.417876
4.128,-0.623076,-1.69403,0.418003,2.81549e-05,0.417974
4.176,-0.608079,-1.69391,0.418099,2.9874e-05,0.418069
4.224,-0.614586,-1.6938,0.418215,2.91159e-05,0.418186
4.272,-0.607079,-1.69369,0.418308,2.99928e-05,0.418278
4.32,-0.60208,-1.69357,0.418389,3.05914e-05,0.418359
4.368,-0.610587,-1.69346,0.418485,2.95805e-05,0.418456
4.416,-0.611078,-1.69334,0.418593,2.95233e-05,0.418563
4.464,-0.63209,-1.69322,0.41865,2.71713e-05,0.418623
4.512,-0.637597,-1.6931,0.41869,2.65866e-05,0.418663
4.56,-0.621093,-1.69297,0.418752,2.83787e-05,0.418724
4.608,-0.627583,-1.69285,0.418841,2.76603e-05,0.418813
4.656,-0.617077,-1.69272,0.418876,2.88331e-05,0.418847
4.704,-0.630091,-1.69259,0.418936,2.73881e-05,0.418908
4.752,-0.609587,-1.69247,0.41905,2.96998e-05,0.41902
4.8,-0.648087,-1.69234,0.419116,2.55086e-05,0.419091
4.848,-0.564056,-1.69221,0.419257,3.55547e-05,0.419222
4.896,-0.567563,-1.69209,0.419442,3.50657e-05,0.419407
4.944,-0.585068,-1.69197,0.419599,3.27226e-05,0.419566
4.992,-0.616585,-1.69184,0.419713,2.88911e-05,0.419684
5.04,-0.609079,-1.69172,0.419835,2.97612e-05,0.419806
5.088,-0.576561,-1.6916,0.419984,3.38421e-05,0.419951
5.136,-0.581577,-1.69147,0.420132,3.31784e-05,0.420099
5.184,-0.559057,-1.69135,0.420309,3.62664e-05,0.420272
5.232,-0.567563,-1.69123,0.420473,3.5068e-05,0.420438
5.28,-0.529047,-1.69111,0.420671,4.08328e-05,0.42063
5.328,-0.564564,-1.691,0.420872,3.54867e-05,0.420836
5.376,-0.558565,-1.69088,0.421019,3.63382e-05,0.420983
5.424,-0.582068,-1.69076,0.421148,3.31158e-05,0.421115
5.472,-0.571071,-1.69064,0.421306,3.45869e-05,0.421271
5.52,-0.560565,-1.69053,0.421445,3.60532e-05,0.421409
5.568,-0.57407,-1.69041,0.421576,3.418e-05,0.421542
5.616,-0.623584,-1.69028,0.421626,2.81065e-05,0.421598
5.664,-0.583068,-1.69016,0.421703,3.29868e-05,0.42167
5.712,-0.588067,-1.69004,0.421795,3.23419e-05,0.421763
5.76,-0.598573,-1.68991,0.42187,3.1027e-05,0.421839
5.808,-0.589575,-1.68979,0.421991,3.21504e-05,0.421958
5.856,-0.599573,-1.68966,0.422114,3.09053e-05,0.422084
5.904,-0.595082,-1.68954,0.422196,3.14589e-05,0.422165
5.952,-0.559565,-1.68941,0.422336,3.6199e-05,0.422299
6,-0.587067,-1.68929,0.422436,3.24718e-05,0.422404
6.048,-0.592574,-1.68916,0.422486,3.17731e-05,0.422455
6.096,-0.608571,-1.68903,0.422514,2.98272e-05,0.422484
6.144,-0.608571,-1.6889,0.422551,2.98275e-05,0.422521
6.192,-0.57407,-1.68876,0.422625,3.41843e-05,0.422591
6.24,-0.577069,-1.68863,0.422756,3.37819e-05,0.422723
6.288,-0.599573,-1.6885,0.422842,3.0908e-05,0.422812
6.336,-0.562056,-1.68837,0.422949,3.58473e-05,0.422913
6.384,-0.570071,-1.68824,0.423044,3.47302e-05,0.423009
6.432,-0.580069,-1.68811,0.42316,3.33853e-05,0.423127
6.48,-0.552058,-1.68798,0.423303,3.72929e-05,0.423265
6.528,-0.550059,-1.68785,0.423483,3.75891e-05,0.423445
6.576,-0.556058,-1.68772,0.423642,3.6709e-05,0.423606
6.624,-0.573562,-1.6876,0.423788,3.42561e-05,0.423753
6.672,-0.541061,-1.68747,0.423902,3.89507e-05,0.423863
6.72,-0.54606,-1.68734,0.424045,3.81892e-05,0.424007
6.768,-0.580069,-1.68721,0.424159,3.33876e-05,0.424126
6.816,-0.566055,-1.68709,0.424282,3.52888e-05,0.424246
6.864,-0.548551,-1.68696,0.424446,3.78163e-05,0.424408
6.912,-0.527047,-1.68684,0.424622,4.11702e-05,0.424581
6.96,-0.551059,-1.68672,0.424805,3.74441e-05,0.424767
7.008,-0.561565,-1.68659,0.424941,3.59219e-05,0.424905
7.056,-0.532046,-1.68647,0.425086,4.03661e-05,0.425046
7.104,-0.556566,-1.68635,0.425207,3.66392e-05,0.425171
7.152,-0.560057,-1.68623,0.425334,3.61376e-05,0.425298
7.2,-0.57307,-1.6861,0.425447,3.43267e-05,0.425412
7.248,-0.562056,-1.68598,0.425529,3.58539e-05,0.425493
7.296,-0.586067,-1.68585,0.425603,3.26089e-05,0.425571
7.344,-0.572562,-1.68572,0.42566,3.43966e-05,0.425626
7.392,-0.581069,-1.68559,0.425723,3.32601e-05,0.42569
7.44,-0.580577,-1.68546,0.425787,3.33251e-05,0.425754
7.488,-0.607079,-1.68532,0.425789,3.0012e-05,0.425759
7.536,-0.570071,-1.68519,0.425856,3.47383e-05,0.425822
7.584,-0.590067,-1.68505,0.425924,3.20996e-05,0.425892
7.632,-0.589067,-1.68491,0.425954,3.2227e-05,0.425922
7.68,-0.60408,-1.68477,0.425967,3.03711e-05,0.425937
7.728,-0.591574,-1.68463,0.425971,3.19099e-05,0.42594
7.776,-0.587067,-1.68449,0.426023,3.24837e-05,0.42599
7.824,-0.578561,-1.68434,0.426042,3.35945e-05,0.426008
7.872,-0.584068,-1.6842,0.426126,3.28717e-05,0.426093
7.92,-0.579069,-1.68406,0.426225,3.35278e-05,0.426192
7.968,-0.586576,-1.68392,0.426285,3.25483e-05,0.426253
8.016,-0.542061,-1.68378,0.426392,3.88081e-05,0.426354
8.064,-0.557565,-1.68363,0.426484,3.65023e-05,0.426448
8.112,-0.596573,-1.68349,0.42654,3.12885e-05,0.426509
8.16,-0.551059,-1.68335,0.426646,3.74538e-05,0.426609
8.208,-0.55255,-1.68321,0.426747,3.72341e-05,0.42671
8.256,-0.579577,-1.68306,0.426801,3.34631e-05,0.426768
8.304,-0.565564,-1.68292,0.426934,3.53687e-05,0.426899
8.352,-0.57307,-1.68278,0.427024,3.43354e-05,0.42699
8.4,-0.550551,-1.68264,0.427164,3.75311e-05,0.427127
8.448,-0.559565,-1.6825,0.427273,3.62182e-05,0.427237
8.496,-0.547551,-1.68236,0.42739,3.79793e-05,0.427352
8.544,-0.558565,-1.68222,0.427505,3.63623e-05,0.427468
8.592,-0.558057,-1.68208,0.427652,3.64358e-05,0.427616
8.64,-0.550059,-1.68195,0.427779,3.76061e-05,0.427741
8.688,-0.55255,-1.68181,0.427881,3.72381e-05,0.427844
8.736,-0.559565,-1.68167,0.427993,3.62205e-05,0.427957
8.784,-0.554566,-1.68154,0.428096,3.69434e-05,0.428059
8.832,-0.565056,-1.68139,0.428136,3.54439e-05,0.4281
8.88,-0.57607,-1.68125,0.428196,3.39348e-05,0.428162
8.928,-0.571071,-1.68111,0.42824,3.46122e-05,0.428206
8.976,-0.564056,-1.68097,0.42831,3.55853e-05,0.428274
9.024,-0.543552,-1.68083,0.428395,3.85888e-05,0.428356
9.072,-0.571562,-1.68068,0.428442,3.45461e-05,0.428407
9.12,-0.565564,-1.68054,0.428488,3.53751e-05,0.428453
9.168,-0.582576,-1.68039,0.428542,3.30756e-05,0.428509
9.216,-0.549551,-1.68025,0.428594,3.76865e-05,0.428556
9.264,-0.551567,-1.6801,0.428642,3.7388e-05,0.428604
9.312,-0.581069,-1.67995,0.428663,3.32744e-05,0.42863
9.36,-0.601081,-1.6798,0.428671,3.07449e-05,0.42864
9.408,-0.562564,-1.67965,0.428717,3.57993e-05,0.428681
9.456,-0.563564,-1.6795,0.428766,3.56586e-05,0.428731
9.504,-0.560565,-1.67935,0.428836,3.60841e-05,0.4288
9.552,-0.582576,-1.67919,0.428882,3.30787e-05,0.428849
9.6,-0.57307,-1.67904,0.428957,3.43452e-05,0.428922
9.648,-0.571071,-1.67889,0.429011,3.4618e-05,0.428977
9.696,-0.538553,-1.67874,0.42912,3.93648e-05,0.42908
9.744,-0.534046,-1.67859,0.429228,4.00726e-05,0.429188
9.792,-0.51705,-1.67845,0.429387,4.28565e-05,0.429344
9.84,-0.542552,-1.6783,0.429495,3.8749e-05,0.429457
9.888,-0.526556,-1.67816,0.429647,4.12776e-05,0.429606
9.936,-0.521049,-1.67802,0.429796,4.21861e-05,0.429754
9.984,-0.533046,-1.67788,0.429932,4.02334e-05,0.429892
10.032,-0.507035,-1.67774,0.430068,4.45887e-05,0.430024
10.08,-0.527047,-1.6776,0.430205,4.11993e-05,0.430164
10.128,-0.49553,-1.67746,0.430366,4.66634e-05,0.43032
10.176,-0.515542,-1.67732,0.430538,4.31163e-05,0.430495
10.224,-0.502545,-1.67719,0.430696,4.53888e-05,0.430651
10.272,-0.561565,-1.67706,0.43081,3.59481e-05,0.430774
10.32,-0.509035,-1.67692,0.430935,4.42406e-05,0.43089
10.368,-0.54506,-1.67678,0.431038,3.83714e-05,0.431
10.416,-0.54506,-1.67665,0.431119,3.83718e-05,0.431081
10.464,-0.563564,-1.67651,0.431167,3.56667e-05,0.431131
10.512,-0.531047,-1.67637,0.431199,4.05572e-05,0.431158
10.56,-0.539553,-1.67623,0.431261,3.92172e-05,0.431222
10.608,-0.557565,-1.67609,0.431339,3.65234e-05,0.431303
10.656,-0.551059,-1.67594,0.43139,3.7475e-05,0.431352
10.704,-0.584068,-1.6758,0.431385,3.28928e-05,0.431352
10.752,-0.554058,-1.67565,0.431402,3.70343e-05,0.431365
10.8,-0.57507,-1.6755,0.431434,3.40841e-05,0.4314
10.848,-0.565056,-1.67535,0.431468,3.54603e-05,0.431432
10.896,-0.556058,-1.6752,0.431503,3.67441e-05,0.431466
10.944,-0.560057,-1.67505,0.431509,3.61685e-05,0.431473
10.992,-0.570071,-1.6749,0.431527,3.47657e-05,0.431493
11.04,-0.568071,-1.67475,0.431544,3.50419e-05,0.431509
11.088,-0.54306,-1.67459,0.431592,3.86822e-05,0.431553
11.136,-0.54606,-1.67444,0.43165,3.8227e-05,0.431611
11.184,-0.521049,-1.67428,0.431698,4.21981e-05,0.431656
11.232,-0.517541,-1.67413,0.431795,4.27875e-05,0.431752
11.28,-0.511051,-1.67398,0.431932,4.38994e-05,0.431888
11.328,-0.51305,-1.67384,0.432062,4.35545e-05,0.432018
11.376,-0.511051,-1.67369,0.43217,4.39004e-05,0.432126
11.424,-0.534046,-1.67354,0.432254,4.00881e-05,0.432214
11.472,-0.51405,-1.67339,0.432366,4.33842e-05,0.432322
11.52,-0.49553,-1.67325,0.432508,4.66784e-05,0.432461
11.568,-0.507543,-1.67311,0.432647,4.4515e-05,0.432603
11.616,-0.504036,-1.67296,0.432781,4.51367e-05,0.432736
11.664,-0.504544,-1.67282,0.432932,4.50467e-05,0.432887
11.712,-0.520049,-1.67268,0.433036,4.23704e-05,0.432994
11.76,-0.524556,-1.67254,0.433136,4.16229e-05,0.433094
11.808,-0.531555,-1.6724,0.433237,4.04882e-05,0.433196
11.856,-0.52354,-1.67226,0.433343,4.17913e-05,0.433301
11.904,-0.519541,-1.67212,0.433453,4.24573e-05,0.433411
11.952,-0.562564,-1.67198,0.433541,3.58203e-05,0.433505
12,-0.523048,-1.67183,0.433636,4.18739e-05,0.433594
12.048,-0.558057,-1.67169,0.433669,3.64648e-05,0.433632
12.096,-0.530555,-1.67155,0.433751,4.06511e-05,0.43371
12.144,-0.562056,-1.6714,0.433775,3.58939e-05,0.433739
12.192,-0.502545,-1.67126,0.433874,4.54094e-05,0.433829
12.24,-0.517541,-1.67111,0.433959,4.27974e-05,0.433916
12.288,-0.542552,-1.67097,0.434005,3.87707e-05,0.433966
12.336,-0.548059,-1.67082,0.434012,3.79366e-05,0.433974
12.384,-0.54506,-1.67067,0.434071,3.83893e-05,0.434033
12.432,-0.577561,-1.67052,0.43405,3.37631e-05,0.434017
12.48,-0.559057,-1.67037,0.434084,3.63247e-05,0.434048
12.528,-0.577069,-1.67021,0.434106,3.38296e-05,0.434072
12.576,-0.52354,-1.67006,0.434149,4.17983e-05,0.434107
12.624,-0.538553,-1.66991,0.434203,3.93914e-05,0.434163
12.672,-0.530555,-1.66976,0.434257,4.06566e-05,0.434216
12.72,-0.505544,-1.6696,0.434349,4.48801e-05,0.434305
12.768,-0.517541,-1.66946,0.434465,4.28028e-05,0.434422
12.816,-0.509035,-1.6693,0.434547,4.42663e-05,0.434503
12.864,-0.49253,-1.66916,0.434687,4.72497e-05,0.43464
12.912,-0.51605,-1.66901,0.434781,4.30573e-05,0.434738
12.96,-0.503036,-1.66886,0.434904,4.53296e-05,0.434858
13.008,-0.527047,-1.66872,0.434987,4.12273e-05,0.434946
13.056,-0.49453,-1.66857,0.435092,4.688e-05,0.435045
13.104,-0.457521,-1.66843,0.435263,5.42616e-05,0.435209
13.152,-0.503544,-1.66829,0.435412,4.52406e-05,0.435367
13.2,-0.475026,-1.66815,0.435584,5.06369e-05,0.435533
13.248,-0.487531,-1.66801,0.435749,4.81964e-05,0.4357
13.296,-0.494038,-1.66788,0.435909,4.69736e-05,0.435862
13.344,-0.484024,-1.66774,0.436086,4.88699e-05,0.436037
13.392,-0.488531,-1.66761,0.436236,4.80078e-05,0.436188
13.44,-0.480025,-1.66748,0.436411,4.96492e-05,0.436361
13.488,-0.478533,-1.66735,0.436555,4.99431e-05,0.436505
13.536,-0.497529,-1.66722,0.436686,4.63325e-05,0.43664
13.584,-0.504544,-1.66709,0.436799,4.50664e-05,0.436754
13.632,-0.516542,-1.66695,0.436869,4.29805e-05,0.436826
13.68,-0.499545,-1.66682,0.436925,4.59663e-05,0.436879
13.728,-0.520541,-1.66668,0.436951,4.23075e-05,0.436908
13.776,-0.510051,-1.66654,0.437011,4.40983e-05,0.436967
13.824,-0.507035,-1.6664,0.437095,4.46273e-05,0.43705
13.872,-0.549551,-1.66626,0.437129,3.77269e-05,0.437091
13.92,-0.54306,-1.66612,0.43714,3.87073e-05,0.437101
