t,v_pre,v_post,i,i_fast,i_slow
0,-0.670099,-1.57051,-0.565741,-4.32134e-05,-0.565698
0.048,-0.652594,-1.56992,-0.56615,-4.62821e-05,-0.566103
0.096,-0.664608,-1.56934,-0.566481,-4.41502e-05,-0.566437
0.144,-0.654594,-1.56876,-0.56682,-4.59166e-05,-0.566774
0.192,-0.634598,-1.56817,-0.567244,-4.96601e-05,-0.567195
0.24,-0.674098,-1.56758,-0.567564,-4.25317e-05,-0.567522
0.288,-0.618077,-1.56699,-0.568018,-5.29794e-05,-0.567965
0.336,-0.634598,-1.5664,-0.56838,-4.96535e-05,-0.56833
0.384,-0.669607,-1.56581,-0.568697,-4.32817e-05,-0.568654
0.432,-0.607079,-1.56522,-0.56914,-5.53071e-05,-0.569084
0.48,-0.608571,-1.56462,-0.569595,-5.49821e-05,-0.56954
0.528,-0.647087,-1.56401,-0.570089,-4.72717e-05,-0.570042
0.576,-0.644596,-1.5634,-0.570549,-4.77337e-05,-0.570501
0.624,-0.628091,-1.56279,-0.570952,-5.09232e-05,-0.570901
0.672,-0.639597,-1.56219,-0.571318,-4.86743e-05,-0.571269
0.72,-0.652594,-1.56159,-0.571586,-4.62534e-05,-0.57154
0.768,-0.628583,-1.56098,-0.571943,-5.08183e-05,-0.571892
0.816,-0.611078,-1.56038,-0.572257,-5.44269e-05,-0.572202
0.864,-0.636089,-1.55978,-0.572538,-4.93396e-05,-0.572488
0.912,-0.63509,-1.55918,-0.572841,-4.95312e-05,-0.572792
0.96,-0.641596,-1.55859,-0.573108,-4.82811e-05,-0.57306
1.008,-0.637089,-1.55799,-0.573379,-4.914e-05,-0.57333
1.056,-0.645596,-1.55739,-0.573712,-4.75256e-05,-0.573665
1.104,-0.617585,-1.55679,-0.574022,-5.30414e-05,-0.573969
1.152,-0.648087,-1.55619,-0.574343,-4.70593e-05,-0.574296
1.2,-0.643596,-1.55559,-0.574678,-4.78933e-05,-0.57463
1.248,-0.651103,-1.55499,-0.574935,-4.65019e-05,-0.574889
1.296,-0.682112,-1.55441,-0.575092,-4.11751e-05,-0.575051
1.344,-0.645088,-1.55382,-0.575268,-4.76077e-05,-0.57522
1.392,-0.649595,-1.55324,-0.575399,-4.67715e-05,-0.575352
1.44,-0.643596,-1.55267,-0.575543,-4.78829e-05,-0.575495
1.488,-0.622076,-1.55208,-0.575817,-5.20971e-05,-0.575765
1.536,-0.671606,-1.55151,-0.576021,-4.28978e-05,-0.575978
1.584,-0.625584,-1.55093,-0.576217,-5.1381e-05,-0.576165
1.632,-0.631091,-1.55035,-0.576516,-5.0281e-05,-0.576465
1.68,-0.617585,-1.54977,-0.576866,-5.30136e-05,-0.576813
1.728,-0.608079,-1.54919,-0.577133,-5.50249e-05,-0.577078
1.776,-0.622076,-1.5486,-0.577465,-5.20836e-05,-0.577413
1.824,-0.641088,-1.54803,-0.577689,-4.83393e-05,-0.577641
1.872,-0.597082,-1.54745,-0.57798,-5.74425e-05,-0.577923
1.92,-0.588067,-1.54686,-0.578412,-5.95068e-05,-0.578353
1.968,-0.633582,-1.54626,-0.5788,-4.9777e-05,-0.57875
2.016,-0.577069,-1.54567,-0.579173,-6.21239e-05,-0.579111
2.064,-0.595082,-1.54507,-0.579584,-5.78844e-05,-0.579527
2.112,-0.588575,-1.54447,-0.58002,-5.93778e-05,-0.579961
2.16,-0.598081,-1.54386,-0.580486,-5.72024e-05,-0.580429
2.208,-0.591066,-1.54325,-0.580893,-5.87952e-05,-0.580835
2.256,-0.596573,-1.54264,-0.581291,-5.75364e-05,-0.581234
2.304,-0.624584,-1.54204,-0.581566,-5.15486e-05,-0.581515
2.352,-0.612586,-1.54143,-0.581887,-5.40295e-05,-0.581833
2.4,-0.600081,-1.54082,-0.582229,-5.67427e-05,-0.582173
2.448,-0.608079,-1.54021,-0.582557,-5.4988e-05,-0.582502
2.496,-0.622076,-1.5396,-0.582823,-5.20486e-05,-0.582771
2.544,-0.627583,-1.539,-0.583009,-5.09343e-05,-0.582958
2.592,-0.612078,-1.5384,-0.583234,-5.4125e-05,-0.58318
2.64,-0.609587,-1.5378,-0.583472,-5.4654e-05,-0.583417
2.688,-0.630582,-1.5372,-0.583606,-5.03319e-05,-0.583555
2.736,-0.645596,-1.53661,-0.583722,-4.7452e-05,-0.583675
2.784,-0.649103,-1.53603,-0.58378,-4.68017e-05,-0.583733
2.832,-0.624584,-1.53545,-0.583903,-5.15233e-05,-0.583851
2.88,-0.652102,-1.53487,-0.584049,-4.62504e-05,-0.584003
2.928,-0.631091,-1.5343,-0.584153,-5.02208e-05,-0.584103
2.976,-0.660592,-1.53373,-0.58421,-4.4732e-05,-0.584165
3.024,-0.669607,-1.53317,-0.58427,-4.31764e-05,-0.584227
3.072,-0.647087,-1.53261,-0.584353,-4.71611e-05,-0.584306
3.12,-0.644088,-1.53205,-0.58445,-4.77171e-05,-0.584402
3.168,-0.63209,-1.53149,-0.584643,-5.00138e-05,-0.584593
3.216,-0.608571,-1.53092,-0.584966,-5.4844e-05,-0.584911
3.264,-0.608571,-1.53034,-0.5853,-5.48416e-05,-0.585245
3.312,-0.60508,-1.52977,-0.585618,-5.55952e-05,-0.585563
3.36,-0.596082,-1.52919,-0.585922,-5.75896e-05,-0.585864
3.408,-0.573562,-1.52862,-0.586239,-6.29042e-05,-0.586176
3.456,-0.585068,-1.52804,-0.58657,-6.01264e-05,-0.58651
3.504,-0.584576,-1.52745,-0.586948,-6.02398e-05,-0.586888
3.552,-0.593066,-1.52687,-0.587236,-5.82646e-05,-0.587178
3.6,-0.585576,-1.52628,-0.5876,-5.99988e-05,-0.58754
3.648,-0.596573,-1.52569,-0.587901,-5.74636e-05,-0.587844
3.696,-0.594082,-1.52509,-0.588252,-5.80252e-05,-0.588194
3.744,-0.607571,-1.52449,-0.588607,-5.5033e-05,-0.588552
3.792,-0.561056,-1.52389,-0.589029,-6.60426e-05,-0.588962
3.84,-0.569071,-1.52328,-0.589435,-6.39963e-05,-0.589371
3.888,-0.570563,-1.52267,-0.589799,-6.36202e-05,-0.589735
3.936,-0.615586,-1.52206,-0.590089,-5.33205e-05,-0.590036
3.984,-0.582068,-1.52145,-0.590424,-6.08078e-05,-0.590363
4.032,-0.600081,-1.52084,-0.590691,-5.66581e-05,-0.590634
4.08,-0.587575,-1.52024,-0.590927,-5.95033e-05,-0.590868
