t,v_pre,v_post,i,i_fast,i_slow
0,-0.670099,-1.57615,-0.627097,-0.00199477,-0.625102
0.6,-0.652594,-1.57558,-0.627551,-0.00210184,-0.62545
1.2,-0.664608,-1.57502,-0.627799,-0.00202764,-0.625771
1.8,-0.654594,-1.57445,-0.628183,-0.00208917,-0.626094
2.4,-0.634598,-1.57387,-0.628663,-0.00221773,-0.626445
3,-0.674098,-1.57332,-0.628734,-0.00197073,-0.626764
3.6,-0.618077,-1.57273,-0.629451,-0.00232978,-0.627121
4.2,-0.634598,-1.57216,-0.62967,-0.0022175,-0.627452
4.8,-0.669607,-1.5716,-0.629766,-0.00199716,-0.627768
5.4,-0.607079,-1.57101,-0.630529,-0.00240733,-0.628121
6,-0.608571,-1.57043,-0.630879,-0.00239655,-0.628482
6.6,-0.647087,-1.56986,-0.630996,-0.00213598,-0.62886
7.2,-0.644596,-1.56928,-0.631374,-0.00215186,-0.629222
7.8,-0.628091,-1.5687,-0.631825,-0.00226056,-0.629564
8.4,-0.639597,-1.56812,-0.632079,-0.00218409,-0.629895
9,-0.652594,-1.56756,-0.632292,-0.00210082,-0.630191
9.6,-0.628583,-1.56697,-0.632772,-0.00225701,-0.630515
10.2,-0.611078,-1.56639,-0.633202,-0.00237809,-0.630824
10.8,-0.636089,-1.56582,-0.63333,-0.0022068,-0.631123
11.4,-0.63509,-1.56525,-0.633642,-0.00221332,-0.631428
12,-0.641596,-1.56468,-0.633891,-0.00217063,-0.631721
12.6,-0.637089,-1.5641,-0.634213,-0.00219999,-0.632013
13.2,-0.645596,-1.56352,-0.634472,-0.0021447,-0.632327
13.8,-0.617585,-1.56294,-0.634962,-0.00233182,-0.63263
14.4,-0.648087,-1.56237,-0.635069,-0.00212864,-0.632941
15,-0.643596,-1.56179,-0.635411,-0.00215732,-0.633253
15.6,-0.651103,-1.56122,-0.635648,-0.0021094,-0.633539
16.2,-0.682112,-1.56066,-0.635713,-0.00192261,-0.63379
16.8,-0.645088,-1.56008,-0.63619,-0.00214751,-0.634043
17.4,-0.649595,-1.55951,-0.6364,-0.00211871,-0.634281
18,-0.643596,-1.55894,-0.63668,-0.00215695,-0.634523
18.6,-0.622076,-1.55836,-0.637108,-0.00230011,-0.634807
19.2,-0.671606,-1.55781,-0.637056,-0.0019836,-0.635072
19.8,-0.625584,-1.55723,-0.637603,-0.00227598,-0.635327
20.4,-0.631091,-1.55666,-0.637859,-0.00223876,-0.63562
21,-0.617585,-1.55608,-0.63826,-0.00233086,-0.635929
21.6,-0.608079,-1.55551,-0.638608,-0.00239791,-0.63621
22.2,-0.622076,-1.55493,-0.638813,-0.00229964,-0.636514
22.8,-0.641088,-1.55437,-0.638953,-0.00217258,-0.63678
23.4,-0.597082,-1.55378,-0.639541,-0.00247772,-0.637064
24,-0.588067,-1.55319,-0.639944,-0.00254523,-0.637399
24.6,-0.633582,-1.55262,-0.639944,-0.00222162,-0.637723
25.2,-0.577069,-1.55203,-0.640664,-0.00263001,-0.638034
25.8,-0.595082,-1.55145,-0.640855,-0.00249221,-0.638363
26.4,-0.588575,-1.55086,-0.64124,-0.00254101,-0.638699
27,-0.598081,-1.55027,-0.641516,-0.0024698,-0.639046
27.6,-0.591066,-1.54968,-0.641894,-0.002522,-0.639372
28.2,-0.596573,-1.54909,-0.642177,-0.00248078,-0.639696
28.8,-0.624584,-1.54852,-0.64226,-0.00228159,-0.639979
29.4,-0.612586,-1.54793,-0.642638,-0.00236476,-0.640273
30,-0.600081,-1.54733,-0.64303,-0.00245467,-0.640575
30.6,-0.608079,-1.54675,-0.64327,-0.00239664,-0.640873
31.2,-0.622076,-1.54617,-0.643448,-0.00229842,-0.64115
31.8,-0.627583,-1.54559,-0.643659,-0.00226084,-0.641398
32.4,-0.612078,-1.545,-0.644025,-0.00236793,-0.641657
33,-0.609587,-1.54441,-0.644306,-0.00238553,-0.64192
33.6,-0.630582,-1.54384,-0.64439,-0.00224043,-0.642149
34.2,-0.645596,-1.54327,-0.644512,-0.00214207,-0.64237
34.8,-0.649103,-1.5427,-0.644689,-0.00211967,-0.642569
35.4,-0.624584,-1.54211,-0.645068,-0.00228071,-0.642787
36,-0.652102,-1.54154,-0.645117,-0.0021006,-0.643016
36.6,-0.631091,-1.54097,-0.645463,-0.00223664,-0.643227
37.2,-0.660592,-1.5404,-0.645471,-0.00204783,-0.643423
37.8,-0.669607,-1.53984,-0.645611,-0.00199333,-0.643618
38.4,-0.647087,-1.53926,-0.645949,-0.00213203,-0.643817
39,-0.644088,-1.53869,-0.646173,-0.00215115,-0.644022
39.6,-0.63209,-1.53811,-0.646487,-0.00222959,-0.644258
40.2,-0.608571,-1.53753,-0.646929,-0.00239179,-0.644537
40.8,-0.608571,-1.53695,-0.647214,-0.0023917,-0.644822
41.4,-0.60508,-1.53637,-0.647518,-0.00241669,-0.645101
42,-0.596082,-1.53578,-0.647857,-0.00248242,-0.645374
